s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.3894000E-002, 1.6000000E+001, 1.6000000E+001, 5.1036158E-003
 4.6091309E-002, 0.0000000E+000, 2.0000000E+001, 2.3894000E-002, 1.6000000E+001, 1.6000000E+001, 5.0659852E-003
 9.2182618E-002, 5.3585174E-006, 1.9998013E+001, 2.3891626E-002, 1.7500876E+001, 1.7504068E+001, 5.0307747E-003
 1.3827393E-001, 5.3585174E-006, 1.9998013E+001, 2.3891626E-002, 1.7500876E+001, 1.7504068E+001, 5.0366941E-003
 1.8436524E-001, 5.7955991E-006, 1.9989130E+001, 2.3881013E-002, 1.8943639E+001, 1.8946168E+001, 5.0295657E-003
 2.3045655E-001, 5.7955991E-006, 1.9989130E+001, 2.3881013E-002, 1.8943639E+001, 1.8946168E+001, 5.0165420E-003
 2.7654785E-001, 6.2360342E-006, 1.9981060E+001, 2.3871372E-002, 2.0333644E+001, 2.0335480E+001, 5.0030669E-003
 3.2263916E-001, 6.2360342E-006, 1.9981060E+001, 2.3871372E-002, 2.0333644E+001, 2.0335480E+001, 4.9928893E-003
 3.6873047E-001, 6.7088544E-006, 1.9972973E+001, 2.3861711E-002, 2.1674451E+001, 2.1676548E+001, 4.9876700E-003
 4.1482178E-001, 6.7088544E-006, 1.9972973E+001, 2.3861711E-002, 2.1674451E+001, 2.1676548E+001, 4.9896544E-003
 4.6091309E-001, 7.2609354E-006, 1.9964873E+001, 2.3852034E-002, 2.2969995E+001, 2.2973886E+001, 4.9990457E-003
 5.0700440E-001, 7.2609354E-006, 1.9964873E+001, 2.3852034E-002, 2.2969995E+001, 2.2973886E+001, 5.0181967E-003
 5.5309571E-001, 7.9288293E-006, 1.9957042E+001, 2.3842679E-002, 2.4224111E+001, 2.4230198E+001, 5.0457936E-003
 5.9918702E-001, 7.9288293E-006, 1.9957042E+001, 2.3842679E-002, 2.4224111E+001, 2.4230198E+001, 5.0855852E-003
 6.4527833E-001, 8.8435537E-006, 1.9949507E+001, 2.3833676E-002, 2.5440049E+001, 2.5448602E+001, 5.1344433E-003
 6.9136964E-001, 8.8435537E-006, 1.9949507E+001, 2.3833676E-002, 2.5440049E+001, 2.5448602E+001, 5.1988198E-003
 7.3746095E-001, 1.0159470E-005, 1.9942312E+001, 2.3825080E-002, 2.6620763E+001, 2.6631780E+001, 5.2724741E-003
 7.8355226E-001, 1.0159470E-005, 1.9942312E+001, 2.3825080E-002, 2.6620763E+001, 2.6631780E+001, 5.3661418E-003
 8.2964356E-001, 1.2009795E-005, 1.9935525E+001, 2.3816972E-002, 2.7768952E+001, 2.7782671E+001, 5.4688900E-003
 8.7573487E-001, 1.2009795E-005, 1.9935525E+001, 2.3816972E-002, 2.7768952E+001, 2.7782671E+001, 5.5970998E-003
 9.2182618E-001, 1.4518858E-005, 1.9929250E+001, 2.3809475E-002, 2.8887092E+001, 2.8904364E+001, 5.7340221E-003
 9.6791749E-001, 1.4518858E-005, 1.9929250E+001, 2.3809475E-002, 2.8887092E+001, 2.8904364E+001, 5.9030920E-003
 1.0140088E+000, 1.7799772E-005, 1.9923504E+001, 2.3802611E-002, 2.9977387E+001, 2.9998514E+001, 6.0804923E-003
 1.0601001E+000, 1.7799772E-005, 1.9923504E+001, 2.3802611E-002, 2.9977387E+001, 2.9998514E+001, 6.2983053E-003
 1.1061914E+000, 2.1935308E-005, 1.9918427E+001, 2.3796545E-002, 3.1041925E+001, 3.1066699E+001, 6.5242382E-003
 1.1522827E+000, 2.1935308E-005, 1.9918427E+001, 2.3796545E-002, 3.1041925E+001, 3.1066699E+001, 6.8000617E-003
 1.1983740E+000, 2.7060744E-005, 1.9914064E+001, 2.3791333E-002, 3.2082538E+001, 3.2111125E+001, 7.0843633E-003
 1.2444653E+000, 2.7060744E-005, 1.9914064E+001, 2.3791333E-002, 3.2082538E+001, 3.2111125E+001, 7.4298187E-003
 1.2905567E+000, 3.3338798E-005, 1.9910335E+001, 2.3786877E-002, 3.3100750E+001, 3.3133558E+001, 7.7849347E-003
 1.3366480E+000, 3.3338798E-005, 1.9910335E+001, 2.3786877E-002, 3.3100750E+001, 3.3133558E+001, 8.2147090E-003
 1.3827393E+000, 4.0949939E-005, 1.9907207E+001, 2.3783140E-002, 3.4097920E+001, 3.4135525E+001, 8.6561065E-003
 1.4288306E+000, 4.0949939E-005, 1.9907207E+001, 2.3783140E-002, 3.4097920E+001, 3.4135525E+001, 9.1880016E-003
 1.4749219E+000, 5.0215131E-005, 1.9904531E+001, 2.3779943E-002, 3.5075204E+001, 3.5119028E+001, 9.7291136E-003
 1.5210132E+000, 5.0215131E-005, 1.9904531E+001, 2.3779943E-002, 3.5075204E+001, 3.5119028E+001, 1.0370257E-002
 1.5671045E+000, 6.1508249E-005, 1.9902493E+001, 2.3777508E-002, 3.6033800E+001, 3.6091151E+001, 1.1019712E-002
 1.6131958E+000, 6.1508249E-005, 1.9902493E+001, 2.3777508E-002, 3.6033800E+001, 3.6091151E+001, 1.1810351E-002
 1.6592871E+000, 7.5181912E-005, 1.9901113E+001, 2.3775860E-002, 3.6974666E+001, 3.7048424E+001, 1.2613615E-002
