cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 6.9055948E+002, 6.9052229E+002,-3.6826554E-002, 2.4235027E+001, 4.2174661E+001, 7.7759318E-002, 1.7104488E-003, 3.6327850E-002, 6.8041939E-002, 3.5109735E-001, 1.1099548E-001, 5.3693469E-002, 3.7399026E-001, 5.9016385E-002, 1.5408820E-003
 3.0000000E+000, 7.4693577E+002, 7.4983137E+002, 1.7412607E-001, 3.1331967E+001, 5.5161427E+001, 9.6999437E-002, 1.7347585E-003, 3.9391953E-002, 7.3568190E-002, 2.9800633E-001, 1.2018458E-001, 5.8054287E-002, 4.0457843E-001, 6.6150537E-002, 1.7278292E-003
 5.0000000E+000, 8.7506098E+002, 8.8525727E+002, 5.4892352E-001, 7.0942924E+001, 1.2723912E+002, 1.3780153E-001, 2.0213180E-003, 4.6160023E-002, 8.1430004E-002, 2.0142786E-001, 1.3700334E-001, 6.4256536E-002, 4.6270087E-001, 7.8180498E-002, 2.0594400E-003
 7.0000000E+000, 9.0957637E+002, 9.2206875E+002, 9.6206320E-001, 8.0310596E+001, 1.4729837E+002, 1.8611648E-001, 2.6878041E-003, 4.8218875E-002, 8.1706579E-002, 1.7989381E-001, 1.4043532E-001, 6.4473531E-002, 4.7753757E-001, 7.9450506E-002, 2.1056895E-003
 9.0000000E+000, 1.0037480E+003, 1.0237836E+003, 1.3669036E+000, 9.5236262E+001, 1.9371191E+002, 2.3511989E-001, 6.3169901E-003, 5.4265847E-002, 7.7963660E-002, 1.3151773E-001, 1.4689581E-001, 6.1514616E-002, 5.1658209E-001, 7.7644159E-002, 2.1135184E-003
 1.1000000E+001, 1.0521300E+003, 1.0775297E+003, 1.7397724E+000, 9.7673660E+001, 2.1070833E+002, 2.9220498E-001, 1.0449426E-002, 5.7475792E-002, 7.3261111E-002, 1.0892394E-001, 1.4819076E-001, 5.7799967E-002, 5.3915351E-001, 7.3589832E-002, 2.0464520E-003
 1.3000000E+001, 1.0846576E+003, 1.1130775E+003, 2.0690111E+000, 9.6455703E+001, 2.1886249E+002, 3.6689605E-001, 1.5895557E-002, 5.9557921E-002, 6.8098618E-002, 9.1651131E-002, 1.4739078E-001, 5.3722947E-002, 5.5917705E-001, 6.8799521E-002, 1.9539674E-003
 1.5000000E+001, 1.1087516E+003, 1.1371191E+003, 2.3525004E+000, 9.6856500E+001, 2.3129653E+002, 4.6308522E-001, 2.1439833E-002, 6.0939207E-002, 6.3254930E-002, 7.8082991E-002, 1.4575982E-001, 4.9898077E-002, 5.7635272E-001, 6.4186052E-002, 1.8602103E-003
 1.7000000E+001, 1.1281895E+003, 1.1552776E+003, 2.5973940E+000, 9.7171218E+001, 2.4473994E+002, 5.6855624E-001, 2.6799584E-002, 6.1907139E-002, 5.8756549E-002, 6.7069068E-002, 1.4376018E-001, 4.6346090E-002, 5.9131079E-001, 5.9831398E-002, 1.7690951E-003
 1.9000000E+001, 1.1426509E+003, 1.1677561E+003, 2.8140841E+000, 9.6345116E+001, 2.5633877E+002, 6.6547201E-001, 3.1896229E-002, 6.2488595E-002, 5.4781722E-002, 5.7868984E-002, 1.4157496E-001, 4.3207689E-002, 6.0433148E-001, 5.5968584E-002, 1.6863047E-003
 2.1000000E+001, 1.1535876E+003, 1.1766493E+003, 3.0080196E+000, 9.4770552E+001, 2.6522631E+002, 7.5137613E-001, 3.6608604E-002, 6.2833045E-002, 5.1286458E-002, 5.0051194E-002, 1.3939870E-001, 4.0448046E-002, 6.1570230E-001, 5.2557963E-002, 1.6120394E-003
 2.3000000E+001, 1.1622994E+003, 1.1835284E+003, 3.1824037E+000, 9.4510527E+001, 2.7325659E+002, 8.2924090E-001, 4.1045427E-002, 6.3063328E-002, 4.8021277E-002, 4.3336155E-002, 1.3722428E-001, 3.7870124E-002, 6.2593611E-001, 4.9341913E-002, 1.5412492E-003
 2.5000000E+001, 1.1684590E+003, 1.1873808E+003, 3.3386329E+000, 9.5813911E+001, 2.8225256E+002, 9.0175313E-001, 4.5540665E-002, 6.3077854E-002, 4.4883834E-002, 3.7478353E-002, 1.3481830E-001, 3.5393188E-002, 6.3546948E-001, 4.6225813E-002, 1.4711053E-003
 2.7000000E+001, 1.1718146E+003, 1.1870389E+003, 3.4764134E+000, 9.8492743E+001, 2.9440561E+002, 9.7143675E-001, 5.0301212E-002, 6.2829429E-002, 4.1780305E-002, 3.2348617E-002, 1.3203625E-001, 3.2943201E-002, 6.4458993E-001, 4.3113714E-002, 1.3991335E-003
 2.9000000E+001, 1.1730281E+003, 1.1835169E+003, 3.5953286E+000, 1.0209339E+002, 3.0877891E+002, 1.0417106E+000, 5.5165609E-002, 6.2369356E-002, 3.8812448E-002, 2.7785319E-002, 1.2903627E-001, 3.0600462E-002, 6.5322291E-001, 4.0123001E-002, 1.3283998E-003
 3.1000000E+001, 1.1730036E+003, 1.1786058E+003, 3.7010229E+000, 1.0630507E+002, 3.2342816E+002, 1.1043417E+000, 6.0073377E-002, 6.1822726E-002, 3.5853771E-002, 2.3681736E-002, 1.2591005E-001, 2.8265028E-002, 6.6154997E-001, 3.7119522E-002, 1.2566659E-003
 3.3000000E+001, 1.1705196E+003, 1.1713451E+003, 3.7930190E+000, 1.1111568E+002, 3.3682784E+002, 1.1597686E+000, 6.5293713E-002, 6.1117868E-002, 3.2768365E-002, 2.0023838E-002, 1.2244254E-001, 2.5829649E-002, 6.6985411E-001, 3.3959863E-002, 1.1801058E-003
 3.5000000E+001, 1.1673859E+003, 1.1655349E+003, 3.8664566E+000, 1.1348055E+002, 3.4301447E+002, 1.2164507E+000, 6.8149049E-002, 6.0613556E-002, 3.1209203E-002, 1.8357046E-002, 1.2046442E-001, 2.4599066E-002, 6.7402767E-001, 3.2358767E-002, 1.1402563E-003
 3.7000000E+001, 1.1503276E+003, 1.1380293E+003, 3.9237430E+000, 1.2074213E+002, 3.6306067E+002, 1.2699001E+000, 7.7589007E-002, 5.8493080E-002, 2.6570054E-002, 1.3992579E-002, 1.1363413E-001, 2.0937983E-002, 6.8648042E-001, 2.7579313E-002, 1.0170048E-003
 3.9000000E+001, 1.1340646E+003, 1.1139588E+003, 3.9652946E+000, 1.2486462E+002, 3.7483801E+002, 1.3249025E+000, 8.4275735E-002, 5.6709343E-002, 2.3607252E-002, 1.1599339E-002, 1.0861760E-001, 1.8600109E-002, 6.9447160E-001, 2.4517843E-002, 9.3510899E-004
 4.1000000E+001, 1.1135991E+003, 1.0853590E+003, 3.9967238E+000, 1.2937663E+002, 3.8507725E+002, 1.3695425E+000, 9.1023179E-002, 5.4657593E-002, 2.0947513E-002, 9.6029876E-003, 1.0342896E-001, 1.6501671E-002, 7.0189103E-001, 2.1769536E-002, 8.5856017E-004
 4.3000000E+001, 1.0904749E+003, 1.0546586E+003, 4.0154984E+000, 1.3417362E+002, 3.9279757E+002, 1.4039589E+000, 9.7793422E-002, 5.2454893E-002, 1.8459297E-002, 7.8804382E-003, 9.8143831E-002, 1.4538745E-002, 7.0894757E-001, 1.9191868E-002, 7.8484965E-004
 4.5000000E+001, 1.0783326E+003, 1.0389865E+003, 4.0196176E+000, 1.3661149E+002, 3.9600181E+002, 1.4362773E+000, 1.0117078E-001, 5.1333507E-002, 1.7237778E-002, 7.1079378E-003, 9.5488109E-002, 1.3575130E-002, 7.1238671E-001, 1.7923569E-002, 7.4831017E-004
 4.7000000E+001, 1.0529010E+003, 1.0068256E+003, 4.0132220E+000, 1.4072550E+002, 4.0100732E+002, 1.4651409E+000, 1.0783810E-001, 4.9049463E-002, 1.4907473E-002, 5.7549531E-003, 9.0201254E-002, 1.1736925E-002, 7.1897000E-001, 1.5500877E-002, 6.7754677E-004
 4.9000000E+001, 1.0116124E+003, 9.5751634E+002, 3.9998773E+000, 1.4596971E+002, 4.0390499E+002, 1.4878130E+000, 1.1744242E-001, 4.5585723E-002, 1.1763044E-002, 4.1698798E-003, 8.2486222E-002, 9.2567693E-003, 7.2797354E-001, 1.2224915E-002, 5.7929311E-004
 5.1000000E+001, 9.8241334E+002, 9.2460042E+002, 3.9818851E+000, 1.4921569E+002, 4.0255457E+002, 1.5012964E+000, 1.2333408E-001, 4.3330296E-002, 1.0008228E-002, 3.4000174E-003, 7.7690208E-002, 7.8728782E-003, 7.3316936E-001, 1.0400365E-002, 5.2236953E-004
 5.3000000E+001, 9.6765509E+002, 9.0847461E+002, 3.9628099E+000, 1.5066867E+002, 4.0121191E+002, 1.5000382E+000, 1.2613107E-001, 4.2226742E-002, 9.2230185E-003, 3.0647098E-003, 7.5400764E-002, 7.2537049E-003, 7.3556357E-001, 9.5836745E-003, 4.9626737E-004
 5.5000000E+001, 9.2079863E+002, 8.6032755E+002, 3.9343323E+000, 1.5162270E+002, 3.9020813E+002, 1.4921340E+000, 1.3435316E-001, 3.8893498E-002, 7.0326121E-003, 2.2226851E-003, 6.8626562E-002, 5.5266385E-003, 7.4237559E-001, 7.3000538E-003, 4.2155478E-004
 5.7000000E+001, 9.0406930E+002, 8.4412561E+002, 3.8917833E+000, 1.5105900E+002, 3.8434704E+002, 1.4879030E+000, 1.3702812E-001, 3.7764510E-002, 6.3835642E-003, 1.9967802E-003, 6.6404422E-002, 5.0149779E-003, 7.4449010E-001, 6.6248049E-003, 3.9849936E-004
 5.9000000E+001, 8.5557533E+002, 7.9750526E+002, 3.8446136E+000, 1.4849972E+002, 3.6657494E+002, 1.4792138E+000, 1.4435870E-001, 3.4521091E-002, 4.8341137E-003, 1.4588546E-003, 6.0266365E-002, 3.7938697E-003, 7.4998152E-001, 5.0179273E-003, 3.3996179E-004
 6.1000000E+001, 8.2743011E+002, 7.7075611E+002, 3.8093596E+000, 1.4530226E+002, 3.5557194E+002, 1.4546217E+000, 1.4846733E-001, 3.2658326E-002, 4.0358539E-003, 1.1750360E-003, 5.6812643E-002, 3.1648948E-003, 7.5297143E-001, 4.1883158E-003, 3.0850805E-004
 6.3000000E+001, 8.0065794E+002, 7.4542571E+002, 3.7765187E+000, 1.4095178E+002, 3.4449329E+002, 1.4245809E+000, 1.5224377E-001, 3.0890908E-002, 3.3902744E-003, 9.2713553E-004, 5.3622995E-002, 2.6563939E-003, 7.5561552E-001, 3.5172396E-003, 2.8136492E-004
 6.5000000E+001, 7.7443940E+002, 7.2055064E+002, 3.7378438E+000, 1.3700635E+002, 3.3405823E+002, 1.4020650E+000, 1.5587627E-001, 2.9168527E-002, 2.7972725E-003, 7.3226016E-004, 5.0542667E-002, 2.1893719E-003, 7.5809864E-001, 2.8996222E-003, 2.5574352E-004
 6.7000000E+001, 7.6105171E+002, 7.0800797E+002, 3.6958056E+000, 1.3515772E+002, 3.2822772E+002, 1.3880462E+000, 1.5766381E-001, 2.8304269E-002, 2.5299047E-003, 6.5109136E-004, 4.9020540E-002, 1.9788627E-003, 7.5928405E-001, 2.6224529E-003, 2.4363587E-004
 6.9000000E+001, 7.2202548E+002, 6.7246488E+002, 3.6538159E+000, 1.2878416E+002, 3.0829171E+002, 1.3765553E+000, 1.6261980E-001, 2.5845288E-002, 1.8856497E-003, 4.5658264E-004, 4.4780651E-002, 1.4718641E-003, 7.6244487E-001, 1.9550960E-003, 2.1198436E-004
