cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.0322251E+003, 6.8416788E+001,-9.5000000E+000, 9.2560314E+002, 1.5174028E+002, 7.2035167E+002, 1.1170923E+002, 5.8435352E+002, 6.9490551E+001, 5.0345377E+002, 4.8658230E+001, 4.4977117E+002, 3.6214790E+001, 5.2000000E+001, 1.0000000E-001, 0.0000000E+000, 4.0369897E+000, 2.8973904E+000, 2.0009257E+000, 0.0000000E+000, 2.8752379E-001
 4.4622642E+000, 1.0322251E+003, 6.8416788E+001,-5.2857143E+000, 9.2560314E+002, 1.5174028E+002, 7.2035167E+002, 1.1170923E+002, 5.8435352E+002, 6.9490551E+001, 5.0345377E+002, 4.8658230E+001, 4.4977117E+002, 3.6214790E+001, 5.6480000E+001, 2.9900000E-001, 0.0000000E+000, 4.0369897E+000, 2.8973904E+000, 2.0009257E+000, 4.5000000E+000, 2.8752379E-001
 8.4245283E+000, 1.0322251E+003, 6.8416788E+001,-1.0714286E+000, 9.2560314E+002, 1.5174028E+002, 7.2035167E+002, 1.1170923E+002, 5.8435352E+002, 6.9490551E+001, 5.0345377E+002, 4.8658230E+001, 4.4977117E+002, 3.6214790E+001, 6.0960000E+001, 4.9800000E-001, 0.0000000E+000, 3.1980909E+000, 2.3827725E+000, 1.7065691E+000, 9.0000000E+000, 2.8752379E-001
 1.2386792E+001, 1.0420972E+003, 8.6611184E+001, 3.1428571E+000, 1.0058844E+003, 9.8794557E+001, 7.7062035E+002, 7.5764436E+001, 6.1288202E+002, 5.2113110E+001, 5.2063915E+002, 3.7944783E+001, 4.6183760E+002, 2.9495632E+001, 6.5440000E+001, 6.9700000E-001, 0.0000000E+000, 3.1980909E+000, 2.3827725E+000, 1.7065691E+000, 1.3500000E+001, 3.0052682E-001
 1.6349057E+001, 1.0420972E+003, 8.6611184E+001, 7.3571429E+000, 1.0058844E+003, 9.8794557E+001, 7.7062035E+002, 7.5764436E+001, 6.1288202E+002, 5.2113110E+001, 5.2063915E+002, 3.7944783E+001, 4.6183760E+002, 2.9495632E+001, 6.9920000E+001, 8.9600000E-001, 0.0000000E+000, 3.1980909E+000, 2.3827725E+000, 1.7065691E+000, 1.8000000E+001, 3.0052682E-001
 2.0311321E+001, 1.0058844E+003, 9.8794557E+001, 1.1571429E+001, 5.5412896E+002, 7.2077235E+001, 4.6861424E+002, 5.7431597E+001, 4.3695276E+002, 4.7981361E+001, 4.1715808E+002, 4.0751736E+001, 4.0115187E+002, 3.4020724E+001, 7.4400000E+001, 1.0950000E+000, 0.0000000E+000, 2.5730704E+000, 1.9795860E+000, 1.4644045E+000, 2.2500000E+001, 3.0448548E-001
 2.4273585E+001, 1.0058844E+003, 9.8794557E+001, 1.5785714E+001, 5.5412896E+002, 7.2077235E+001, 4.6861424E+002, 5.7431597E+001, 4.3695276E+002, 4.7981361E+001, 4.1715808E+002, 4.0751736E+001, 4.0115187E+002, 3.4020724E+001, 7.8880000E+001, 1.2940000E+000, 0.0000000E+000, 2.5730704E+000, 1.9795860E+000, 1.4644045E+000, 2.7000000E+001, 3.0448548E-001
 2.8235849E+001, 1.0058844E+003, 9.8794557E+001, 2.0000000E+001, 5.5412896E+002, 7.2077235E+001, 4.6861424E+002, 5.7431597E+001, 4.3695276E+002, 4.7981361E+001, 4.1715808E+002, 4.0751736E+001, 4.0115187E+002, 3.4020724E+001, 8.3360000E+001, 1.4930000E+000, 0.0000000E+000, 2.0982756E+000, 1.6592421E+000, 1.2630156E+000, 3.1500000E+001, 2.9689532E-001
 3.2198113E+001, 9.4288192E+002, 9.8122050E+001, 2.4214286E+001, 3.8776452E+002, 5.0132681E+001, 3.4657171E+002, 2.6646951E+001, 3.4455312E+002, 2.4606216E+001, 3.4747728E+002, 2.6807055E+001, 3.5066193E+002, 2.6341555E+001, 8.7840000E+001, 1.6920000E+000, 0.0000000E+000, 2.0982756E+000, 1.6592421E+000, 1.2630156E+000, 3.6000000E+001, 2.9689532E-001
 3.6160377E+001, 9.4288192E+002, 9.8122050E+001, 2.8428571E+001, 3.8776452E+002, 5.0132681E+001, 3.4657171E+002, 2.6646951E+001, 3.4455312E+002, 2.4606216E+001, 3.4747728E+002, 2.6807055E+001, 3.5066193E+002, 2.6341555E+001, 9.2320000E+001, 1.8910000E+000, 0.0000000E+000, 1.7314856E+000, 1.4017373E+000, 1.0942266E+000, 4.0500000E+001, 2.8395310E-001
 4.0122642E+001, 8.8064468E+002, 9.1513429E+001, 3.2642857E+001, 3.2715609E+002, 1.9295125E+001, 3.1119379E+002, 8.2907372E+000, 3.1048321E+002, 8.1283889E+000, 3.1330098E+002, 1.0940829E+001, 3.1843705E+002, 1.4523060E+001, 9.6800000E+001, 2.0900000E+000, 0.0000000E+000, 1.7314856E+000, 1.4017373E+000, 1.0942266E+000, 4.5000000E+001, 2.8395310E-001
 4.4084906E+001, 8.8064468E+002, 9.1513429E+001, 3.6857143E+001, 3.2715609E+002, 1.9295125E+001, 3.1119379E+002, 8.2907372E+000, 3.1048321E+002, 8.1283889E+000, 3.1330098E+002, 1.0940829E+001, 3.1843705E+002, 1.4523060E+001, 1.0128000E+002, 2.2890000E+000, 0.0000000E+000, 1.4438988E+000, 1.1926516E+000, 9.5189862E-001, 4.9500000E+001, 2.8395310E-001
