Time,HFG_y10,HFG_y35,HFG_y60,HFG_y85,HFG_y110,HFG_y135,Error_y10,Error_y35,Error_y60,Error_y85,Error_y110,Error_y135
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.77,0.81,0.73,0.56,0.41,0.33,0.05,0.06,0.05,0.04,0.03,0.03
15,0.92,0.97,0.88,0.72,0.53,0.42,0.04,0.04,0.04,0.04,0.02,0.02
25,0.96,1.02,0.9,0.78,0.56,0.44,0.04,0.04,0.04,0.04,0.03,0.02
35,1.01,1.08,0.94,0.82,0.59,0.47,0.04,0.05,0.04,0.04,0.03,0.02
45,1.19,1.26,1.1,0.97,0.69,0.54,0.06,0.06,0.05,0.05,0.03,0.03
55,1.33,1.45,1.29,1.2,0.89,0.7,0.06,0.06,0.05,0.07,0.04,0.03
65,1.55,1.69,1.52,1.45,1.09,0.89,0.07,0.08,0.07,0.08,0.06,0.05
75,1.75,1.94,1.78,1.75,1.34,1.1,0.09,0.09,0.08,0.1,0.07,0.05
85,1.97,2.2,2.04,2.09,1.66,1.38,0.09,0.1,0.09,0.12,0.08,0.07
95,2.15,2.42,2.28,2.41,1.96,1.68,0.09,0.1,0.09,0.12,0.09,0.08
105,2.36,2.65,2.54,2.75,2.29,2.02,0.1,0.12,0.1,0.14,0.1,0.09
115,2.65,3.03,2.95,3.26,2.82,2.54,0.12,0.14,0.13,0.18,0.14,0.13
125,2.97,3.41,3.38,3.84,3.42,3.2,0.12,0.13,0.13,0.18,0.15,0.14
135,3.17,3.69,3.66,4.28,3.92,3.73,0.14,0.15,0.14,0.21,0.17,0.17
145,3.67,4.31,4.32,5.04,4.68,4.53,0.17,0.18,0.18,0.26,0.22,0.21
155,3.95,4.69,4.73,5.63,5.32,5.23,0.18,0.2,0.2,0.27,0.23,0.23
165,4.19,4.99,5.05,6.08,5.82,5.8,0.17,0.19,0.19,0.28,0.24,0.25
175,4.22,5.09,5.19,6.38,6.22,6.29,0.16,0.2,0.21,0.28,0.25,0.26
185,4.39,5.32,5.43,6.8,6.65,6.8,0.16,0.2,0.2,0.31,0.26,0.28
