Z/Q^0.4, V/Q^0.2
0.010000, 0.684000
0.010476, 0.700095
0.010975, 0.716569
0.011498, 0.733431
0.012045, 0.750689
0.012619, 0.768354
0.013219, 0.786434
0.013849, 0.804939
0.014508, 0.823880
0.015199, 0.843267
0.015923, 0.863110
0.016681, 0.883420
0.017475, 0.904208
0.018307, 0.925485
0.019179, 0.947262
0.020092, 0.969552
0.021049, 0.992367
0.022051, 1.015718
0.023101, 1.039619
0.024201, 1.064082
0.025354, 1.089121
0.026561, 1.114750
0.027826, 1.140981
0.029151, 1.167829
0.030539, 1.195309
0.031993, 1.223436
0.033516, 1.252225
0.035112, 1.281691
0.036784, 1.311851
0.038535, 1.342720
0.040370, 1.374315
0.042292, 1.406654
0.044306, 1.439754
0.046416, 1.473633
0.048626, 1.508309
0.050941, 1.543801
0.053367, 1.580129
0.055908, 1.617311
0.058570, 1.655368
0.061359, 1.694320
0.064281, 1.734189
0.067342, 1.774997
0.070548, 1.816764
0.073907, 1.859514
0.077426, 1.903271
0.081113, 1.930000
0.084975, 1.930000
0.089022, 1.930000
0.093260, 1.930000
0.097701, 1.930000
0.102353, 1.930000
0.107227, 1.930000
0.112332, 1.930000
0.117681, 1.930000
0.123285, 1.930000
0.129155, 1.930000
0.135305, 1.930000
0.141747, 1.930000
0.148497, 1.930000
0.155568, 1.930000
0.162975, 1.930000
0.170735, 1.930000
0.178865, 1.930000
0.187382, 1.930000
0.196304, 1.930000
0.205651, 1.897467
0.215443, 1.868273
0.225702, 1.839527
0.236449, 1.811224
0.247708, 1.783357
0.259502, 1.755918
0.271859, 1.728901
0.284804, 1.702300
0.298365, 1.676109
0.312572, 1.650320
0.327455, 1.624928
0.343047, 1.599927
0.359381, 1.575311
0.376494, 1.551073
0.394421, 1.527208
0.413201, 1.503710
0.432876, 1.480574
0.453488, 1.457794
0.475081, 1.435364
0.497702, 1.413280
0.521401, 1.391535
0.546228, 1.370125
0.572237, 1.349044
0.599484, 1.328288
0.628029, 1.307850
0.657933, 1.287728
0.689261, 1.267915
0.722081, 1.248407
0.756463, 1.229199
0.792483, 1.210286
0.830218, 1.191665
0.869749, 1.173330
0.911163, 1.155277
0.954548, 1.137502
1.000000, 1.120000
