Z/Q^0.4, dT (C)
0.010000, 800.000000
0.010476, 800.000000
0.010975, 800.000000
0.011498, 800.000000
0.012045, 800.000000
0.012619, 800.000000
0.013219, 800.000000
0.013849, 800.000000
0.014508, 800.000000
0.015199, 800.000000
0.015923, 800.000000
0.016681, 800.000000
0.017475, 800.000000
0.018307, 800.000000
0.019179, 800.000000
0.020092, 800.000000
0.021049, 800.000000
0.022051, 800.000000
0.023101, 800.000000
0.024201, 800.000000
0.025354, 800.000000
0.026561, 800.000000
0.027826, 800.000000
0.029151, 800.000000
0.030539, 800.000000
0.031993, 800.000000
0.033516, 800.000000
0.035112, 800.000000
0.036784, 800.000000
0.038535, 800.000000
0.040370, 800.000000
0.042292, 800.000000
0.044306, 800.000000
0.046416, 800.000000
0.048626, 800.000000
0.050941, 800.000000
0.053367, 800.000000
0.055908, 800.000000
0.058570, 800.000000
0.061359, 800.000000
0.064281, 800.000000
0.067342, 800.000000
0.070548, 800.000000
0.073907, 800.000000
0.077426, 800.000000
0.081113, 776.693446
0.084975, 741.391530
0.089022, 707.694141
0.093260, 675.528350
0.097701, 644.824544
0.102353, 615.516273
0.107227, 587.540109
0.112332, 560.835504
0.117681, 535.344665
0.123285, 511.012423
0.129155, 487.786120
0.135305, 465.615488
0.141747, 444.452546
0.148497, 424.251491
0.155568, 404.968606
0.162975, 386.562158
0.170735, 368.992312
0.178865, 352.221041
0.187382, 336.212052
0.196304, 320.930695
0.205651, 301.463610
0.215443, 278.974728
0.225702, 258.163493
0.236449, 238.904756
0.247708, 221.082701
0.259502, 204.590153
0.271859, 189.327933
0.284804, 175.204259
0.298365, 162.134198
0.312572, 150.039149
0.327455, 138.846379
0.343047, 128.488579
0.359381, 118.903460
0.376494, 110.033381
0.394421, 101.825001
0.413201, 94.228958
0.432876, 87.199573
0.453488, 80.694572
0.475081, 74.674838
0.497702, 69.104170
0.521401, 63.949068
0.546228, 59.178532
0.572237, 54.763873
0.599484, 50.678543
0.628029, 46.897975
0.657933, 43.399433
0.689261, 40.161879
0.722081, 37.165843
0.756463, 34.393308
0.792483, 31.827602
0.830218, 29.453295
0.869749, 27.256109
0.911163, 25.222830
0.954548, 23.341233
1.000000, 21.600000
