Z/Q^0.4,dT (C)
0.011,686.517
0.022,739.261
0.024,751.283
0.037,830.279
0.042,835.608
0.054,825.625
0.06,806.481
0.073,775.944
0.099,674.699
0.11,585.311
0.116,622.513
0.152,476.085
0.199,339.376
0.236,269.172
0.307,164.205
