s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF_x_5_y_10","HF_x_10_y_10","HF_x_15_y_10","HF_x_22_y_10","HF_x_5_y_30","HF_x_10_y_30","HF_x_15_y_30","HF_x_22_y_30","HF_x_5_y_50","HF_x_10_y_50","HF_x_15_y_50","HF_x_22_y_50","HF_x_5_y_70","HF_x_10_y_70","HF_x_15_y_70","HF_x_22_y_70","HF_x_5_y_90","HF_x_10_y_90","HF_x_15_y_90","HF_x_22_y_90","HF_x_5_y_110","HF_x_10_y_110","HF_x_15_y_110","HF_x_22_y_110","HF_x_5_y_130","HF_x_10_y_130","HF_x_15_y_130","HF_x_22_y_130"
 0.0000000E+000,-5.6356830E-003,-4.2045531E-003,-3.2697436E-003,-1.9023212E-003,-5.1418162E-003,-3.6378958E-003,-2.5214052E-003,-1.1944020E-004,-4.8524289E-003,-3.4269205E-003,-2.2946501E-003,-2.5855638E-005,-4.8524289E-003,-3.4269205E-003,-2.2946501E-003,-2.5855638E-005,-4.7870226E-003,-3.3753819E-003,-2.2846840E-003,-2.6280901E-005,-4.8524289E-003,-3.4269205E-003,-2.2946501E-003,-2.5855638E-005,-4.8324657E-003,-3.4042471E-003,-2.2795246E-003,-2.5855638E-005
 5.0080293E-001, 3.9866068E-002, 4.9114893E-002, 4.4251812E-002, 1.9903586E-002,-4.7105128E-004,-6.6007840E-004,-5.9694338E-004,-1.6757452E-003,-6.7806479E-004,-9.3683685E-004,-8.6323792E-004,-1.4651587E-003,-5.5567676E-004,-8.1034309E-004,-7.1724084E-004,-1.2909780E-003,-5.1512589E-004,-7.3902408E-004,-6.5134046E-004,-1.2013739E-003,-4.5763240E-004,-6.0486948E-004,-5.4898433E-004,-1.0837709E-003,-2.5275116E-004,-3.6060200E-004,-3.3152091E-004,-7.2929669E-004
 1.0015654E+000, 1.2932599E+000, 1.8564047E+000, 2.2400731E+000, 1.2991656E+000, 2.6392903E-001, 2.2883786E-001, 3.0319761E-001, 1.7198737E-001, 5.9507199E-002, 3.1195820E-002, 5.3015873E-002, 4.2640102E-002, 1.4817833E-002, 1.0845085E-002, 1.3264756E-002, 1.3411943E-002, 7.7039095E-003, 4.4001142E-003, 3.3213242E-003, 4.9357985E-003, 3.2460995E-003, 1.1758990E-003, 6.9882823E-004, 1.7976886E-003, 8.7039119E-004, 1.4969441E-004, 7.1546649E-005, 3.7756020E-004
 1.5008715E+000, 3.3041715E+000, 5.2474837E+000, 5.2740726E+000, 3.3089721E+000, 8.5592253E-001, 9.2469058E-001, 1.1914601E+000, 7.0256289E-001, 2.0904131E-001, 1.2554971E-001, 2.3008587E-001, 1.8012974E-001, 7.8789730E-002, 5.7332629E-002, 5.9134867E-002, 8.8447392E-002, 6.2046655E-002, 2.4959855E-002, 1.8946816E-002, 6.4702569E-002, 3.1559107E-002, 8.1874432E-003, 6.7384154E-003, 4.4055702E-002, 1.0431756E-002, 2.0861268E-003, 2.2057250E-003, 2.3015450E-002
 2.0000414E+000, 6.8755233E+000, 1.0107970E+001, 9.2713671E+000, 5.4821879E+000, 2.3747494E+000, 2.2884734E+000, 1.8788874E+000, 1.1284501E+000, 7.9317126E-001, 7.5615534E-001, 6.9707986E-001, 3.8854086E-001, 5.6989669E-001, 5.0109627E-001, 3.6239528E-001, 1.9617882E-001, 1.4580711E-001, 6.0949722E-002, 9.2563540E-002, 1.0285338E-001, 3.6646188E-002, 1.4733183E-002, 2.3832341E-002, 7.4093818E-002, 1.2670465E-002, 3.8728973E-003, 8.1315828E-003, 4.5119511E-002
 2.5005927E+000, 1.8010246E+001, 1.7210213E+001, 1.7321819E+001, 6.6607959E+000, 6.5312793E+000, 3.9251636E+000, 3.1891602E+000, 1.3313683E+000, 2.4869062E+000, 1.4944182E+000, 1.1930813E+000, 5.8111365E-001, 1.2786055E+000, 7.3045993E-001, 5.6758493E-001, 2.5354824E-001, 8.7115952E-001, 6.8804793E-001, 4.7964206E-001, 3.3961699E-001, 4.1700562E-001, 4.1952659E-001, 3.2728245E-001, 1.7866752E-001, 1.4588687E-001, 9.9802579E-002, 1.3083504E-001, 1.6773635E-001
 3.0000484E+000, 1.8558647E+001, 3.4612262E+001, 2.3926724E+001, 7.3710529E+000, 1.6185917E+001, 8.7843875E+000, 4.9261528E+000, 1.8386163E+000, 5.8547860E+000, 2.0831037E+000, 1.2970663E+000, 7.6247567E-001, 2.9180678E+000, 1.1976134E+000, 8.3346252E-001, 6.0239036E-001, 1.7142583E+000, 8.3127246E-001, 6.5020085E-001, 4.0090993E-001, 1.3155391E+000, 6.3423783E-001, 5.0604612E-001, 3.7619845E-001, 9.7258276E-001, 5.2647015E-001, 4.1570841E-001, 2.7215563E-001
 3.5007822E+000, 2.3900714E+001, 3.4211186E+001, 2.2227824E+001, 8.7390444E+000, 1.3103271E+001, 6.9024935E+000, 3.8955092E+000, 1.9723116E+000, 4.7957553E+000, 2.5321422E+000, 1.6188235E+000, 1.0367418E+000, 2.4622269E+000, 1.7504002E+000, 1.2011680E+000, 6.9970440E-001, 1.7607901E+000, 1.2283932E+000, 9.2314469E-001, 5.8125529E-001, 1.1449816E+000, 7.8901207E-001, 6.2964764E-001, 2.8482548E-001, 8.8456605E-001, 6.6641382E-001, 4.7412794E-001, 2.3533695E-001
 4.0001005E+000, 2.3342913E+001, 3.8144773E+001, 2.4372302E+001, 9.7960371E+000, 1.4342638E+001, 1.2021972E+001, 5.3037178E+000, 2.4672610E+000, 7.2233339E+000, 4.5623357E+000, 2.6071219E+000, 1.3504390E+000, 3.4075808E+000, 2.8177037E+000, 1.4909018E+000, 9.7558097E-001, 1.9356291E+000, 1.6255724E+000, 1.1984806E+000, 7.0305011E-001, 1.3151961E+000, 1.0230927E+000, 7.8909254E-001, 2.9112165E-001, 8.1393107E-001, 6.7660362E-001, 5.7592317E-001, 4.1154972E-001
 4.5000741E+000, 2.8949558E+001, 3.7622859E+001, 2.8517184E+001, 9.7259234E+000, 2.1459510E+001, 1.3961608E+001, 8.5302286E+000, 4.3737885E+000, 7.4102605E+000, 5.6356669E+000, 4.6813458E+000, 2.8332960E+000, 2.9904618E+000, 2.8422860E+000, 1.8859489E+000, 1.2874771E+000, 1.5826937E+000, 1.3175462E+000, 1.0748850E+000, 5.7952921E-001, 8.9982637E-001, 7.2336544E-001, 6.3237061E-001, 4.2548359E-001, 7.3021504E-001, 5.0646527E-001, 3.9844178E-001, 3.6829509E-001
 5.0004544E+000, 3.2019310E+001, 4.4921582E+001, 3.2264802E+001, 1.1941953E+001, 2.2305195E+001, 1.4676088E+001, 7.7456578E+000, 3.2313710E+000, 1.5389061E+001, 5.7395053E+000, 3.1131987E+000, 1.4412866E+000, 6.5073580E+000, 3.7014431E+000, 1.7407471E+000, 9.1201379E-001, 3.1816846E+000, 2.1696447E+000, 1.1649095E+000, 6.8068724E-001, 2.1762877E+000, 1.4995518E+000, 1.0950855E+000, 6.3907473E-001, 1.7244602E+000, 1.3926603E+000, 1.0909479E+000, 6.9844820E-001
