s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,kg/m2/s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,m/s,m/s,m/s,m/s
Time,"DC HRR","NIST HRR","FDS HRR","HFG-x5_z10","HFG-x5_z30","HFG-x5_z50","HFG-x5_z70","HFG-x5_z90","HFG-x5_z110","HFG-x5_z130","HFG-x10_z10","HFG-x10_z30","HFG-x10_z50","HFG-x10_z70","HFG-x10_z90","HFG-x10_z110","HFG-x10_z130","HFG-x15_z10","HFG-x15_z30","HFG-x15_z50","HFG-x15_z70","HFG-x15_z90","HFG-x15_z110","HFG-x15_z130","HFG-x22_z10","HFG-x22_z30","HFG-x22_z50","HFG-x22_z70","HFG-x22_z90","HFG-x22_z110","HFG-x22_z130","HFG-y5_z10","HFG-y5_z30","HFG-y5_z50","HFG-y5_z70","HFG-y5_z90","HFG-y5_z110","HFG-y5_z130","HFG-y10_z10","HFG-y10_z30","HFG-y10_z50","HFG-y10_z70","HFG-y10_z90","HFG-y10_z110","HFG-y10_z130","HFG-y15_z10","HFG-y15_z30","HFG-y15_z50","HFG-y15_z70","HFG-y15_z90","HFG-y15_z110","HFG-y15_z130","HFG-y22_z10","HFG-y22_z30","HFG-y22_z50","HFG-y22_z70","HFG-y22_z90","HFG-y22_z110","HFG-y22_z130","GHF_z10","GHF_z35","GHF_z60","GHF_z85","GHF_z110","GHF_z135","RHF_z35","RHF_z85","O2","CO","CO2","SOOT","H2O","T","VF","MF","CO_MF","BR_x05_z05","BR_x05_z25","BR_x05_z75","BR_x22_z05","BR_x22_z25","BR_x22_z75","WT_x05_z05","WT_x05_z25","WT_x05_z75","WT_x22_z05","WT_x22_z25","WT_x22_z75","NHF_x05_z05","NHF_x05_z25","NHF_x05_z75","NHF_x22_z05","NHF_x22_z25","NHF_x22_z75","CHF_x05_z05","CHF_x05_z25","CHF_x05_z75","CHF_x22_z05","CHF_x22_z25","CHF_x22_z75","RHF_x05_z05","RHF_x05_z25","RHF_x05_z75","RHF_x22_z05","RHF_x22_z25","RHF_x22_z75","GT_x05_y05_z30","GT_x05_y15_z30","GT_x05_y05_z90","GT_x05_y15_z90","GT_x22_y05_z30","GT_x22_y15_z30","GT_x22_y05_z90","GT_x22_y15_z90","W_x05_y05_z30","W_x05_y15_z30","W_x05_y05_z90","W_x05_y15_z90","W_x22_y05_z30","W_x22_y15_z30","W_x22_y05_z90","W_x22_y15_z90","GTRMS_x05_y05_z90_T098","GTRMS_x05_y05_z90_T100","GTRMS_x05_y05_z90_T102","GTRMS_x05_y05_z90_T104","WRMS_x22_y05_z90_T098","WRMS_x22_y05_z90_T100","WRMS_x22_y05_z90_T102","WRMS_x22_y05_z90_T104"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8343181E-003, 8.6019602E-003, 8.6269173E-003, 7.2373900E-003, 7.2883705E-003, 7.6845750E-003, 4.5790204E-003, 9.3857605E-003, 8.1085540E-003, 8.0318254E-003, 6.5710476E-003, 6.5162972E-003, 6.8819241E-003, 3.4376996E-003, 9.1752081E-003, 7.9021979E-003, 7.7471303E-003, 6.3564865E-003, 6.3218832E-003, 6.6317467E-003, 3.0259003E-003, 8.7719440E-003, 7.5913798E-003, 7.3546488E-003, 5.8585641E-003, 5.9822270E-003, 6.2571522E-003, 2.6282942E-003, 1.0397366E-002, 9.3971502E-003, 9.5538995E-003, 7.7283741E-003, 7.9740875E-003, 8.2347127E-003, 5.9687603E-003, 1.0281320E-002, 9.1577994E-003, 9.2899641E-003, 7.1660494E-003, 7.4452051E-003, 7.7497804E-003, 4.7860469E-003, 1.0141140E-002, 8.9286754E-003, 9.0045251E-003, 6.9731664E-003, 7.1544971E-003, 7.4385636E-003, 4.3227470E-003, 8.0303798E-003, 7.0420765E-003, 6.5049595E-003, 6.0524524E-003, 6.2481845E-003, 5.8417196E-003, 3.1644727E-003, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 6.2814872E-002, 6.2814872E-002, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.2332379E-003,-2.2900729E-003,-3.8766171E-003,-2.1430810E-003,-3.2655935E-003,-5.2196242E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2332379E-003,-2.2900729E-003,-3.8766171E-003,-2.1430810E-003,-3.2655935E-003,-5.2196242E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.2004746E-002, 9.1018981E-003,-4.1494432E-003, 2.9828788E-003,-1.3017623E-002, 9.4080135E-003,-4.6397309E-003, 4.2593449E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0249875E-001, 4.9900872E-014, 6.2561642E-014, 2.1652971E-001, 2.2147093E-002, 1.5763708E-002, 1.4505251E-002, 1.4234835E-002, 1.3867733E-002, 1.3241526E-002, 1.3848044E-002, 2.3531517E-002, 1.5666872E-002, 1.4196320E-002, 1.4065792E-002, 1.3647630E-002, 1.2981999E-002, 1.3618966E-002, 2.3214534E-002, 1.5523560E-002, 1.4049549E-002, 1.3997969E-002, 1.3554049E-002, 1.2858504E-002, 1.3514359E-002, 2.0605389E-002, 1.5104920E-002, 1.3833939E-002, 1.3881848E-002, 1.3376487E-002, 1.2645705E-002, 1.3330325E-002, 2.2205224E-002, 1.5771709E-002, 1.4425535E-002, 1.3946072E-002, 1.3624673E-002, 1.3013971E-002, 1.3449572E-002, 2.3307735E-002, 1.5683496E-002, 1.4208162E-002, 1.3686195E-002, 1.3330282E-002, 1.2672561E-002, 1.3167694E-002, 2.2796150E-002, 1.5460524E-002, 1.4065388E-002, 1.3583174E-002, 1.3210471E-002, 1.2516962E-002, 1.3058995E-002, 1.7661149E-002, 1.4677050E-002, 1.3845028E-002, 1.4166147E-002, 1.3841911E-002, 1.3017989E-002, 1.3502760E-002, 1.5963747E-002, 1.5610375E-002, 1.5516129E-002, 1.4947960E-002, 1.4049585E-002, 1.4746090E-002,-2.9361306E-003,-3.4989613E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9998803E+001, 1.1028155E-001, 1.3177508E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000579E+001, 1.9999886E+001, 1.9999674E+001, 2.0000443E+001, 1.9999793E+001, 1.9999603E+001, 1.3019560E-002, 6.2640029E-004,-1.6814902E-003, 1.1101386E-002,-7.4348110E-005,-2.0364295E-003,-1.2071634E-006, 2.3090007E-007, 6.3782205E-007,-9.1459719E-007, 4.3105171E-007, 7.8089825E-007, 1.3020767E-002, 6.2616939E-004,-1.6821280E-003, 1.1102300E-002,-7.4779162E-005,-2.0372104E-003, 1.9999989E+001, 1.9999975E+001, 1.9999946E+001, 1.9999935E+001, 1.9999976E+001, 1.9999961E+001, 1.9999935E+001, 1.9999917E+001,-7.8676250E-003, 1.2762548E-002, 3.2169530E-003, 1.0066711E-002,-8.8588850E-003, 1.2294892E-002, 2.7402332E-003, 7.4881363E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0117400E-001, 1.0186644E-013, 1.2771184E-013, 5.0495988E-001, 8.0002420E-002, 2.7708311E-002, 1.9544207E-002, 1.7389602E-002, 1.6798655E-002, 1.6621102E-002, 1.6489939E-002, 9.1533907E-002, 2.8743616E-002, 1.9792902E-002, 1.7453399E-002, 1.6820808E-002, 1.6594717E-002, 1.6445268E-002, 8.9151426E-002, 2.8168411E-002, 1.9666255E-002, 1.7479369E-002, 1.6870772E-002, 1.6629298E-002, 1.6459176E-002, 6.8183842E-002, 2.5825928E-002, 1.9220865E-002, 1.7386414E-002, 1.6852019E-002, 1.6659954E-002, 1.6505648E-002, 8.1284368E-002, 2.8063076E-002, 1.9633388E-002, 1.7419032E-002, 1.6799539E-002, 1.6612582E-002, 1.6480826E-002, 9.1632281E-002, 2.8981653E-002, 1.9881170E-002, 1.7505059E-002, 1.6827095E-002, 1.6582391E-002, 1.6434039E-002, 8.8229147E-002, 2.8278574E-002, 1.9716445E-002, 1.7517165E-002, 1.6878519E-002, 1.6622338E-002, 1.6455805E-002, 6.0360528E-002, 2.4222749E-002, 1.8746548E-002, 1.7144463E-002, 1.6735644E-002, 1.6582261E-002, 1.6460310E-002, 2.0876119E-002, 1.9111658E-002, 1.7944674E-002, 1.7596747E-002, 1.7345957E-002, 1.7164790E-002, 4.0151706E-005,-1.2472811E-003, 2.0954574E-001, 5.3105612E-249, 3.9011087E-004, 2.4769472E-248, 9.4820369E-003, 1.9997868E+001, 2.1259934E-001, 2.5403512E-001, 1.3017974E-249, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0015508E+001, 2.0001875E+001, 1.9999601E+001, 2.0013304E+001, 2.0001367E+001, 1.9999504E+001, 1.2011926E-001, 1.7185654E-002, 7.0418139E-004, 1.0346623E-001, 1.4039620E-002, 7.3314034E-004,-3.4485496E-005,-3.9176442E-006, 7.8538711E-007,-2.9276748E-005,-2.7477734E-006, 9.9462926E-007, 1.2015375E-001, 1.7189572E-002, 7.0339600E-004, 1.0349551E-001, 1.4042368E-002, 7.3214571E-004, 2.0000249E+001, 2.0000224E+001, 1.9999891E+001, 1.9999869E+001, 2.0000205E+001, 2.0000156E+001, 1.9999871E+001, 1.9999842E+001, 8.8741896E-003, 2.8748634E-002, 3.1905509E-002, 3.8769891E-002, 7.8906121E-003, 2.6449696E-002, 3.2225795E-002, 3.4169569E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0031580E-001, 1.4513830E-013, 1.8196256E-013, 7.9722214E-001, 2.7604718E-001, 6.5187106E-002, 3.0688759E-002, 2.1854633E-002, 1.8826246E-002, 1.7944667E-002, 1.7367243E-002, 3.5319342E-001, 7.1373570E-002, 3.1498739E-002, 2.1981191E-002, 1.8786333E-002, 1.7693240E-002, 1.7070463E-002, 3.3720182E-001, 6.8270897E-002, 3.1069208E-002, 2.2247547E-002, 1.9110078E-002, 1.7919302E-002, 1.7224855E-002, 2.2959072E-001, 5.7125497E-002, 2.9145412E-002, 2.1814706E-002, 1.9164994E-002, 1.8265013E-002, 1.7694598E-002, 2.7691687E-001, 6.5497536E-002, 3.0791554E-002, 2.1894033E-002, 1.8827970E-002, 1.7935762E-002, 1.7355610E-002, 3.5363141E-001, 7.1594537E-002, 3.1597146E-002, 2.2029386E-002, 1.8782929E-002, 1.7675568E-002, 1.7053196E-002, 3.3663389E-001, 6.8397283E-002, 3.1132009E-002, 2.2278694E-002, 1.9107547E-002, 1.7907336E-002, 1.7213665E-002, 2.1507649E-001, 5.4080932E-002, 2.8198665E-002, 2.1370518E-002, 1.8927017E-002, 1.8091020E-002, 1.7553072E-002, 4.0629316E-002, 2.9903049E-002, 2.4765674E-002, 2.2015377E-002, 2.0081349E-002, 1.9070899E-002, 9.2126597E-003, 2.5086459E-003, 2.0954574E-001, 1.5772963E-199, 3.9011087E-004, 7.3568113E-199, 9.4820369E-003, 1.9997136E+001, 3.0043021E-001, 3.5898520E-001, 5.4638532E-200, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0093174E+001, 2.0013613E+001, 2.0000242E+001, 2.0080925E+001, 2.0010990E+001, 2.0000181E+001, 4.6950800E-001, 7.3265292E-002, 4.0366172E-003, 4.1571402E-001, 6.0102433E-002, 4.1909410E-003,-1.6896822E-004,-2.8460168E-005,-4.0028983E-007,-1.0959507E-004,-2.2495923E-005,-2.6998212E-007, 4.6967697E-001, 7.3293752E-002, 4.0370175E-003, 4.1582361E-001, 6.0124929E-002, 4.1912110E-003, 2.0001898E+001, 2.0001977E+001, 1.9999969E+001, 1.9999953E+001, 2.0001716E+001, 2.0001648E+001, 1.9999956E+001, 1.9999932E+001, 2.2273195E-002, 4.1183036E-002, 5.4106116E-002, 6.0087504E-002, 2.1170479E-002, 3.6342011E-002, 5.5217911E-002, 5.2664855E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0042670E-001, 1.8009746E-013, 2.2579149E-013, 1.1056409E+000, 4.9091037E-001, 1.0437268E-001, 4.1902007E-002, 2.6810296E-002, 2.1295998E-002, 1.9628168E-002, 1.8549759E-002, 7.0686097E-001, 1.1964581E-001, 4.2540702E-002, 2.6186509E-002, 2.0529692E-002, 1.8650700E-002, 1.7664951E-002, 6.4860418E-001, 1.1202188E-001, 4.2292229E-002, 2.7063700E-002, 2.1282975E-002, 1.9181343E-002, 1.8051618E-002, 3.9809271E-001, 8.9107805E-002, 3.8756837E-002, 2.6528421E-002, 2.1784864E-002, 2.0260097E-002, 1.9382422E-002, 4.9174019E-001, 1.0500464E-001, 4.2165765E-002, 2.6886153E-002, 2.1273324E-002, 1.9588632E-002, 1.8516297E-002, 7.0605068E-001, 1.1993421E-001, 4.2724492E-002, 2.6212196E-002, 2.0476010E-002, 1.8602324E-002, 1.7632424E-002, 6.4649283E-001, 1.1226765E-001, 4.2430441E-002, 2.7127121E-002, 2.1281053E-002, 1.9173435E-002, 1.8043462E-002, 3.8081615E-001, 8.6812945E-002, 3.8192114E-002, 2.6272926E-002, 2.1612177E-002, 2.0123225E-002, 1.9279024E-002, 6.1681915E-002, 4.1982458E-002, 3.3390212E-002, 2.7583084E-002, 2.3501794E-002, 2.1883476E-002, 1.9479341E-002, 7.2410173E-003, 2.0954574E-001, 1.2935315E-169, 3.9011087E-004, 6.0332779E-169, 9.4820369E-003, 1.9996555E+001, 3.7171259E-001, 4.4416167E-001, 5.5440518E-170, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0279950E+001, 2.0041698E+001, 2.0001931E+001, 2.0257959E+001, 2.0034015E+001, 2.0001919E+001, 9.5211980E-001, 1.3288747E-001, 7.7856762E-003, 8.4113916E-001, 1.0783074E-001, 7.8885459E-003, 9.6318816E-004,-8.6352223E-005,-3.0590737E-006, 5.6512505E-003,-6.9163279E-005,-3.0278783E-006, 9.5115661E-001, 1.3297382E-001, 7.7887353E-003, 8.3548791E-001, 1.0789990E-001, 7.8915738E-003, 2.0006046E+001, 2.0006544E+001, 2.0000359E+001, 2.0000349E+001, 2.0005461E+001, 2.0005503E+001, 2.0000356E+001, 2.0000315E+001, 3.7417839E-002, 5.3894968E-002, 7.2353165E-002, 7.5175134E-002, 3.4769385E-002, 4.5081566E-002, 7.3772821E-002, 6.7484545E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007058E+000, 2.0693367E-013, 2.5943655E-013, 1.3854459E+000, 9.6881310E-001, 1.5786325E-001, 5.3518224E-002, 3.1138119E-002, 2.3380457E-002, 2.1029958E-002, 1.9484752E-002, 1.5492762E+000, 1.8614137E-001, 5.5122018E-002, 3.0070739E-002, 2.1920883E-002, 1.9408884E-002, 1.8117114E-002, 1.3603160E+000, 1.7135877E-001, 5.4428022E-002, 3.1157592E-002, 2.2916055E-002, 2.0208588E-002, 1.8760495E-002, 6.1833369E-001, 1.2611883E-001, 4.8491255E-002, 3.0624524E-002, 2.3852684E-002, 2.1824589E-002, 2.0711993E-002, 9.6136647E-001, 1.5967670E-001, 5.4420201E-002, 3.1443009E-002, 2.3307033E-002, 2.0888021E-002, 1.9373244E-002, 1.6013130E+000, 1.8906331E-001, 5.5765714E-002, 3.0155217E-002, 2.1773042E-002, 1.9281875E-002, 1.8044089E-002, 1.2501692E+000, 1.6920643E-001, 5.4945223E-002, 3.1556797E-002, 2.3039543E-002, 2.0263774E-002, 1.8791045E-002, 5.7006159E-001, 1.2308879E-001, 4.8153941E-002, 3.0476087E-002, 2.3657424E-002, 2.1658090E-002, 2.0626519E-002, 6.5406922E-002, 5.0889604E-002, 3.9761700E-002, 3.1654168E-002, 2.6188684E-002, 2.3814522E-002, 2.7049102E-002, 1.0701009E-002, 2.0954574E-001, 1.5010722E-148, 3.9011087E-004, 7.0012878E-148, 9.4820369E-003, 1.9996067E+001, 4.2648755E-001, 5.0961345E-001, 7.3816199E-149, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0614259E+001, 2.0087318E+001, 2.0004405E+001, 2.0514252E+001, 2.0069287E+001, 2.0004402E+001, 1.3873981E+000, 2.2333936E-001, 1.0995078E-002, 9.4463845E-001, 1.6501754E-001, 1.0993541E-002, 6.5789634E-003,-1.7840993E-004,-6.5586124E-006, 1.7699882E-002,-1.3872497E-004,-6.5945759E-006, 1.3808192E+000, 2.2351777E-001, 1.1001637E-002, 9.2693857E-001, 1.6515626E-001, 1.1000135E-002, 2.0013024E+001, 2.0014346E+001, 2.0001081E+001, 2.0001076E+001, 2.0011511E+001, 2.0011755E+001, 2.0001045E+001, 2.0000955E+001, 6.3764374E-002, 7.4601227E-002, 8.8253990E-002, 8.5701438E-002, 5.4059350E-002, 5.6455774E-002, 8.8852868E-002, 8.2813580E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2005671E+000, 2.2665673E-013, 2.8416371E-013, 2.2383433E+000, 1.2632886E+000, 2.1080756E-001, 6.7572331E-002, 3.6620644E-002, 2.6283197E-002, 2.2969318E-002, 2.0604025E-002, 2.3091826E+000, 2.6249293E-001, 6.9010498E-002, 3.4388718E-002, 2.3487069E-002, 2.0124617E-002, 1.8463832E-002, 1.8407638E+000, 2.3105112E-001, 6.8246694E-002, 3.6623106E-002, 2.5584064E-002, 2.1813406E-002, 1.9658916E-002, 7.6146688E-001, 1.6482517E-001, 5.9846923E-002, 3.5649672E-002, 2.6628820E-002, 2.4124737E-002, 2.2590205E-002, 1.2820000E+000, 2.1334072E-001, 6.8432479E-002, 3.6806393E-002, 2.6101190E-002, 2.2752723E-002, 2.0433727E-002, 2.4373304E+000, 2.6330673E-001, 6.9767273E-002, 3.4525153E-002, 2.3400059E-002, 2.0046108E-002, 1.8398898E-002, 1.7468078E+000, 2.2728251E-001, 6.8687194E-002, 3.7015742E-002, 2.5721932E-002, 2.1933072E-002, 1.9750354E-002, 7.3501953E-001, 1.6122245E-001, 5.9279635E-002, 3.5387907E-002, 2.6290870E-002, 2.3794563E-002, 2.2398396E-002, 8.4411078E-002, 6.2113894E-002, 4.7674007E-002, 3.6837929E-002, 2.9502472E-002, 2.6155196E-002, 3.6588085E-002, 1.5106520E-002, 2.0954574E-001, 1.2617164E-132, 3.9011087E-004, 5.8848862E-132, 9.4820369E-003, 1.9995662E+001, 4.6683157E-001, 5.5782163E-001, 6.7915091E-133, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0952425E+001, 2.0154100E+001, 2.0007581E+001, 2.0746640E+001, 2.0116932E+001, 2.0007547E+001, 1.6548676E+000, 3.0737775E-001, 1.5167867E-002, 1.1690608E+000, 2.2208249E-001, 1.4886062E-002, 4.2615473E-003,-3.0834101E-004,-1.0581527E-005, 1.3429654E-002,-2.2755354E-004,-1.0725907E-005, 1.6506060E+000, 3.0768609E-001, 1.5178448E-002, 1.1556312E+000, 2.2231004E-001, 1.4896788E-002, 2.0024227E+001, 2.0027152E+001, 2.0002156E+001, 2.0002174E+001, 2.0021128E+001, 2.0021407E+001, 2.0001999E+001, 2.0001851E+001, 1.3337893E-001, 1.2386600E-001, 1.0311001E-001, 9.5446286E-002, 8.4952502E-002, 7.5028421E-002, 1.0143976E-001, 1.0104089E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4003375E+000, 2.4077886E-013, 3.0186889E-013, 3.3709063E+000, 2.2455630E+000, 3.9174363E-001, 1.0105742E-001, 4.8535149E-002, 3.2326808E-002, 2.6507869E-002, 2.2419820E-002, 4.1364851E+000, 4.8904087E-001, 1.0268499E-001, 4.4661019E-002, 2.7479727E-002, 2.2177994E-002, 1.9536774E-002, 2.6816645E+000, 3.7599776E-001, 9.9476335E-002, 4.9450231E-002, 3.2446715E-002, 2.6327400E-002, 2.2450832E-002, 1.0909979E+000, 2.5800681E-001, 8.5516928E-002, 4.6537193E-002, 3.2323787E-002, 2.8534282E-002, 2.6339301E-002, 2.3935807E+000, 3.9575462E-001, 1.0190683E-001, 4.8614694E-002, 3.2073992E-002, 2.6270377E-002, 2.2252615E-002, 4.2136302E+000, 4.8873586E-001, 1.0292439E-001, 4.4735531E-002, 2.7378208E-002, 2.2105195E-002, 1.9476854E-002, 2.6085821E+000, 3.7301312E-001, 9.9885199E-002, 4.9732869E-002, 3.2530702E-002, 2.6421372E-002, 2.2519752E-002, 1.0707329E+000, 2.5088865E-001, 8.4362273E-002, 4.6056439E-002, 3.1915310E-002, 2.8224625E-002, 2.6160850E-002, 1.2998950E-001, 9.0664366E-002, 6.7215808E-002, 4.9542791E-002, 3.7650784E-002, 3.2088512E-002, 6.0853339E-002, 2.5904309E-002, 2.0954574E-001, 4.2114648E-120, 3.9011087E-004, 1.9643077E-119, 9.4820369E-003, 1.9995390E+001, 4.9575848E-001, 5.9238722E-001, 2.4073989E-120, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1517029E+001, 2.0284182E+001, 2.0012365E+001, 2.1073984E+001, 2.0186330E+001, 2.0012151E+001, 2.9785005E+000, 6.5250112E-001, 2.4204043E-002, 1.6840628E+000, 3.5958100E-001, 2.3242187E-002, 9.9337703E-003, 1.6547991E-002,-1.5804971E-005, 3.5746369E-003,-3.3860736E-004,-1.6207814E-005, 2.9685668E+000, 6.3595313E-001, 2.4219848E-002, 1.6804882E+000, 3.5991961E-001, 2.3258394E-002, 6.1341270E+001, 4.3232450E+001, 2.0003975E+001, 2.0004125E+001, 2.8218954E+001, 2.3837504E+001, 2.0003451E+001, 2.0003371E+001, 5.4247532E-001, 3.0409102E-001, 1.1897745E-001, 1.0957722E-001, 3.8912344E-002, 2.9476464E-002, 1.1373394E-001, 1.2053775E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000976E+000, 2.5071922E-013, 3.1433130E-013, 4.5093665E+000, 3.6510296E+000, 6.9346082E-001, 1.3862237E-001, 6.0224035E-002, 3.7095340E-002, 2.8667178E-002, 2.3392665E-002, 5.5660763E+000, 7.5517238E-001, 1.4259162E-001, 5.8083661E-002, 3.3110459E-002, 2.5119724E-002, 2.1165459E-002, 3.9466982E+000, 5.0981230E-001, 1.3438964E-001, 6.3340877E-002, 3.9790752E-002, 3.0967521E-002, 2.5428792E-002, 1.4023378E+000, 3.2926039E-001, 1.1080804E-001, 5.7617301E-002, 3.7650553E-002, 3.1990671E-002, 2.9002128E-002, 3.8117434E+000, 7.4461308E-001, 1.3997711E-001, 5.9815663E-002, 3.6547310E-002, 2.8330349E-002, 2.3193770E-002, 5.2145682E+000, 8.3834710E-001, 1.4448658E-001, 5.8715527E-002, 3.3482398E-002, 2.5375931E-002, 2.1257272E-002, 3.8735611E+000, 5.7456600E-001, 1.3379208E-001, 6.3271621E-002, 3.9887275E-002, 3.1270520E-002, 2.5693541E-002, 1.3683801E+000, 3.2485175E-001, 1.0954300E-001, 5.7294880E-002, 3.7333299E-002, 3.1755785E-002, 2.8918665E-002, 1.7668710E-001, 1.2067104E-001, 8.8478530E-002, 6.3533697E-002, 4.6729618E-002, 3.8694059E-002, 8.6354870E-002, 3.7794237E-002, 2.0954574E-001, 7.1442216E-110, 3.9011087E-004, 3.3322015E-109, 9.4820369E-003, 1.9995231E+001, 5.1609292E-001, 6.1668540E-001, 4.2513591E-110, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2538144E+001, 2.0664741E+001, 2.0019304E+001, 2.1520354E+001, 2.0286645E+001, 2.0018809E+001, 4.7210099E+000, 1.2722205E+000, 3.2664867E-002, 2.2138336E+000, 4.5992573E-001, 3.1638077E-002, 7.6212336E-002, 1.3703797E-001,-2.2115488E-005,-2.1687372E-003,-5.1578317E-004,-2.3090947E-005, 4.6447976E+000, 1.1351825E+000, 3.2686982E-002, 2.2160023E+000, 4.6044151E-001, 3.1661168E-002, 1.7287854E+002, 7.4557114E+001, 2.0006660E+001, 2.0007195E+001, 2.6639019E+001, 6.3066062E+001, 2.0005554E+001, 2.0005822E+001, 1.4530551E+000, 7.6963780E-001, 1.4953827E-001, 1.3957331E-001,-1.0451417E-001, 3.2585202E-001, 1.3560225E-001, 1.4095557E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
