Time (s),HRR (kW)
0.011385476,0.00E+00
2.0567673,5.45E+01
3.964312,5.01E+01
5.6876326,4.98E+01
7.4902298,5.08E+01
9.0856916,1.09E+02
10.311675,1.60E+02
11.539866,1.95E+02
12.768309,2.17E+02
13.963621,2.25E+02
15.184878,2.35E+02
16.396216,2.41E+02
17.582766,2.46E+02
18.797845,2.44E+02
20.002308,2.45E+02
21.182611,2.50E+02
22.365684,2.51E+02
23.530904,2.51E+02
24.724581,2.55E+02
25.889713,2.56E+02
27.055621,2.53E+02
28.219333,2.54E+02
29.427184,2.67E+02
30.626167,2.61E+02
31.78517,2.57E+02
32.944847,2.59E+02
34.103546,2.68E+02
35.258462,2.73E+02
36.43069,2.82E+02
37.559749,2.77E+02
38.727793,2.69E+02
39.884752,2.77E+02
41.03512,2.86E+02
42.185395,2.76E+02
43.388706,2.76E+02
44.573285,2.77E+02
45.747517,2.77E+02
46.989336,2.70E+02
48.114115,2.77E+02
49.258938,2.82E+02
50.42924,2.82E+02
51.553983,2.85E+02
52.723831,2.75E+02
53.887887,2.83E+02
55.033273,2.86E+02
56.169005,2.97E+02
57.313493,2.91E+02
58.53155,2.94E+02
59.710402,2.81E+02
60.848286,2.91E+02
61.991517,2.95E+02
63.147431,3.01E+02
64.301121,2.97E+02
65.523845,2.80E+02
66.689956,2.75E+02
67.874043,2.81E+02
69.008721,2.83E+02
70.148178,2.86E+02
71.342788,2.89E+02
72.454504,2.85E+02
73.600975,2.95E+02
74.750707,2.95E+02
75.963553,2.87E+02
77.089257,2.79E+02
78.251632,2.91E+02
79.438726,2.97E+02
80.669404,2.95E+02
81.803851,2.92E+02
82.966777,2.84E+02
84.123235,2.94E+02
85.252486,3.00E+02
86.386904,2.94E+02
87.594876,3.00E+02
88.726917,2.91E+02
89.860386,2.98E+02
91.03822,2.93E+02
92.166198,2.88E+02
93.299026,2.93E+02
94.421682,2.96E+02
95.570912,2.93E+02
96.695291,2.96E+02
97.799117,2.97E+02
98.954141,3.05E+02
100.11311,2.90E+02
101.33569,2.92E+02
102.43062,2.88E+02
103.58849,2.96E+02
104.66458,2.94E+02
105.81859,2.97E+02
106.9907,2.96E+02
108.11566,3.05E+02
109.29981,2.98E+02
110.48353,2.88E+02
111.64622,2.96E+02
112.80689,3.07E+02
113.99145,3.03E+02
115.16221,2.90E+02
116.27239,3.03E+02
117.35791,2.96E+02
118.5665,3.09E+02
119.65858,3.11E+02
120.84678,3.11E+02
122.03021,3.05E+02
123.16365,3.03E+02
124.32077,3.01E+02
125.49209,3.00E+02
126.63186,2.93E+02
127.77169,3.00E+02
128.85805,2.92E+02
130.07586,2.93E+02
131.21217,2.90E+02
132.36918,2.95E+02
133.57596,2.88E+02
134.69687,3.02E+02
135.77238,3.10E+02
136.89455,3.11E+02
137.99586,3.03E+02
139.15455,2.98E+02
140.33587,2.93E+02
141.46195,3.00E+02
142.62602,3.01E+02
143.70735,3.12E+02
144.88019,3.30E+02
146.07343,3.04E+02
147.27549,2.98E+02
148.40637,2.99E+02
149.48137,2.99E+02
150.66983,3.07E+02
151.80609,2.91E+02
153.00503,2.97E+02
154.14673,2.98E+02
155.36815,3.00E+02
156.55393,3.02E+02
157.68665,3.01E+02
158.86461,3.03E+02
159.93318,2.99E+02
