Time (s),HRR (kW)
0.011385476,0.00E+00
1.3864929,6.10E+01
2.2620245,5.19E+01
3.3499861,4.99E+01
4.4109822,4.97E+01
5.4832296,5.77E+01
6.4040948,1.18E+02
7.1233172,1.60E+02
7.8575224,1.99E+02
8.5825608,2.03E+02
9.2881928,2.13E+02
10.022043,2.22E+02
10.786293,2.39E+02
11.433399,2.38E+02
12.146541,2.41E+02
12.836036,2.44E+02
13.590334,2.28E+02
14.31863,2.27E+02
15.054619,2.38E+02
15.791392,2.43E+02
16.515256,2.51E+02
17.242078,2.55E+02
17.968227,2.57E+02
18.660769,2.49E+02
19.361769,2.62E+02
20.086668,2.54E+02
20.794974,2.60E+02
21.537267,2.66E+02
22.275474,2.74E+02
22.981749,2.61E+02
23.711642,2.55E+02
24.403556,2.64E+02
25.138586,2.70E+02
25.880765,2.91E+02
26.544708,2.62E+02
27.252644,2.69E+02
27.979834,2.92E+02
28.692442,2.80E+02
29.407214,2.80E+02
30.126299,2.67E+02
30.864736,2.74E+02
31.625491,2.76E+02
32.365202,2.77E+02
33.072324,2.75E+02
33.79947,2.75E+02
34.548224,2.72E+02
35.274496,2.83E+02
35.966296,2.80E+02
36.683134,2.64E+02
37.423822,2.71E+02
38.097579,2.87E+02
38.779053,2.76E+02
39.462554,2.77E+02
40.160448,2.67E+02
40.862356,2.76E+02
41.553762,2.85E+02
42.240342,2.77E+02
42.950333,2.70E+02
43.701082,2.73E+02
44.438602,2.80E+02
45.164702,2.83E+02
45.898589,2.78E+02
46.629332,2.87E+02
47.370347,2.85E+02
48.110384,2.80E+02
48.803755,2.86E+02
49.531122,2.89E+02
50.279902,2.84E+02
50.993395,2.78E+02
51.720123,2.92E+02
52.447726,2.90E+02
53.187158,2.84E+02
53.907667,2.88E+02
54.616031,2.75E+02
55.316912,2.80E+02
56.033445,2.90E+02
56.728321,3.21E+02
57.480917,2.97E+02
58.201445,2.81E+02
58.902517,2.85E+02
59.632821,2.90E+02
60.351099,2.89E+02
61.074471,2.68E+02
61.78081,2.79E+02
62.480041,2.94E+02
63.156369,3.01E+02
63.896661,2.96E+02
64.608916,2.75E+02
65.33384,2.81E+02
66.043913,2.83E+02
66.779102,2.80E+02
67.490317,2.81E+02
68.205314,2.72E+02
68.892764,3.06E+02
69.619147,3.03E+02
70.341954,3.03E+02
71.085167,2.98E+02
71.804957,2.96E+02
72.520743,3.04E+02
73.26015,2.75E+02
74.000744,2.81E+02
74.734023,2.86E+02
75.453485,2.86E+02
76.135256,2.95E+02
76.872119,3.04E+02
77.616968,2.95E+02
78.364021,2.85E+02
79.077428,2.94E+02
79.812093,2.74E+02
80.497216,2.94E+02
81.186483,3.07E+02
81.895863,3.02E+02
82.615487,3.12E+02
83.378077,2.95E+02
84.107742,2.98E+02
84.840861,2.93E+02
85.568831,2.85E+02
86.2838,3.02E+02
87.020553,3.02E+02
87.760718,2.88E+02
88.4723,2.92E+02
89.158502,2.95E+02
89.887107,2.89E+02
90.644509,2.83E+02
91.356936,2.90E+02
92.084164,3.01E+02
92.845779,3.03E+02
93.590349,3.14E+02
94.298254,3.07E+02
95.055036,2.95E+02
95.784203,3.13E+02
96.491026,3.01E+02
97.200434,3.07E+02
97.911032,3.11E+02
98.662661,2.93E+02
99.367648,3.22E+02
100.1126,3.02E+02
100.8276,2.78E+02
101.54373,3.09E+02
102.26586,3.11E+02
102.97909,3.03E+02
103.68802,3.04E+02
104.4053,2.98E+02
105.0953,3.04E+02
105.77769,2.98E+02
106.50307,2.98E+02
107.2384,3.08E+02
107.97068,3.12E+02
108.69453,3.12E+02
109.40684,2.96E+02
110.09697,3.02E+02
110.78831,3.07E+02
111.49544,3.00E+02
112.22997,2.96E+02
112.97741,2.77E+02
113.66631,2.92E+02
114.38598,2.93E+02
115.13152,2.86E+02
115.88229,2.89E+02
116.61645,2.93E+02
117.31938,2.90E+02
118.03864,2.97E+02
118.77742,3.07E+02
119.50966,3.10E+02
120.2333,3.13E+02
120.98439,2.98E+02
121.70734,3.06E+02
122.4593,2.99E+02
123.13823,3.14E+02
123.83952,2.91E+02
124.53176,3.02E+02
125.27834,2.99E+02
126.01162,2.82E+02
126.76513,3.02E+02
127.50318,2.91E+02
128.23193,3.08E+02
128.90102,3.07E+02
129.61006,3.08E+02
130.32165,3.07E+02
131.02922,2.99E+02
131.73252,2.90E+02
132.44874,2.92E+02
133.18308,2.91E+02
133.91877,2.98E+02
134.60878,3.09E+02
135.31158,2.91E+02
136.01175,3.03E+02
136.75973,3.02E+02
137.46013,3.10E+02
138.16975,3.09E+02
138.9037,3.26E+02
139.62201,3.32E+02
140.33147,3.16E+02
141.0561,3.27E+02
141.79587,3.27E+02
142.50829,3.54E+02
143.2154,3.12E+02
143.9048,3.00E+02
144.68092,3.09E+02
145.39549,3.10E+02
146.11855,3.11E+02
146.8311,3.10E+02
147.53424,3.06E+02
148.24601,3.20E+02
148.97665,3.14E+02
149.69557,3.09E+02
150.4481,2.99E+02
