Time (s),HRR (kW)
0.011385476,0
2.0678192,54.25431765
3.9827718,50.15078544
5.7351612,49.54605779
7.4981555,50.97226485
9.0783485,114.9812104
10.299273,171.8826471
11.566179,209.6031854
12.755465,226.0623157
13.997752,231.3619138
15.184483,232.0967205
16.374732,239.9574679
17.518336,249.9939146
18.68102,254.8168358
19.894356,248.0034011
21.074872,256.2687899
22.239353,257.2819623
23.445501,256.2475112
24.637724,256.2465616
25.812401,263.1872627
27.009284,265.371666
28.161069,271.1494216
29.364559,271.0400619
30.569213,268.9956075
31.760906,268.3636612
32.936724,271.945916
34.129617,267.4207597
35.321341,267.4880515
36.457526,274.010584
37.635009,268.4615097
38.801955,272.0984377
39.988661,275.9405522
41.127672,272.3805146
42.255223,272.6296996
43.368744,278.8960354
44.501794,275.5541925
45.733183,283.6297799
46.869512,282.429569
48.07034,281.1005478
49.195026,281.3014739
50.360367,287.6062019
51.50807,281.2139201
52.733015,286.4590138
53.881565,293.853997
55.02142,283.4713175
56.171842,284.6020351
57.338668,288.2072437
58.518296,283.8613877
59.701643,297.574369
60.853393,287.553072
62.041071,301.463678
63.155899,292.5888507
64.252896,299.8022201
65.439814,292.1072343
66.628576,289.7236071
67.752001,286.3486869
68.882719,296.7422571
70.069524,286.1112713
71.283717,290.6130157
72.415344,281.3281131
73.516837,291.2447254
74.688731,293.3116649
75.805928,296.7091172
76.931623,290.1690858
78.089938,292.2593056
79.213296,290.2389254
80.386126,291.7699526
81.523078,285.5758709
82.615865,295.5452791
83.739711,301.1657593
84.87867,289.3283481
86.059498,289.6010422
87.218045,289.4061731
88.323134,289.719744
89.471525,289.9207724
90.648698,293.4179896
91.729265,294.6600955
92.87275,287.4197407
94.005241,295.1934623
95.097914,300.1665709
96.223036,295.7053937
97.431103,291.6768925
98.588498,294.7801776
99.744897,313.9650821
100.88876,309.2039754
102.02006,316.5728146
103.17964,296.5962675
104.35962,296.8498228
105.50031,292.1973466
106.62366,297.267156
107.7795,300.0384847
108.91694,303.4600851
110.04748,293.5883582
111.16668,299.7545265
112.21317,300.577409
113.40559,297.0591657
114.55152,286.580934
115.67661,293.7043287
116.79828,299.8246507
117.8912,302.0449963
119.0489,320.8337616
120.18855,305.811916
121.33316,297.7748604
122.4449,304.7702399
123.62268,312.4873444
124.77932,302.6999791
125.89328,307.3891403
127.0777,303.3144425
128.25434,294.4663873
129.43054,300.9628918
130.59669,305.9219451
131.75478,299.8743194
132.92478,300.7588444
134.00215,305.0639302
135.1414,302.0603985
136.3205,307.9230071
137.40288,302.4474933
138.49191,297.9759392
139.68547,291.1437381
140.84443,300.3159153
141.98074,300.9289694
143.15366,294.220497
144.31479,303.5471828
145.48904,304.5412575
146.61341,313.440328
147.757,313.3780743
148.93064,308.1710175
150.07435,300.2514459
151.17859,300.7331463
152.27226,304.021734
153.37362,310.9816481
154.52416,303.4112485
155.7185,308.163141
156.91632,302.4246817
158.063,306.7867257
159.25158,307.4028377
