Time (s),HRR (kW)
0.011385476,0
2.7919152,50.87136735
4.7112091,49.85139794
6.905335,50.63384662
9.0357418,50.30775838
11.281799,66.12522926
13.056168,105.2712501
14.538569,149.2951529
15.920571,176.5230897
17.193184,193.8084074
18.507752,203.5113956
19.955866,221.1301118
21.225647,233.002822
22.484765,239.4554828
23.758227,246.8254519
25.059049,250.825147
26.250611,252.6259373
27.509587,259.6998858
28.712031,265.0905642
29.942299,274.1438414
31.16512,276.9584078
32.369113,284.2903257
33.53975,288.215959
34.778588,289.5023138
35.983014,296.5419534
37.143004,299.3099407
38.349938,303.7813015
39.515409,300.4357362
40.680769,301.922591
41.864807,312.2253634
42.997546,309.9911534
44.248106,306.1770291
45.412415,310.5042257
46.641498,319.4007571
47.765632,318.154241
49.00437,318.1177784
50.163938,313.3870075
51.346426,316.1574138
52.536819,319.5443545
53.636377,322.665984
54.855474,319.7052541
55.969379,322.7325388
57.18215,326.8050321
58.326782,329.0735067
59.485986,326.5955187
60.616387,320.624503
61.806163,322.4042429
62.949022,314.5692698
64.104573,324.4793854
65.232872,324.9858108
66.413919,333.2614183
67.507115,318.8948493
68.644621,327.9786172
69.697265,322.7791403
70.786043,336.5316168
72.00597,328.138381
73.19327,326.8905496
74.382068,329.6318754
75.562688,330.6266403
76.644189,330.4946966
77.827807,328.8234877
79.038383,332.9617
80.156676,332.3624354
81.346883,342.1104675
82.562956,332.4357791
83.77819,333.4330959
84.873292,338.1596649
85.994361,335.8677209
87.171137,338.4196448
88.309822,330.7211007
89.486684,334.2490026
90.639692,333.443206
91.827752,336.5214776
92.946197,337.1709019
94.050395,331.0568866
95.161082,328.142159
96.337945,330.8041881
97.466404,339.7076078
98.615042,341.6170243
99.775127,341.5459638
100.92619,334.8625631
102.00585,341.1559578
103.21941,342.9954194
104.3431,342.6824657
105.54583,334.7846019
106.70786,333.5410862
107.83163,335.6156877
108.94208,340.1746287
110.04863,338.6742604
111.18996,333.9315757
112.37263,342.3560209
113.44749,345.1218549
114.56748,348.8021966
115.75015,342.611366
116.94301,352.6105776
118.14853,348.7315978
119.36225,348.590091
120.54197,342.6235985
121.67486,343.3214918
122.78007,344.1074851
123.90972,346.5162731
125.12069,340.3516743
126.26298,339.3218496
127.48177,350.050197
128.53671,343.3655735
129.74809,348.7533869
130.92417,348.971009
131.96201,349.700772
133.10763,354.4381892
134.30907,346.1899481
135.40751,346.9295138
136.55278,350.708919
137.75243,343.5856097
138.92723,346.5551448
140.02416,336.1079026
141.18929,342.8606612
142.34899,346.5897817
143.56613,347.4773134
144.69665,352.4094675
145.82736,346.8996866
147.00229,350.5867578
148.08029,340.8703396
149.24903,357.6149369
150.35412,355.829531
151.49948,356.2680743
152.61514,359.4963981
153.73099,351.4199041
154.89024,352.9749802
156.04165,349.581919
157.23004,346.1069332
158.37518,358.2365422
159.46212,357.5241463
