z (cm),u-bar (m/s),u-rms (m/s), v-bar (m/s), v-rms (m/s), T-bar (K), T-rms (K), u'T' (m/s)K, v'T' (m/s)K, u'v' (m/s)^2
2,0.092254810035229,0.26078474521637,-3.23375909383472E-11,0.079938769340515,749.990356445313,168.518600463867,13.2997493743896,-8.27842328021688E-09,2.08173235594078E-11
4,0.426018685102463,0.397932022809982,1.94025542160636E-11,0.094123616814613,944.844177246094,202.003402709961,23.9704627990723,3.43554553694503E-08,3.67840063963953E-11
6,0.844713270664215,0.546729624271393,4.0421988672934E-12,0.102288216352463,1065.21862792969,209.351089477539,23.4646129608154,4.2840838432312E-08,-2.30405330231553E-11
8,1.24664306640625,0.711521029472351,-9.70127658761477E-11,0.1121646463871,1147.05847167969,209.464385986328,18.6700401306152,6.9952676540197E-08,-2.06152126619452E-11
10,1.60596179962158,0.870765924453735,-2.97505825530564E-10,0.126623228192329,1205.44677734375,207.946807861328,13.555419921875,-8.11673483980258E-09,4.04219870466307E-13
12,1.91876649856567,1.02639257907867,1.55220433728509E-10,0.14544777572155,1247.99340820313,208.273956298828,10.381103515625,2.62581223431368E-09,4.04219870466307E-13
14,2.18785071372986,1.18573701381683,-3.75116049333712E-10,0.16801954805851,1278.46838378906,211.573120117187,11.021240234375,2.94918822696388E-09,1.02873959351157E-10
16,2.41682696342468,1.35615563392639,3.62181007407258E-10,0.193234652280808,1297.47155761719,220.221069335938,19.079345703125,-1.47459411348194E-09,7.47806764428427E-12
18,2.6088125705719,1.54589855670929,1.42285391802055E-10,0.218583732843399,1304.64196777344,236.512145996094,39.3670501708984,3.01127620616626E-08,4.64852843717889E-11
20,2.76955652236938,1.74178123474121,-8.40777308885876E-11,0.240575313568115,1302.01696777344,258.564483642578,71.4873657226562,-2.95953626050505E-08,-8.08439704069741E-11
30,3.24877190589905,2.60342359542847,-5.04466413087101E-10,0.333794713020325,1194.98168945313,372.348724365234,323.0166015625,1.25832031017126E-07,-8.89283716110079E-11
