x (m),R4,R5,R6,R7,R8
-0.5,0.098688035,,0.238045286,,0.168996528
-0.49,0.100081848,,0.253527008,,0.190332643
-0.48,0.103664757,,0.267871323,,0.207572198
-0.47,0.109221886,,0.284236571,,0.225651098
-0.46,0.11519997,,0.306971018,,0.241671993
-0.45,0.120217068,,0.332404921,,0.258212397
-0.44,0.128519459,,0.353282817,,0.279199421
-0.43,0.139522213,,0.379060352,,0.307434768
-0.42,0.148622914,,0.407465242,,0.337620168
-0.41,0.158026324,,0.437005996,,0.3634177
-0.4,0.17182651,,0.459187652,,0.394815079
-0.39,0.188735495,,0.465938679,,0.429746667
-0.38,0.201662709,,0.473992426,,0.458267565
-0.37,0.217100615,,0.483969326,,0.488001866
-0.36,0.237177017,,0.494010006,,0.51624567
-0.35,0.258867576,,0.504086749,,0.530814551
-0.34,0.275999461,,0.521333882,,0.544402394
-0.33,0.303544285,,0.547580248,,0.558531871
-0.32,0.340459229,,0.577689801,,0.572954839
-0.31,0.379367913,,0.607742708,,0.58157747
-0.3,0.414157614,,0.626374309,,0.591356344
-0.29,0.459349963,,0.631364144,,0.603874915
-0.28,0.512200642,,0.630454953,,0.604491195
-0.27,0.558283584,,0.639667825,,0.612295229
-0.26,0.590255218,,0.663367021,,0.616863322
-0.25,0.632447175,,0.692349418,,0.612290196
-0.24,0.682974739,,0.715686053,,0.61764735
-0.23,0.725084874,,0.732928803,,0.646781703
-0.22,0.757993464,,0.744227249,,0.684452338
-0.21,0.801481098,,0.772474289,,0.71087882
-0.2,0.853934523,,0.813342023,,0.726871363
-0.19,0.882183195,,0.865554159,,0.742935941
-0.18,0.894629427,,0.923181581,,0.76085316
-0.17,0.920293892,,0.981271675,,0.79787778
-0.16,0.958114929,,1.019179756,,0.84221236
-0.15,0.968276825,,1.031560485,,0.869538772
-0.14,0.978266961,,1.044208693,,0.880137558
-0.13,1.013271539,,1.075649056,,0.900377586
-0.12,1.070829658,,1.109866863,,0.932293755
-0.11,1.111143657,,1.122831685,,0.981642111
-0.1,1.169868285,,1.140772848,,0.990789735
-0.09,1.259083761,,1.174978686,,1.005888314
-0.08,1.372863359,,1.217014383,,1.026327357
-0.07,1.37312584,,1.238908314,,1.050405872
-0.06,1.369848107,,1.250381277,,1.065329898
-0.05,1.394758884,,1.257526913,,1.090323452
-0.04,1.446411148,,1.274994204,,1.127173674
-0.03,1.401278041,,1.290011671,,1.149185694
-0.02,1.371867235,,1.295455862,,1.134479081
-0.01,1.372670751,,1.294239664,,1.095858272
0,1.403627836,,1.295740713,,1.088035988
0.01,1.37710855,,1.29569317,,1.088298525
0.02,1.377687227,,1.295449021,,1.0984193
0.03,1.405326164,,1.286006683,,1.104404943
0.04,1.445393003,,1.266572663,,1.11556515
0.05,1.383962524,,1.23061385,,1.09917057
0.06,1.350751167,,1.220327216,,1.069804146
0.07,1.347858487,,1.220373141,,1.042573128
0.08,1.347629414,,1.224321592,,1.003966624
0.09,1.252841752,,1.205007169,,0.961711239
0.1,1.185488593,,1.189228446,,0.939303651
0.11,1.150399228,,1.179057028,,0.939699914
0.12,1.121988103,,1.165920937,,0.934063297
0.13,1.046082981,,1.129544695,,0.901755404
0.14,0.993054029,,1.077614589,,0.862322371
0.15,0.966689678,,1.031188792,,0.835750436
0.16,0.940669608,,0.992724628,,0.805834591
0.17,0.884725437,,0.959506924,,0.778594943
0.18,0.842922092,,0.924953735,,0.750177383
0.19,0.81743129,,0.89996704,,0.725849003
0.2,0.781096266,,0.876676639,,0.713491596
0.21,0.724251188,,0.852691075,,0.690577605
0.22,0.679090848,,0.827166171,,0.672975117
0.23,0.648060906,,0.797679501,,0.662530856
0.24,0.607880991,,0.766715539,,0.63773417
0.25,0.557082714,,0.746043586,,0.62053988
0.26,0.514918627,,0.729475896,,0.613023022
0.27,0.483635478,,0.712102299,,0.600006856
0.28,0.438660323,,0.691844338,,0.58426269
0.29,0.387331969,,0.672962322,,0.558088891
0.3,0.344879209,,0.65481158,,0.534522468
0.31,0.314914897,,0.63249262,,0.526071115
0.32,0.276642294,,0.601624705,,0.531598514
0.33,0.236747905,,0.569084476,,0.531768548
0.34,0.204500387,,0.545065781,,0.519033931
0.35,0.182453708,,0.529873373,,0.502720536
0.36,0.159255677,,0.508458363,,0.482690452
0.37,0.139746465,,0.474350806,,0.457393676
0.38,0.12784674,,0.44260937,,0.43326165
0.39,0.122860649,,0.415573742,,0.409990713
0.4,0.115772723,,0.396497449,,0.391017639
0.41,0.110630079,,0.386700056,,0.3826453
0.42,0.108024487,,0.376280948,,0.381098493
0.43,0.105771005,,0.35886616,,0.373044618
0.44,0.102892458,,0.338317984,,0.347300214
0.45,0.101513885,,0.318968917,,0.322988514
0.46,0.101697177,,0.302267075,,0.309175119
0.47,0.100242088,,0.283585357,,0.295936873
0.48,0.098172048,,0.256418671,,0.272745792
0.49,0.096414013,,0.226336958,,0.248367331
0.5,0.09498459,,0.208365685,,0.230835793
