x (m),R4,R5,R6,R7,R8
-0.5,0.117526745,,0.098337965,,0.092860878
-0.49,0.126939252,,0.106850751,,0.103078757
-0.48,0.136550679,,0.116436097,,0.115208147
-0.47,0.146322364,,0.12721452,,0.128486046
-0.46,0.156215695,,0.13988286,,0.141116926
-0.45,0.16633831,,0.156047693,,0.155019623
-0.44,0.176756781,,0.172943471,,0.175138432
-0.43,0.187422813,,0.189858236,,0.198774157
-0.42,0.196414407,,0.20950892,,0.219297117
-0.41,0.204177357,,0.230437888,,0.23610157
-0.4,0.212674237,,0.248806757,,0.251347764
-0.39,0.221565333,,0.265603005,,0.265085346
-0.38,0.225141041,,0.281984599,,0.276356197
-0.37,0.227488671,,0.297046973,,0.287547658
-0.36,0.231045507,,0.310203538,,0.292740904
-0.35,0.234580331,,0.32109368,,0.300315433
-0.34,0.231819285,,0.335407145,,0.317387897
-0.33,0.229521318,,0.345003085,,0.335887698
-0.32,0.228912533,,0.350716286,,0.351033112
-0.31,0.227381462,,0.355700851,,0.359110687
-0.3,0.219803921,,0.357831062,,0.362613957
-0.29,0.214277951,,0.356885154,,0.366684172
-0.28,0.21096526,,0.354525927,,0.369398982
-0.27,0.206450299,,0.351852373,,0.372672406
-0.26,0.198547543,,0.343066503,,0.381733362
-0.25,0.194792188,,0.335903213,,0.383490176
-0.24,0.195422812,,0.323357827,,0.389078319
-0.23,0.196487279,,0.315528232,,0.39892323
-0.22,0.196799695,,0.316089161,,0.399549128
-0.21,0.201360751,,0.32103088,,0.400373902
-0.2,0.209892743,,0.315346438,,0.406069455
-0.19,0.215409843,,0.304498603,,0.40942116
-0.18,0.220027499,,0.293133638,,0.40730759
-0.17,0.229686781,,0.287183824,,0.399168037
-0.16,0.24379054,,0.288916656,,0.389556651
-0.15,0.249147279,,0.298994131,,0.384307865
-0.14,0.252478786,,0.313373499,,0.385220781
-0.13,0.261515979,,0.326662322,,0.388868231
-0.12,0.275699142,,0.320756234,,0.386815985
-0.11,0.271314059,,0.311993766,,0.383552163
-0.1,0.264730375,,0.307663642,,0.387305113
-0.09,0.265826472,,0.303995582,,0.395226816
-0.08,0.274512965,,0.312263392,,0.405116092
-0.07,0.268378336,,0.318384772,,0.41277689
-0.06,0.265182476,,0.3238846,,0.422317805
-0.05,0.2703221,,0.325069975,,0.421881303
-0.04,0.283343854,,0.326063832,,0.412655218
-0.03,0.269588682,,0.318844008,,0.403503842
-0.02,0.26096735,,0.316974206,,0.402810545
-0.01,0.2618863,,0.320209461,,0.39531465
0,0.272246911,,0.330820169,,0.393671817
0.01,0.255723634,,0.326534107,,0.392156399
0.02,0.250685424,,0.327585498,,0.390646062
0.03,0.257809598,,0.329660607,,0.39549399
0.04,0.272411408,,0.330327653,,0.405004082
0.05,0.25983668,,0.328245814,,0.407491508
0.06,0.256140402,,0.325101018,,0.408895912
0.07,0.261699733,,0.319879414,,0.40325443
0.08,0.268394941,,0.317248246,,0.393123343
0.09,0.250084525,,0.313899697,,0.377634139
0.1,0.240506012,,0.320599764,,0.3636479
0.11,0.24070399,,0.323144104,,0.362750358
0.12,0.243061217,,0.319609109,,0.360505706
0.13,0.233959968,,0.312522325,,0.373556792
0.14,0.232605649,,0.304780242,,0.390950901
0.15,0.239132021,,0.299877603,,0.405126651
0.16,0.242975081,,0.296619724,,0.404097272
0.17,0.234367581,,0.28789084,,0.407136048
0.18,0.228970973,,0.280458989,,0.417670281
0.19,0.227012378,,0.285748696,,0.429059176
0.2,0.221613648,,0.297107494,,0.432260388
0.21,0.211721187,,0.304109665,,0.423600323
0.22,0.205573012,,0.300297936,,0.405153218
0.23,0.203509863,,0.30556696,,0.384764761
0.24,0.202466094,,0.314995656,,0.37415917
0.25,0.202566333,,0.324821012,,0.374534788
0.26,0.206107745,,0.325507535,,0.38102233
0.27,0.212919617,,0.329299769,,0.381136288
0.28,0.216210317,,0.333462688,,0.37098993
0.29,0.218536326,,0.337332733,,0.356178451
0.3,0.223147404,,0.341493189,,0.338109446
0.31,0.229907473,,0.349459761,,0.324229808
0.32,0.230001924,,0.350751895,,0.315154582
0.33,0.228918206,,0.346411776,,0.315605419
0.34,0.229526979,,0.335595872,,0.309085877
0.35,0.230714965,,0.319508112,,0.289704884
0.36,0.22614495,,0.304436493,,0.274901713
0.37,0.221696782,,0.292081097,,0.268364597
0.38,0.218544916,,0.280525609,,0.257026074
0.39,0.214046607,,0.267217153,,0.245683974
0.4,0.2037038,,0.251455481,,0.236719173
0.41,0.193717844,,0.232183694,,0.227942821
0.42,0.184468416,,0.213019562,,0.213289985
0.43,0.174662884,,0.195400894,,0.195759303
0.44,0.163855709,,0.179532612,,0.178352887
0.45,0.15332855,,0.164906496,,0.163813672
0.46,0.143142373,,0.151797299,,0.145853474
0.47,0.13422444,,0.13998986,,0.130554618
0.48,0.125746928,,0.129311374,,0.117427898
0.49,0.117408185,,0.11941692,,0.104022944
0.5,0.109239869,,0.109234832,,0.092067348
