x (m),R4,R5,R6,R7,R8
0.31,0.029458,0.035075,0.058077,0.067387,0.067879
0.32,0.026266,0.029692,0.052756,0.061989,0.063608
0.33,0.023072,0.024395,0.047193,0.055663,0.059454
0.34,0.019879,0.019637,0.04138,0.049321,0.054707
0.35,0.016777,0.015194,0.035352,0.04307,0.049088
0.36,0.014271,0.01197,0.029588,0.036791,0.042185
0.37,0.011857,0.0091589,0.024179,0.030314,0.035153
0.38,0.0094436,0.0071997,0.019363,0.024129,0.029618
0.39,0.0073008,0.0053736,0.015429,0.01865,0.02463
0.4,0.0058304,0.0036821,0.012494,0.013665,0.01974
0.41,0.0043881,0.0022249,0.0098699,0.0097854,0.014688
0.42,0.0029458,0.0011488,0.0073222,0.0070911,0.010409
0.43,0.0019615,0.00046609,0.0049813,0.0048992,0.0078819
0.44,0.0014353,0.00017671,0.0030654,0.0029002,0.0064316
0.45,0.000909,4.66E-05,0.0017868,0.001323,0.0047949
0.46,0.00038274,1.21E-05,0.0013064,0.00047027,0.0030064
0.47,0.00020301,2.15E-06,0.0010811,0.00010327,0.0015883
0.48,0.00013881,3.28E-07,0.00091106,9.35E-06,0.00079159
0.49,7.46E-05,5.50E-08,0.00069739,2.58E-07,0.00025712
0.5,1.04E-05,3.02E-09,0.00039575,1.00E-09,2.74E-05
