x (m),R4,R5,R6,R7,R8
-0.5,8.72E-05,0.00011576,0.0014818,0.0001922,9.25E-05
-0.49,0.00019444,0.00032406,0.0019331,0.00053616,0.0004478
-0.48,0.00030169,0.00057571,0.0025657,0.0010983,0.0011502
-0.47,0.00040894,0.0011309,0.0034431,0.0016674,0.0024394
-0.46,0.00053621,0.0018312,0.0045402,0.0022152,0.0042806
-0.45,0.00072354,0.002967,0.0057553,0.0029882,0.0060971
-0.44,0.00091086,0.0043501,0.0070446,0.0043751,0.007896
-0.43,0.0010982,0.0061457,0.0084418,0.0063573,0.0099247
-0.42,0.0014037,0.0082532,0.0099402,0.0085197,0.012137
-0.41,0.0018274,0.010673,0.011604,0.010922,0.014443
-0.4,0.0022511,0.013515,0.013676,0.013622,0.016703
-0.39,0.0026873,0.016613,0.016544,0.016116,0.019003
-0.38,0.0034229,0.019753,0.020008,0.018438,0.021683
-0.37,0.0042791,0.022889,0.023789,0.020955,0.024528
-0.36,0.0051354,0.025789,0.027661,0.023898,0.027626
-0.35,0.0060778,0.028561,0.031455,0.027484,0.030658
-0.34,0.0075753,0.030906,0.035179,0.032113,0.033378
-0.33,0.0091589,0.033086,0.038932,0.036895,0.036422
-0.32,0.010743,0.034842,0.042602,0.041334,0.040137
-0.31,0.012646,0.036308,0.046212,0.045717,0.044564
-0.3,0.015509,0.03699,0.049886,0.050157,0.049226
-0.29,0.018373,0.037522,0.053172,0.054213,0.05365
-0.28,0.021236,0.037697,0.056112,0.057671,0.057825
-0.27,0.024649,0.037956,0.058818,0.060529,0.062012
-0.26,0.029112,0.038373,0.061232,0.063081,0.066345
-0.25,0.033575,0.038973,0.062971,0.066021,0.071379
-0.24,0.038038,0.039859,0.064733,0.068779,0.076512
-0.23,0.043837,0.041152,0.0667,0.07123,0.081835
-0.22,0.051353,0.042969,0.069074,0.07404,0.086746
-0.21,0.058869,0.045578,0.072171,0.077286,0.091029
-0.2,0.066386,0.049032,0.076273,0.081413,0.09468
-0.19,0.075998,0.05328,0.080752,0.087186,0.098333
-0.18,0.087461,0.05823,0.085604,0.094339,0.10318
-0.17,0.098924,0.06368,0.091053,0.10156,0.10901
-0.16,0.11039,0.069495,0.097527,0.10816,0.11469
-0.15,0.12405,0.076252,0.10444,0.11429,0.12001
-0.14,0.13904,0.083575,0.11195,0.12125,0.12641
-0.13,0.15403,0.092678,0.12064,0.12974,0.13277
-0.12,0.16902,0.10265,0.1322,0.13825,0.13859
-0.11,0.18806,0.11401,0.14525,0.14495,0.14551
-0.1,0.20868,0.1259,0.15804,0.15098,0.15506
-0.09,0.2293,0.1369,0.16994,0.15867,0.1671
-0.08,0.24992,0.14763,0.18275,0.16889,0.17975
-0.07,0.27319,0.1561,0.19558,0.18146,0.19105
-0.06,0.29708,0.16406,0.2091,0.19309,0.20194
-0.05,0.32096,0.16922,0.22295,0.20225,0.21241
-0.04,0.34484,0.17392,0.23574,0.20954,0.22027
-0.03,0.35519,0.17603,0.24502,0.21655,0.22417
-0.02,0.36413,0.17787,0.25209,0.22278,0.227
-0.01,0.37307,0.17795,0.2569,0.22698,0.22932
0,0.38201,0.17795,0.2593,0.22902,0.23076
0.01,0.36739,0.17776,0.2519,0.2299,0.2307
0.02,0.35277,0.17763,0.24165,0.22946,0.22725
0.03,0.33815,0.17894,0.22995,0.22513,0.22042
0.04,0.32284,0.18,0.2178,0.21848,0.21239
0.05,0.30086,0.17871,0.20434,0.20969,0.20228
0.06,0.27888,0.17696,0.19046,0.20084,0.19056
0.07,0.2569,0.1724,0.17707,0.1936,0.18034
0.08,0.23555,0.16739,0.1644,0.18626,0.16908
0.09,0.21695,0.16049,0.15213,0.17778,0.15911
0.1,0.19834,0.15334,0.14198,0.16841,0.15125
0.11,0.17974,0.1454,0.13234,0.15832,0.14399
0.12,0.16265,0.13651,0.1223,0.14834,0.13811
0.13,0.14945,0.12517,0.11117,0.13918,0.13239
0.14,0.13624,0.11393,0.10098,0.13021,0.12584
0.15,0.12304,0.10292,0.093105,0.1209,0.11975
0.16,0.11083,0.092664,0.087122,0.11119,0.11413
0.17,0.10026,0.083676,0.082426,0.1021,0.10791
0.18,0.089688,0.07577,0.077971,0.094252,0.10184
0.19,0.079119,0.069347,0.073603,0.087949,0.096204
0.2,0.06989,0.064187,0.069414,0.083233,0.090583
0.21,0.06218,0.060459,0.065598,0.079357,0.085112
0.22,0.05447,0.057191,0.062843,0.076129,0.080149
0.23,0.04676,0.054356,0.0606,0.073449,0.075627
0.24,0.041208,0.051446,0.058507,0.070768,0.07081
0.25,0.037335,0.048476,0.056462,0.068063,0.066209
0.26,0.033461,0.045715,0.054548,0.065261,0.061823
0.27,0.029588,0.043088,0.052715,0.062796,0.058599
0.28,0.02649,0.040267,0.050432,0.060627,0.056075
0.29,0.023799,0.037343,0.047831,0.057455,0.053738
0.3,0.021107,0.033757,0.04507,0.053236,0.051403
0.31,0.018416,0.029891,0.042172,0.048732,0.049197
0.32,0.016186,0.026193,0.039319,0.044575,0.046775
0.33,0.01411,0.022579,0.036773,0.040599,0.043962
0.34,0.012034,0.019369,0.034445,0.036419,0.040966
