x (m),R4,R5,R6,R7,R8
-0.5,0.11467,0.17892,0.16931,0.15131,0.14404
-0.49,0.11684,0.17876,0.16594,0.15139,0.14173
-0.48,0.11901,0.17871,0.1626,0.15154,0.13935
-0.47,0.12117,0.1793,0.15995,0.1529,0.13825
-0.46,0.12342,0.17965,0.15817,0.15382,0.13849
-0.45,0.12591,0.17923,0.15701,0.15392,0.14061
-0.44,0.1284,0.17878,0.15669,0.15389,0.14458
-0.43,0.1309,0.17828,0.15691,0.15441,0.15017
-0.42,0.13311,0.17765,0.15732,0.15588,0.15576
-0.41,0.13506,0.17689,0.15778,0.15863,0.16232
-0.4,0.13701,0.17735,0.15823,0.16209,0.16805
-0.39,0.13892,0.17859,0.15762,0.16569,0.17132
-0.38,0.14017,0.18093,0.1564,0.16924,0.17149
-0.37,0.14114,0.18362,0.15593,0.17209,0.17051
-0.36,0.14211,0.18536,0.15608,0.17406,0.17127
-0.35,0.14303,0.18685,0.15542,0.177,0.17283
-0.34,0.14357,0.18835,0.15527,0.18154,0.17618
-0.33,0.14405,0.18957,0.15469,0.18632,0.1812
-0.32,0.14453,0.18961,0.15481,0.19095,0.1849
-0.31,0.14411,0.18919,0.15506,0.19358,0.18733
-0.3,0.14097,0.1876,0.15302,0.19564,0.19105
-0.29,0.13783,0.18602,0.15013,0.19789,0.1948
-0.28,0.1347,0.18445,0.14713,0.19973,0.19727
-0.27,0.13127,0.18261,0.14518,0.20285,0.19913
-0.26,0.12727,0.18028,0.1455,0.20639,0.19979
-0.25,0.12328,0.17782,0.14753,0.20686,0.20144
-0.24,0.11929,0.17515,0.15083,0.20334,0.20673
-0.23,0.11675,0.17299,0.15459,0.19973,0.2132
-0.22,0.11609,0.1715,0.15826,0.19732,0.21744
-0.21,0.11543,0.17043,0.16114,0.19598,0.22023
-0.2,0.11477,0.16983,0.16345,0.1945,0.22205
-0.19,0.1165,0.17008,0.16514,0.19191,0.22109
-0.18,0.12035,0.17106,0.16538,0.19057,0.22057
-0.17,0.1242,0.17155,0.16296,0.19214,0.22141
