x (m),R4,R5,R6,R7,R8
-0.5,0.1108,0.21079,0.19703,0.18283,0.17291
-0.49,0.11307,0.21517,0.19995,0.18563,0.17612
-0.48,0.11533,0.21956,0.20253,0.18836,0.17902
-0.47,0.1176,0.22395,0.2043,0.19113,0.18174
-0.46,0.11986,0.22824,0.2049,0.19434,0.18491
-0.45,0.12214,0.23222,0.20405,0.19781,0.18717
-0.44,0.12441,0.2358,0.203,0.2012,0.18859
-0.43,0.12669,0.23871,0.20135,0.20434,0.18894
-0.42,0.12868,0.24035,0.19992,0.20618,0.18813
-0.41,0.13037,0.24071,0.1992,0.20613,0.18774
-0.4,0.13207,0.24081,0.19921,0.20592,0.19012
-0.39,0.13379,0.24072,0.19927,0.20603,0.19479
-0.38,0.13629,0.23969,0.19934,0.20752,0.20259
-0.37,0.1391,0.23829,0.19988,0.21181,0.21247
-0.36,0.14192,0.23703,0.20135,0.2179,0.22333
-0.35,0.14461,0.23576,0.20432,0.22455,0.23423
-0.34,0.14654,0.2342,0.20869,0.23163,0.24353
-0.33,0.14836,0.23274,0.2155,0.23735,0.25043
-0.32,0.15018,0.23192,0.22334,0.24263,0.25605
-0.31,0.15229,0.23112,0.23129,0.24969,0.26132
-0.3,0.15528,0.23026,0.23861,0.25811,0.26855
-0.29,0.15827,0.22929,0.24298,0.26707,0.27874
-0.28,0.16125,0.22804,0.24649,0.27404,0.28894
-0.27,0.16349,0.22714,0.24969,0.27871,0.2986
-0.26,0.16428,0.22688,0.25223,0.28197,0.30262
-0.25,0.16508,0.2267,0.25296,0.28378,0.30523
-0.24,0.16588,0.22665,0.2532,0.28281,0.30677
-0.23,0.16754,0.22719,0.25327,0.28135,0.30889
-0.22,0.17031,0.22849,0.25318,0.27962,0.30895
-0.21,0.17308,0.23076,0.25288,0.27649,0.30573
-0.2,0.17585,0.23406,0.25223,0.27121,0.30339
-0.19,0.17902,0.23745,0.25132,0.26559,0.30447
-0.18,0.18253,0.24092,0.25052,0.26202,0.30641
-0.17,0.18604,0.24385,0.25063,0.2607,0.30331
-0.16,0.18955,0.24638,0.25457,0.26038,0.29311
-0.15,0.19356,0.24898,0.257,0.25754,0.27938
-0.14,0.19786,0.25162,0.25622,0.25116,0.2683
-0.13,0.20217,0.25185,0.25131,0.24409,0.25855
-0.12,0.20647,0.25089,0.24383,0.23746,0.24732
-0.11,0.20434,0.24967,0.23128,0.22822,0.23739
-0.1,0.1997,0.24835,0.21434,0.21762,0.22618
-0.09,0.19506,0.24066,0.19366,0.20888,0.21098
-0.08,0.19041,0.23103,0.17164,0.20028,0.19388
-0.07,0.17929,0.22093,0.14544,0.1891,0.16839
-0.06,0.16668,0.21072,0.11837,0.17366,0.13911
-0.05,0.15407,0.20209,0.091712,0.1531,0.11256
-0.04,0.14146,0.19372,0.066146,0.12881,0.088883
-0.03,0.10934,0.18578,0.046037,0.10812,0.066914
-0.02,0.075206,0.17788,0.027799,0.093075,0.043964
-0.01,0.041071,0.16802,0.0090005,0.082142,0.021774
0,0.0069371,0.15806,-0.013015,0.068099,-0.0053489
0.01,-0.029964,0.13548,-0.035461,0.048194,-0.032702
0.02,-0.066866,0.11279,-0.056792,0.026511,-0.055049
0.03,-0.10377,0.087912,-0.078488,0.0030452,-0.077308
0.04,-0.13857,0.062863,-0.10187,-0.026201,-0.1028
0.05,-0.15312,0.03612,-0.12894,-0.050771,-0.12736
0.06,-0.16766,0.009249,-0.15495,-0.069485,-0.14511
0.07,-0.18221,-0.01841,-0.17817,-0.086935,-0.15997
0.08,-0.19458,-0.044784,-0.19875,-0.1069,-0.17772
0.09,-0.19751,-0.065592,-0.21869,-0.13419,-0.19801
0.1,-0.20044,-0.086358,-0.23377,-0.1673,-0.21776
0.11,-0.20337,-0.10699,-0.24749,-0.19633,-0.23675
0.12,-0.20529,-0.12677,-0.25924,-0.21856,-0.25894
0.13,-0.20464,-0.14439,-0.26649,-0.23768,-0.27549
0.14,-0.20398,-0.15964,-0.27203,-0.25606,-0.2846
0.15,-0.20333,-0.17005,-0.2781,-0.27312,-0.29158
0.16,-0.20241,-0.17822,-0.2837,-0.28421,-0.29229
0.17,-0.20103,-0.18269,-0.28736,-0.28784,-0.29248
0.18,-0.19966,-0.18607,-0.2872,-0.28616,-0.2958
0.19,-0.19828,-0.18796,-0.28256,-0.28379,-0.29992
0.2,-0.19492,-0.19131,-0.27562,-0.28263,-0.30217
0.21,-0.1893,-0.19631,-0.26804,-0.28235,-0.30244
0.22,-0.18367,-0.20059,-0.26111,-0.28077,-0.30002
0.23,-0.17805,-0.20418,-0.25416,-0.27717,-0.29623
0.24,-0.1728,-0.20724,-0.24753,-0.27394,-0.28894
0.25,-0.16785,-0.20989,-0.24128,-0.27261,-0.27868
0.26,-0.16289,-0.21406,-0.23544,-0.27193,-0.26814
0.27,-0.15794,-0.21918,-0.22999,-0.26999,-0.2596
0.28,-0.1537,-0.22208,-0.2253,-0.26648,-0.2498
0.29,-0.14983,-0.22381,-0.22165,-0.26048,-0.24124
0.3,-0.14597,-0.2224,-0.21941,-0.25271,-0.2351
0.31,-0.14211,-0.21967,-0.21801,-0.24385,-0.23299
0.32,-0.13938,-0.21827,-0.21539,-0.23472,-0.23157
0.33,-0.13702,-0.21742,-0.21413,-0.22532,-0.22814
0.34,-0.13467,-0.21814,-0.21443,-0.21667,-0.22222
0.35,-0.13222,-0.21943,-0.21395,-0.21016,-0.21617
0.36,-0.1292,-0.22207,-0.21275,-0.20614,-0.21353
0.37,-0.1261,-0.22461,-0.21192,-0.20417,-0.21394
0.38,-0.12299,-0.22594,-0.21107,-0.20256,-0.21208
