x (m),R4,R5,R6,R7,R8
-0.5,-0.05248,-0.025277,-0.037576,-0.05564,-0.054986
-0.49,-0.05365,-0.026391,-0.039021,-0.05759,-0.057454
-0.48,-0.05482,-0.027513,-0.039811,-0.056921,-0.059986
-0.47,-0.05599,-0.028693,-0.039731,-0.054814,-0.061627
-0.46,-0.056868,-0.029574,-0.0386,-0.052792,-0.058075
-0.45,-0.056868,-0.029555,-0.036068,-0.048754,-0.050172
-0.44,-0.056868,-0.028552,-0.030836,-0.039271,-0.041582
-0.43,-0.056868,-0.025908,-0.025115,-0.02397,-0.030595
-0.42,-0.054641,-0.019971,-0.018848,-0.00549,-0.013369
-0.41,-0.050188,-0.010741,-0.0097632,0.017294,0.011998
-0.4,-0.045735,0.0044077,0.0075558,0.049224,0.042974
-0.39,-0.041062,0.023417,0.033907,0.091814,0.078497
-0.38,-0.031143,0.049802,0.06894,0.13969,0.12236
-0.37,-0.019109,0.079632,0.11245,0.18512,0.17496
-0.36,-0.007075,0.11457,0.16222,0.23447,0.23898
-0.35,0.0065301,0.15157,0.21496,0.29278,0.3035
-0.34,0.03026,0.19326,0.27055,0.35414,0.36079
-0.33,0.055562,0.2373,0.33216,0.41741,0.42372
-0.32,0.080864,0.28824,0.40069,0.48342,0.50015
-0.31,0.10998,0.34055,0.4755,0.54278,0.58414
-0.3,0.15054,0.39554,0.55367,0.59255,0.66386
-0.29,0.19109,0.44838,0.62553,0.63875,0.73352
-0.28,0.23165,0.49614,0.68705,0.68923,0.79153
-0.27,0.27789,0.54267,0.73959,0.74453,0.83397
-0.26,0.33497,0.58686,0.78393,0.7946,0.86887
-0.25,0.39206,0.63128,0.82525,0.83754,0.91043
-0.24,0.44914,0.67604,0.86402,0.87219,0.95648
-0.23,0.50886,0.7177,0.8986,0.89733,0.99479
-0.22,0.57195,0.75538,0.92684,0.91647,1.0182
-0.21,0.63504,0.78967,0.94801,0.93795,1.0443
-0.2,0.69813,0.82038,0.96437,0.96244,1.0766
-0.19,0.76039,0.84674,0.97951,0.98341,1.1058
-0.18,0.82191,0.86929,0.99495,0.99995,1.1348
-0.17,0.88343,0.8904,1.0123,1.0191,1.1571
-0.16,0.94496,0.91046,1.0339,1.0456,1.182
-0.15,1.0121,0.94389,1.0587,1.0804,1.2015
-0.14,1.0827,0.98533,1.0841,1.116,1.2183
-0.13,1.1533,1.0347,1.1077,1.1438,1.2317
-0.12,1.2238,1.0881,1.132,1.1655,1.2457
-0.11,1.324,1.1255,1.1721,1.1897,1.2737
-0.1,1.4359,1.1566,1.2343,1.2347,1.3018
-0.09,1.5477,1.1786,1.3179,1.3123,1.3405
-0.08,1.6595,1.1977,1.3982,1.3915,1.3876
-0.07,1.7591,1.1998,1.4618,1.454,1.412
-0.06,1.856,1.1981,1.5116,1.5019,1.4441
-0.05,1.9528,1.1883,1.5466,1.5353,1.4834
-0.04,2.0496,1.1771,1.5647,1.5601,1.5023
-0.03,2.0601,1.158,1.5921,1.5813,1.5266
-0.02,2.0616,1.1382,1.6051,1.6025,1.559
-0.01,2.0632,1.1476,1.6,1.6085,1.5783
0,2.0647,1.1585,1.5771,1.5963,1.5833
0.01,2.0282,1.196,1.5672,1.5708,1.5682
0.02,1.9917,1.2343,1.544,1.5476,1.5425
0.03,1.9551,1.2873,1.5085,1.5529,1.515
0.04,1.9148,1.3379,1.4623,1.5572,1.5093
0.05,1.8379,1.3646,1.4071,1.5319,1.4905
0.06,1.761,1.3847,1.3583,1.4897,1.438
0.07,1.684,1.3643,1.3076,1.4427,1.3741
0.08,1.6061,1.344,1.2531,1.3875,1.3111
0.09,1.524,1.3244,1.2003,1.3323,1.2533
0.1,1.4418,1.3056,1.1495,1.309,1.1932
0.11,1.3597,1.2891,1.102,1.2919,1.1415
0.12,1.2819,1.2679,1.0576,1.2631,1.1049
0.13,1.2152,1.2347,1.0169,1.2286,1.0823
0.14,1.1485,1.1976,0.99163,1.2,1.066
0.15,1.0819,1.1528,0.97242,1.1858,1.0557
0.16,1.0135,1.1123,0.95783,1.1759,1.045
0.17,0.94221,1.0793,0.9465,1.1585,1.04
0.18,0.87095,1.0416,0.92964,1.1349,1.0309
