x (m),R4,R5,R6,R7,R8
-0.5,-0.057349,-0.026012,-0.0089349,-0.048302,-0.051059
-0.49,-0.056502,-0.024487,-0.004401,-0.047345,-0.050159
-0.48,-0.055655,-0.022569,0.0022316,-0.044063,-0.045786
-0.47,-0.054809,-0.017905,0.012267,-0.039672,-0.035961
-0.46,-0.053665,-0.011861,0.025632,-0.0344,-0.017104
-0.45,-0.051629,-0.0016734,0.041018,-0.026359,0.0062862
-0.44,-0.049593,0.011393,0.057398,-0.011009,0.032365
-0.43,-0.047558,0.029258,0.076745,0.015541,0.06299
-0.42,-0.04451,0.051234,0.099211,0.050331,0.097749
-0.41,-0.04045,0.077322,0.12421,0.090081,0.13364
-0.4,-0.03639,0.11056,0.15172,0.13485,0.17196
-0.39,-0.032151,0.14838,0.18655,0.17963,0.21181
-0.38,-0.023636,0.19341,0.23023,0.22079,0.256
-0.37,-0.013397,0.24171,0.28109,0.2611,0.30535
-0.36,-0.0031584,0.29389,0.33609,0.30371,0.36041
-0.35,0.0085382,0.34698,0.39185,0.35348,0.42069
-0.34,0.029631,0.39941,0.44926,0.4182,0.48031
-0.33,0.052181,0.45154,0.51094,0.49548,0.54178
-0.32,0.074732,0.5028,0.57582,0.57245,0.6106
-0.31,0.10404,0.552,0.64443,0.64767,0.68664
-0.3,0.15363,0.59522,0.71941,0.72767,0.76468
-0.29,0.20321,0.63832,0.79772,0.81201,0.8436
-0.28,0.2528,0.68112,0.87888,0.89359,0.91992
-0.27,0.31245,0.72336,0.96124,0.97261,0.99668
-0.26,0.39132,0.76454,1.0419,1.05,1.0761
-0.25,0.47019,0.80528,1.114,1.1263,1.1671
-0.24,0.54906,0.84532,1.1775,1.1984,1.2622
-0.23,0.63734,0.88476,1.2337,1.264,1.3579
-0.22,0.73772,0.92345,1.2847,1.3302,1.4454
-0.21,0.8381,0.96455,1.3387,1.3972,1.5221
-0.2,0.93849,1.0082,1.3982,1.4655,1.5904
-0.19,1.0452,1.058,1.4571,1.5396,1.6527
-0.18,1.1575,1.1132,1.5137,1.6169,1.7183
-0.17,1.2699,1.1742,1.5678,1.691,1.788
-0.16,1.3822,1.2395,1.622,1.7524,1.8506
-0.15,1.4952,1.3137,1.6762,1.8026,1.9041
-0.14,1.6086,1.3935,1.7309,1.8518,1.9547
-0.13,1.722,1.4819,1.7881,1.9067,1.9992
-0.12,1.8355,1.5747,1.8575,1.9602,2.0356
-0.11,1.9678,1.6645,1.9319,1.9978,2.0717
-0.1,2.1076,1.7532,2.0035,2.0318,2.1198
-0.09,2.2474,1.822,2.0706,2.0769,2.1851
-0.08,2.3871,1.8849,2.146,2.1376,2.2553
-0.07,2.5339,1.9263,2.2259,2.2108,2.3153
-0.06,2.6823,1.9629,2.3093,2.2778,2.3701
-0.05,2.8307,1.9734,2.391,2.3359,2.4253
-0.04,2.9791,1.9796,2.4588,2.3833,2.471
-0.03,3.0405,1.97,2.5007,2.4282,2.4819
-0.02,3.0928,1.9588,2.5306,2.4655,2.4894
-0.01,3.1451,1.951,2.5499,2.4868,2.5049
0,3.1974,1.9434,2.5588,2.4959,2.5227
0.01,3.1159,1.9468,2.5178,2.5023,2.5345
0.02,3.0343,1.951,2.4628,2.4941,2.5239
0.03,2.9528,1.9725,2.3992,2.4672,2.4879
0.04,2.8663,1.9933,2.331,2.4292,2.442
0.05,2.7317,2.0064,2.2551,2.3842,2.3837
0.06,2.597,2.0164,2.176,2.3381,2.3181
0.07,2.4624,2.0078,2.1014,2.2988,2.2589
0.08,2.3309,1.9957,2.0337,2.2634,2.1876
0.09,2.2128,1.9683,1.9712,2.2258,2.121
0.1,2.0947,1.939,1.9192,2.1842,2.0704
0.11,1.9766,1.9033,1.8644,2.1303,2.0207
0.12,1.8625,1.8575,1.8003,2.0696,1.9774
0.13,1.7588,1.7862,1.7224,2.0097,1.939
0.14,1.6551,1.7076,1.6483,1.9459,1.8961
0.15,1.5514,1.6142,1.59,1.8706,1.8445
0.16,1.4452,1.5222,1.542,1.7818,1.7838
0.17,1.3348,1.4325,1.4961,1.6911,1.7165
0.18,1.2245,1.347,1.4387,1.6041,1.6521
0.19,1.1141,1.267,1.3735,1.5281,1.5914
0.2,1.0093,1.1921,1.3043,1.4626,1.5268
0.21,0.91077,1.123,1.2348,1.3985,1.4581
0.22,0.81228,1.0525,1.1717,1.334,1.3835
0.23,0.71379,0.98072,1.1117,1.2705,1.3016
0.24,0.63299,0.90393,1.054,1.2028,1.2197
0.25,0.56595,0.82325,0.99789,1.1324,1.1424
0.26,0.49891,0.74662,0.94329,1.0643,1.0647
0.27,0.43187,0.67259,0.88721,0.99838,0.98826
0.28,0.37349,0.60105,0.82518,0.92799,0.92138
0.29,0.31965,0.53081,0.76009,0.84761,0.86212
0.3,0.2658,0.45863,0.69475,0.76438,0.80735
0.31,0.21196,0.38563,0.62905,0.68456,0.75441
0.32,0.17091,0.32208,0.56533,0.6088,0.69465
0.33,0.13412,0.26241,0.50649,0.53368,0.62942
0.34,0.097337,0.21317,0.45295,0.45727,0.56302
0.35,0.062402,0.16771,0.40253,0.38068,0.49298
0.36,0.039393,0.13088,0.35256,0.30946,0.42812
0.37,0.018235,0.096844,0.30192,0.24617,0.3666
0.38,-0.0029236,0.068325,0.25378,0.19134,0.30196
0.39,-0.020693,0.042836,0.2104,0.1487,0.2417
0.4,-0.030056,0.023598,0.17267,0.11317,0.18964
0.41,-0.039067,0.0079753,0.14071,0.07919,0.14499
0.42,-0.048078,-0.0020572,0.11142,0.049446,0.10948
0.43,-0.053625,-0.0098004,0.084526,0.025082,0.081776
0.44,-0.05571,-0.015254,0.060717,0.0052519,0.058265
0.45,-0.057794,-0.019461,0.040495,-0.010606,0.034724
0.46,-0.059879,-0.022919,0.022466,-0.024283,0.013803
0.47,-0.059978,-0.02502,0.0076179,-0.03452,-0.0026095
0.48,-0.059415,-0.026669,-0.0040443,-0.040526,-0.013017
0.49,-0.058852,-0.027133,-0.012804,-0.043764,-0.018165
0.5,-0.058289,-0.027427,-0.019452,-0.04502,-0.022072
