x (m),R4,R5,R6,R7,R8
-0.5,-0.05373,0.01984,0.054653,-0.0057861,0.0097
-0.49,-0.052208,0.036098,0.072996,0.00077889,0.01998
-0.48,-0.050686,0.05302,0.092853,0.011315,0.033566
-0.47,-0.049163,0.074591,0.11555,0.02646,0.049757
-0.46,-0.047025,0.098023,0.14044,0.042172,0.065545
-0.45,-0.04304,0.12704,0.1649,0.058685,0.081716
-0.44,-0.039055,0.15663,0.18819,0.077945,0.10069
-0.43,-0.03507,0.18718,0.21188,0.10239,0.12621
-0.42,-0.029231,0.21829,0.23635,0.13297,0.15926
-0.41,-0.021539,0.24994,0.26239,0.16832,0.20349
-0.4,-0.013846,0.28485,0.29194,0.20772,0.25708
-0.39,-0.0057901,0.32194,0.32612,0.25172,0.31256
-0.38,0.010938,0.36413,0.36293,0.30225,0.37234
-0.37,0.03116,0.4087,0.40323,0.35912,0.43977
-0.36,0.051383,0.4569,0.44873,0.41937,0.51192
-0.35,0.073334,0.50672,0.50328,0.48348,0.57998
-0.34,0.10642,0.56086,0.56689,0.55479,0.64304
-0.33,0.14123,0.61627,0.63562,0.63239,0.69413
-0.32,0.17604,0.67423,0.71266,0.71219,0.74125
-0.31,0.217,0.732,0.79895,0.79009,0.79747
-0.3,0.27644,0.78861,0.89157,0.86867,0.85455
-0.29,0.33588,0.84228,0.98019,0.95042,0.91213
-0.28,0.39533,0.88898,1.0629,1.0325,0.98427
-0.27,0.46753,0.93348,1.1402,1.1135,1.0714
-0.26,0.56409,0.97381,1.2118,1.2037,1.1669
-0.25,0.66065,1.0144,1.2778,1.3054,1.2668
-0.24,0.75722,1.0554,1.3408,1.4099,1.368
-0.23,0.85943,1.098,1.4039,1.5106,1.4677
-0.22,0.9689,1.1427,1.4688,1.606,1.5575
-0.21,1.0784,1.1902,1.536,1.6957,1.6452
-0.2,1.1878,1.2408,1.6069,1.7727,1.7367
-0.19,1.3027,1.2976,1.6791,1.8375,1.8362
-0.18,1.4223,1.3599,1.75,1.9015,1.9403
-0.17,1.542,1.4254,1.8167,1.9652,2.0317
-0.16,1.6616,1.4932,1.8917,2.0245,2.1129
-0.15,1.7846,1.5687,1.9745,2.0804,2.1944
-0.14,1.9097,1.6488,2.0599,2.1402,2.2716
-0.13,2.0348,1.7318,2.1427,2.2107,2.343
-0.12,2.1599,1.8162,2.2225,2.286,2.4155
-0.11,2.2852,1.9004,2.3092,2.3542,2.4832
-0.1,2.4106,1.9845,2.3935,2.4089,2.5458
-0.09,2.536,2.0494,2.4663,2.4668,2.6116
-0.08,2.6614,2.1085,2.5177,2.5318,2.6785
-0.07,2.7828,2.1573,2.5744,2.5904,2.7448
-0.06,2.9034,2.2039,2.6414,2.6537,2.8036
-0.05,3.024,2.245,2.7176,2.7195,2.858
-0.04,3.1446,2.2853,2.7956,2.7708,2.918
-0.03,3.2039,2.3059,2.835,2.7984,2.9617
-0.02,3.2569,2.3246,2.8657,2.8258,2.9882
-0.01,3.3099,2.352,2.8862,2.8626,3.0081
0,3.3629,2.3798,2.8903,2.8855,3.0354
0.01,3.2975,2.3917,2.8489,2.8926,3.0546
0.02,3.232,2.4027,2.8126,2.8833,3.0413
0.03,3.1666,2.395,2.7832,2.8656,2.9995
0.04,3.0964,2.3868,2.7578,2.846,2.9497
0.05,2.981,2.3732,2.7041,2.8206,2.8984
0.06,2.8655,2.3584,2.631,2.7827,2.8279
0.07,2.7501,2.3359,2.5424,2.7417,2.7626
0.08,2.6359,2.3085,2.4432,2.7008,2.7098
0.09,2.5273,2.2592,2.3423,2.6589,2.6609
0.1,2.4187,2.2075,2.2548,2.6095,2.601
0.11,2.3101,2.1481,2.1723,2.5403,2.523
0.12,2.2015,2.0863,2.0934,2.4534,2.4389
0.13,2.0929,2.0186,2.0197,2.3619,2.3488
0.14,1.9843,1.948,1.951,2.2689,2.2482
0.15,1.8756,1.8712,1.8828,2.179,2.1435
0.16,1.763,1.7941,1.8128,2.0963,2.0494
0.17,1.6435,1.7166,1.7389,2.0183,1.9639
0.18,1.524,1.6386,1.6576,1.934,1.879
0.19,1.4045,1.5598,1.5759,1.8459,1.7912
0.2,1.2887,1.4795,1.4967,1.7598,1.7066
0.21,1.1771,1.3975,1.4204,1.6741,1.6268
0.22,1.0655,1.3174,1.3455,1.583,1.5427
0.23,0.95381,1.2392,1.2738,1.4874,1.4497
0.24,0.85639,1.1597,1.2018,1.3893,1.3503
0.25,0.77001,1.0792,1.1301,1.2875,1.2473
0.26,0.68364,0.99506,1.0618,1.1842,1.1503
0.27,0.59726,0.90847,0.99075,1.0807,1.0694
0.28,0.52073,0.82027,0.91942,0.98189,0.99918
0.29,0.44937,0.73124,0.85171,0.89009,0.9321
0.3,0.378,0.64714,0.79158,0.80461,0.86864
0.31,0.30663,0.56513,0.73757,0.72584,0.80996
0.32,0.25417,0.49321,0.68606,0.65285,0.75131
0.33,0.208,0.42535,0.63593,0.58261,0.69194
0.34,0.16184,0.36756,0.58739,0.51811,0.6357
0.35,0.11812,0.3138,0.54089,0.45804,0.58396
0.36,0.090086,0.27095,0.49384,0.40065,0.53169
0.37,0.064492,0.23184,0.44823,0.35127,0.47908
0.38,0.038898,0.20058,0.40049,0.31084,0.42302
0.39,0.016895,0.17143,0.34972,0.27452,0.36812
0.4,0.0037976,0.14574,0.29871,0.23963,0.31988
0.41,-0.0089268,0.12237,0.25355,0.20559,0.27379
0.42,-0.021651,0.10266,0.21648,0.17094,0.22906
0.43,-0.030432,0.082596,0.18522,0.1355,0.18975
0.44,-0.035269,0.062193,0.15863,0.10159,0.1577
0.45,-0.040105,0.042667,0.13552,0.072473,0.13167
0.46,-0.044942,0.023667,0.11416,0.050252,0.11107
0.47,-0.047229,0.010103,0.09522,0.033188,0.095415
0.48,-0.048666,-0.0016481,0.078997,0.018881,0.084099
0.49,-0.050103,-0.0084498,0.064801,0.0074237,0.074781
0.5,-0.051539,-0.014544,0.050814,-0.0020263,0.065713
