s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003893E+000, 2.8476427E+000,-4.9706340E-001,-1.4341610E-001,-1.0492761E-001, 2.2103940E-004, 0.0000000E+000,-5.8749975E-002, 2.2044901E+000, 2.0437067E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7177328E-005, 9.5394177E-006
 2.0000486E+000, 7.0476089E+000,-1.4886931E+000,-3.8159338E+000,-6.7507232E-002, 6.4050603E-004, 0.0000000E+000,-1.1684344E-001, 1.5996489E+000, 1.5592718E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5829637E-004, 1.9566046E-005
 3.0001624E+000, 8.7752816E+000,-1.7770348E+000,-5.9727136E+000,-5.8605883E-002, 9.1616167E-004, 0.0000000E+000,-1.2379743E-001, 8.9875438E-001, 8.4404598E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7481633E-004, 2.1607978E-005
 4.0000777E+000, 9.1504197E+000,-1.7979506E+000,-6.7841907E+000,-6.1211353E-002, 1.1518391E-003, 0.0000000E+000,-1.2478637E-001, 4.4541868E-001, 3.8343246E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7721869E-004, 2.1904919E-005
 5.0002637E+000, 9.1350550E+000,-1.8232370E+000,-7.2840976E+000,-6.0206084E-002, 1.3628945E-003, 0.0000000E+000,-1.2599267E-001,-1.0237380E-001,-1.5711538E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9122398E-008, 1.7754708E-004, 2.1945509E-005
 6.0000119E+000, 9.1141823E+000,-1.7799522E+000,-6.8017407E+000,-5.7835384E-002, 1.5587324E-003, 0.0000000E+000,-1.2558307E-001, 3.9323898E-001, 3.5062978E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3227679E-003, 1.7759159E-004, 2.1951010E-005
 7.0001788E+000, 9.0769549E+000,-1.7896655E+000,-7.7206687E+000,-6.1951111E-002, 1.7196368E-003, 0.0000000E+000,-1.2515609E-001,-5.6749917E-001,-6.1876681E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2962764E-002, 1.7759761E-004, 2.1951755E-005
 8.0001116E+000, 9.0610865E+000,-1.7796027E+000,-6.6155390E+000,-5.9914229E-002, 1.8837852E-003, 0.0000000E+000,-1.2337973E-001, 5.4021312E-001, 4.8453467E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1602870E-002, 1.7759843E-004, 2.1951856E-005
