s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0006423E+000, 2.0755882E-001
 2.0001402E+000, 2.0755882E-001
 3.0003590E+000, 2.0755882E-001
 4.0004884E+000, 2.0755882E-001
 5.0007751E+000, 2.0755882E-001
 6.0001901E+000, 2.0753645E-001
 7.0004445E+000, 2.0255719E-001
 8.0001350E+000, 1.9696864E-001
 9.0002639E+000, 1.9183795E-001
 1.0000260E+001, 1.8691802E-001
 1.1000296E+001, 1.8233203E-001
 1.2000057E+001, 1.7787179E-001
 1.3000160E+001, 1.7360713E-001
 1.4000306E+001, 1.6971145E-001
 1.5000044E+001, 1.6587564E-001
 1.6000266E+001, 1.6222216E-001
 1.7000522E+001, 1.5876031E-001
 1.8000698E+001, 1.5538572E-001
 1.9000215E+001, 1.5219664E-001
 2.0000342E+001, 1.4910316E-001
 2.1000001E+001, 1.4612622E-001
 2.2000265E+001, 1.4332760E-001
 2.3000289E+001, 1.4066236E-001
 2.4000025E+001, 1.3801702E-001
 2.5000465E+001, 1.3550263E-001
 2.6000335E+001, 1.3307943E-001
 2.7000364E+001, 1.3072850E-001
 2.8000344E+001, 1.2846760E-001
 2.9000043E+001, 1.2628236E-001
 3.0000064E+001, 1.2416769E-001
 3.1000041E+001, 1.2211380E-001
 3.2000387E+001, 1.2093861E-001
 3.3000557E+001, 1.1818974E-001
 3.4000568E+001, 1.1638748E-001
 3.5001136E+001, 1.1459879E-001
 3.6001265E+001, 1.1286400E-001
 3.7000766E+001, 1.1118070E-001
 3.8000054E+001, 1.0954981E-001
 3.9000175E+001, 1.0796254E-001
 4.0000804E+001, 1.0640389E-001
 4.1001382E+001, 1.0493419E-001
 4.2000880E+001, 1.0347527E-001
 4.3001104E+001, 1.0204782E-001
 4.4000395E+001, 1.0068085E-001
 4.5000690E+001, 9.9326902E-002
 4.6001199E+001, 9.8017638E-002
 4.7000282E+001, 9.6762338E-002
 4.8000346E+001, 9.5525193E-002
 4.9000414E+001, 9.4311782E-002
 5.0000020E+001, 9.3138359E-002
 5.1001372E+001, 9.1974974E-002
 5.2000518E+001, 9.0868015E-002
 5.3000830E+001, 8.9908656E-002
 5.4000372E+001, 8.8711597E-002
 5.5000199E+001, 8.7673237E-002
 5.6000921E+001, 8.6649979E-002
 5.7000916E+001, 8.5668376E-002
 5.8000162E+001, 8.4696731E-002
 5.9000244E+001, 8.3735785E-002
 6.0000371E+001, 8.2817408E-002
 6.1001191E+001, 8.1909027E-002
 6.2001275E+001, 8.1021541E-002
 6.3000477E+001, 8.0153358E-002
 6.4000614E+001, 7.9302339E-002
 6.5000000E+001, 7.8472323E-002
