s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 3.1000235E+001, 9.0498896E+000,-1.0182183E+000,-8.3582268E+000,-3.3713402E-002, 5.1516378E-003, 0.0000000E+000,-3.5430592E-002,-3.5291533E-001,-3.9054781E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2032467E-001, 0.0000000E+000, 2.1951872E-005
 3.2000168E+001, 9.0648190E+000,-9.5749531E-001,-7.7614902E+000,-3.1297670E-002, 5.0125492E-003, 0.0000000E+000,-2.7600725E-002, 3.0529073E-001, 2.9194764E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2896383E-001, 0.0000000E+000, 2.1951872E-005
 3.3000237E+001, 8.9857192E+000,-8.8760991E-001,-7.9427142E+000,-2.8851749E-002, 4.8717791E-003, 0.0000000E+000,-2.0918624E-002, 1.2195330E-001, 1.1049652E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.3760359E-001, 0.0000000E+000, 2.1951872E-005
 3.4000023E+001, 8.9916292E+000,-8.3388487E-001,-8.4011064E+000,-2.5446184E-002, 4.7172745E-003, 0.0000000E+000,-1.5520682E-002,-2.5910317E-001,-2.7961166E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.4624331E-001, 0.0000000E+000, 2.1951872E-005
 3.5000061E+001, 8.9522592E+000,-7.5920077E-001,-8.3119201E+000,-2.2634937E-002, 4.5614385E-003, 0.0000000E+000,-9.8372693E-003,-1.1953596E-001,-1.4677240E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.5488242E-001, 0.0000000E+000, 2.1951872E-005
 3.6000328E+001, 9.1001709E+000,-7.1191936E-001,-8.3864221E+000,-2.0578357E-002, 4.3995516E-003, 0.0000000E+000,-6.8273995E-003,-4.7593554E-003,-2.1176790E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.6352371E-001, 0.0000000E+000, 2.1951872E-005
 3.7000359E+001, 8.8336655E+000,-6.2753219E-001,-8.2304731E+000,-1.8533914E-002, 4.2242396E-003, 0.0000000E+000,-4.2132549E-003,-2.8033669E-002,-4.2862759E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.7216495E-001, 0.0000000E+000, 2.1951872E-005
 3.8000034E+001, 9.0279893E+000,-5.7922781E-001,-8.5121311E+000,-1.7306851E-002, 4.1068344E-003, 0.0000000E+000,-2.8578624E-003,-5.7717550E-002,-7.9427403E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8080382E-001, 0.0000000E+000, 2.1951872E-005
 3.9000084E+001, 9.1144423E+000,-5.2095828E-001,-7.9691985E+000,-1.5666378E-002, 4.0106513E-003, 0.0000000E+000,-2.3778820E-003, 6.3208110E-001, 6.1025186E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8944271E-001, 0.0000000E+000, 2.1951872E-005
 4.0000320E+001, 8.7985993E+000,-4.5031266E-001,-8.7729930E+000,-1.2969010E-002, 3.8631164E-003, 0.0000000E+000,-2.1624801E-003,-4.1963931E-001,-4.3597478E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.9808382E-001, 0.0000000E+000, 2.1951872E-005
 4.1000458E+001, 8.8109071E+000,-3.8992779E-001,-8.3140781E+000,-1.1420996E-002, 3.7556089E-003, 0.0000000E+000,-1.8741847E-003, 1.2493476E-001, 9.7361612E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.0672530E-001, 0.0000000E+000, 2.1951872E-005
 4.2000397E+001, 8.5720431E+000,-3.2525762E-001,-8.6987128E+000,-9.2772083E-003, 3.6012449E-003, 0.0000000E+000,-1.4499706E-003,-4.4004083E-001,-4.5905327E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.1536548E-001, 0.0000000E+000, 2.1951872E-005
