s,mol/mol,C
Time,"XO2","TBURNER"
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0000625E+000, 2.0755882E-001, 3.1620191E+001
 2.0000656E+000, 2.0755882E-001, 3.9893081E+001
 3.0000020E+000, 2.0755882E-001, 4.3407700E+001
 4.0001975E+000, 2.0755882E-001, 4.6527761E+001
 5.0002970E+000, 2.0755882E-001, 4.9476606E+001
 6.0001602E+000, 2.0753667E-001, 5.2212901E+001
 7.0000492E+000, 2.0218888E-001, 5.4720160E+001
 8.0000018E+000, 1.9675351E-001, 5.6837144E+001
 9.0002863E+000, 1.9160296E-001, 5.8393877E+001
 1.0000183E+001, 1.8671729E-001, 5.9522634E+001
 1.1000272E+001, 1.8209616E-001, 6.0251779E+001
 1.2000160E+001, 1.7770029E-001, 6.0685123E+001
 1.3000034E+001, 1.7351010E-001, 6.0890127E+001
 1.4000274E+001, 1.6951500E-001, 6.0865882E+001
 1.5000049E+001, 1.6571179E-001, 6.0637562E+001
 1.6000192E+001, 1.6206968E-001, 6.0262878E+001
 1.7000169E+001, 1.5858912E-001, 5.9663343E+001
 1.8000096E+001, 1.5526354E-001, 5.8870175E+001
 1.9000348E+001, 1.5206572E-001, 5.7955506E+001
 2.0000100E+001, 1.4899718E-001, 5.6925624E+001
 2.1000358E+001, 1.4606222E-001, 5.5945126E+001
 2.2000260E+001, 1.4323805E-001, 5.5045949E+001
 2.3000132E+001, 1.4052934E-001, 5.4128119E+001
 2.4000293E+001, 1.3790844E-001, 5.3151497E+001
 2.5000107E+001, 1.3539551E-001, 5.2046415E+001
 2.6000198E+001, 1.3296816E-001, 5.0787319E+001
 2.7000043E+001, 1.3063026E-001, 4.9604725E+001
 2.8000048E+001, 1.2837248E-001, 4.8453760E+001
 2.9000138E+001, 1.2619780E-001, 4.7338742E+001
 3.0000594E+001, 1.2408607E-001, 4.6295672E+001
 3.1000183E+001, 1.2205359E-001, 4.5349501E+001
 3.2000113E+001, 1.2008460E-001, 4.4483541E+001
 3.3000835E+001, 1.1817494E-001, 4.3696271E+001
 3.4000041E+001, 1.1633099E-001, 4.2990987E+001
 3.5000636E+001, 1.1454203E-001, 4.2372072E+001
 3.6000292E+001, 1.1280552E-001, 4.1808094E+001
 3.7000146E+001, 1.1112620E-001, 4.1288346E+001
 3.8001079E+001, 1.0949286E-001, 4.0806013E+001
 3.9001055E+001, 1.0790526E-001, 4.0350098E+001
 4.0001156E+001, 1.0636726E-001, 3.9921444E+001
 4.1000902E+001, 1.0487159E-001, 3.9525143E+001
 4.2000252E+001, 1.0341923E-001, 3.9126956E+001
 4.3002440E+001, 1.0200363E-001, 3.8754801E+001
 4.4001302E+001, 1.0062834E-001, 3.8408424E+001
 4.5001424E+001, 9.9290994E-002, 3.8079235E+001
 4.6000251E+001, 9.7987430E-002, 3.7771882E+001
 4.7000347E+001, 9.6719661E-002, 3.7468770E+001
 4.8000443E+001, 9.5481909E-002, 3.7177761E+001
 4.9000539E+001, 9.4280208E-002, 3.6906642E+001
 5.0000635E+001, 9.3101910E-002, 3.6648300E+001
 5.1000731E+001, 9.1956858E-002, 3.6404677E+001
 5.2000827E+001, 9.0838791E-002, 3.6164981E+001
 5.3000193E+001, 8.9748312E-002, 3.5935599E+001
 5.4001038E+001, 8.8684064E-002, 3.5709970E+001
 5.5001883E+001, 8.7642913E-002, 3.5495627E+001
 5.6001371E+001, 8.6626804E-002, 3.5287947E+001
 5.7000114E+001, 8.5636090E-002, 3.5084490E+001
 5.8000335E+001, 8.4666607E-002, 3.4890297E+001
 5.9000556E+001, 8.3717984E-002, 3.4704565E+001
 6.0000777E+001, 8.2792014E-002, 3.4529894E+001
 6.1000999E+001, 8.1886487E-002, 3.4358586E+001
 6.2001220E+001, 8.1000090E-002, 3.4184967E+001
 6.3001441E+001, 8.0131674E-002, 3.4019089E+001
 6.4001175E+001, 7.9282932E-002, 3.3869909E+001
 6.5000000E+001, 7.8451991E-002, 3.3714456E+001
