s,mol/mol,C
Time,"XO2","TBURNER"
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0014699E+000, 2.0755882E-001, 2.8056317E+001
 2.0007253E+000, 2.0755882E-001, 3.6411994E+001
 3.0012104E+000, 2.0755882E-001, 4.1498868E+001
 4.0001975E+000, 2.0755882E-001, 4.5549697E+001
 5.0000809E+000, 2.0755882E-001, 4.8963136E+001
 6.0001982E+000, 2.0745419E-001, 5.2031999E+001
 7.0001299E+000, 2.0255450E-001, 5.4774803E+001
 8.0019297E+000, 1.9706301E-001, 5.6839195E+001
 9.0011992E+000, 1.9194206E-001, 5.7684302E+001
 1.0002184E+001, 1.8700984E-001, 5.8007769E+001
 1.1001613E+001, 1.8235474E-001, 5.7663326E+001
 1.2001670E+001, 1.7798060E-001, 5.6907386E+001
 1.3001576E+001, 1.7378616E-001, 5.5909100E+001
 1.4000835E+001, 1.6976608E-001, 5.5165485E+001
 1.5000238E+001, 1.6594558E-001, 5.4450971E+001
 1.6001932E+001, 1.6227976E-001, 5.3924366E+001
 1.7002090E+001, 1.5877541E-001, 5.3278383E+001
 1.8000053E+001, 1.5545412E-001, 5.2331847E+001
 1.9000545E+001, 1.5225311E-001, 5.1325505E+001
 2.0001674E+001, 1.4917100E-001, 5.0365463E+001
 2.1001543E+001, 1.4622947E-001, 4.9636778E+001
 2.2000859E+001, 1.4339561E-001, 4.8973318E+001
 2.3002039E+001, 1.4066560E-001, 4.8387609E+001
 2.4001046E+001, 1.3805282E-001, 4.7867626E+001
 2.5000275E+001, 1.3552363E-001, 4.7386274E+001
 2.6002276E+001, 1.3309828E-001, 4.6802747E+001
 2.7001151E+001, 1.3075278E-001, 4.5751276E+001
 2.8001091E+001, 1.2848762E-001, 4.4583339E+001
 2.9001876E+001, 1.2629753E-001, 4.3600888E+001
 3.0001280E+001, 1.2418502E-001, 4.2740097E+001
 3.1002359E+001, 1.2214365E-001, 4.1932068E+001
 3.2001288E+001, 1.2017859E-001, 4.1203113E+001
 3.3000837E+001, 1.1826613E-001, 4.0517094E+001
 3.4002110E+001, 1.1640984E-001, 3.9903169E+001
 3.5000917E+001, 1.1461459E-001, 3.9360163E+001
 3.6002779E+001, 1.1288308E-001, 3.8862251E+001
 3.7002638E+001, 1.1119088E-001, 3.8404908E+001
 3.8007427E+001, 1.0954949E-001, 3.7984738E+001
 3.9005481E+001, 1.0796154E-001, 3.7596170E+001
 4.0002580E+001, 1.0642260E-001, 3.7233297E+001
 4.1009756E+001, 1.0491767E-001, 3.6889594E+001
 4.2000349E+001, 1.0347104E-001, 3.6566932E+001
 4.3003641E+001, 1.0205708E-001, 3.6262842E+001
 4.4006933E+001, 1.0067340E-001, 3.5972936E+001
 4.5010226E+001, 9.9335751E-002, 3.5697691E+001
 4.6000818E+001, 9.8038076E-002, 3.5437017E+001
 4.7004110E+001, 9.6762167E-002, 3.5188317E+001
 4.8007403E+001, 9.5519265E-002, 3.4948908E+001
 4.9010695E+001, 9.4314271E-002, 3.4719698E+001
 5.0001287E+001, 9.3147442E-002, 3.4501040E+001
 5.1004580E+001, 9.2001370E-002, 3.4291038E+001
 5.2007872E+001, 9.0869936E-002, 3.4088097E+001
 5.3003465E+001, 8.9783326E-002, 3.3893501E+001
 5.4009216E+001, 8.8714839E-002, 3.3706004E+001
 5.5003539E+001, 8.7674314E-002, 3.3525388E+001
 5.6009290E+001, 8.6656933E-002, 3.3351240E+001
 5.7003612E+001, 8.5669180E-002, 3.3183087E+001
 5.8009364E+001, 8.4689216E-002, 3.3020804E+001
 5.9003686E+001, 8.3748964E-002, 3.2863873E+001
 6.0009437E+001, 8.2817683E-002, 3.2712145E+001
 6.1003759E+001, 8.1912583E-002, 3.2565518E+001
 6.2007561E+001, 8.1020123E-002, 3.2423697E+001
 6.3004451E+001, 8.0158936E-002, 3.2286101E+001
 6.4001342E+001, 7.9309880E-002, 3.2153302E+001
 6.5000000E+001, 7.8477424E-002, 3.2024296E+001
