s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000538E+000, 3.0360311E+000,-6.9676648E-001,-7.3611683E-002,-2.3543156E-002, 1.8206143E-004, 0.0000000E+000,-1.6003100E-002, 2.3070631E+000, 2.2262887E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3322615E-005, 9.5525851E-006
 2.0007141E+000, 7.4462884E+000,-2.2786545E+000,-3.4667961E+000,-1.5134689E-002, 1.0215852E-003, 0.0000000E+000,-3.5110566E-002, 1.6637898E+000, 1.6516141E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7067847E-004, 1.9567564E-005
 3.0000806E+000, 8.7837748E+000,-2.7490634E+000,-5.8791755E+000,-1.2363329E-002, 1.5905596E-003, 0.0000000E+000,-3.6992782E-002, 1.3279807E-001, 1.0777037E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8848007E-004, 2.1608442E-005
 4.0009122E+000, 9.0576990E+000,-2.8595730E+000,-5.7326464E+000,-1.3183868E-002, 2.0164947E-003, 0.0000000E+000,-3.7755617E-002, 4.3080103E-001, 4.1655656E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9106648E-004, 2.1904963E-005
 5.0004539E+000, 9.1294115E+000,-2.7866624E+000,-5.8196552E+000,-1.6115446E-002, 2.4184008E-003, 0.0000000E+000,-3.9349016E-002, 5.0246959E-001, 4.7004784E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0592011E-007, 1.9142024E-004, 2.1945521E-005
 6.0005050E+000, 9.0979572E+000,-2.8029968E+000,-6.3143199E+000,-1.6409097E-002, 2.7505921E-003, 0.0000000E+000,-3.8410474E-002,-4.5800283E-002,-7.1428417E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3276845E-003, 1.9146814E-004, 2.1951011E-005
 7.0008373E+000, 9.1260099E+000,-2.8133930E+000,-6.3708520E+000,-1.4625894E-002, 3.0812931E-003, 0.0000000E+000,-3.8083127E-002,-8.3344327E-002,-1.0786284E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2969415E-002, 1.9147462E-004, 2.1951755E-005
 8.0000496E+000, 9.0580783E+000,-2.7358207E+000,-6.0667182E+000,-1.3317776E-002, 3.3514003E-003, 0.0000000E+000,-3.7050227E-002, 2.3545251E-001, 2.0852285E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1607754E-002, 1.9147550E-004, 2.1951856E-005
