s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 4.8008137E+001, 0.0000000E+000, 1.0422679E-004, 8.4182789E-003, 1.2774513E-004, 1.1290824E-003, 0.0000000E+000,-4.9723066E-004,-2.0066228E-003, 9.2821026E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6732828E-001, 1.7759855E-004, 2.1951872E-005
 4.9009914E+001, 0.0000000E+000, 1.0629092E-004, 3.6772833E-003, 1.2195059E-004, 1.2297796E-003, 0.0000000E+000,-5.0428169E-004,-6.5164579E-003, 4.6310227E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7596910E-001, 1.7759855E-004, 2.1951872E-005
 5.0000042E+001, 0.0000000E+000, 1.1237337E-004, 8.1531202E-003, 1.3824295E-004, 1.2431957E-003, 0.0000000E+000,-4.7636473E-004,-3.3937129E-003, 9.1705675E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8457270E-001, 1.7759855E-004, 2.1951872E-005
 5.1001816E+001, 0.0000000E+000, 1.0914791E-004, 1.1605869E-002, 1.3478468E-004, 1.2056031E-003, 0.0000000E+000,-4.5331449E-004, 5.8660835E-004, 1.2602090E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9317887E-001, 1.7759855E-004, 2.1951872E-005
 5.2003593E+001, 0.0000000E+000, 1.0655009E-004, 1.0417822E-002, 1.3499893E-004, 1.1548027E-003, 0.0000000E+000,-4.7053672E-004,-8.5136214E-004, 1.1343637E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0183274E-001, 1.7759855E-004, 2.1951872E-005
 5.3005371E+001, 0.0000000E+000, 1.0372238E-004, 1.1110163E-002, 1.3229242E-004, 1.0986175E-003, 0.0000000E+000,-4.4769058E-004, 9.7781918E-006, 1.1997105E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1048921E-001, 1.7759855E-004, 2.1951872E-005
 5.4007149E+001, 0.0000000E+000, 1.0220241E-004, 9.7125348E-003, 1.4039027E-004, 1.0796564E-003, 0.0000000E+000,-4.2663641E-004,-1.6197698E-003, 1.0608147E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1914438E-001, 1.7759855E-004, 2.1951872E-005
 5.5008923E+001, 0.0000000E+000, 1.0213144E-004, 1.1411644E-002, 1.3502263E-004, 1.1098029E-003, 0.0000000E+000,-4.5205815E-004,-5.8805653E-004, 1.2306543E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2779955E-001, 1.7759855E-004, 2.1951872E-005
 5.6010700E+001, 0.0000000E+000, 1.0063703E-004, 1.1154640E-002, 1.4294528E-004, 1.1057883E-003, 0.0000000E+000,-4.1826033E-004,-7.7582662E-004, 1.2085751E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3645603E-001, 1.7759855E-004, 2.1951872E-005
 5.7000828E+001, 0.0000000E+000, 9.9182054E-005, 1.1337456E-002, 1.3629431E-004, 1.0497148E-003, 0.0000000E+000,-3.7833399E-004,-7.4919446E-004, 1.2244314E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4506033E-001, 1.7759855E-004, 2.1951872E-005
 5.8002605E+001, 0.0000000E+000, 9.7350786E-005, 1.1728727E-002, 1.3089689E-004, 1.0250412E-003, 0.0000000E+000,-4.1125135E-004,-6.0395642E-004, 1.2570765E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5366450E-001, 1.7759855E-004, 2.1951872E-005
 5.9004383E+001, 0.0000000E+000, 9.6614361E-005, 1.1982351E-002, 1.4560777E-004, 1.0925246E-003, 0.0000000E+000,-3.9546446E-004,-2.8409105E-004, 1.2921633E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6232097E-001, 1.7759855E-004, 2.1951872E-005
 6.0006157E+001, 0.0000000E+000, 9.4955432E-005, 1.0119959E-002, 1.3969570E-004, 1.0506996E-003, 0.0000000E+000,-3.6494682E-004,-2.1031395E-003, 1.1040363E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7097484E-001, 1.7759855E-004, 2.1951872E-005
 6.1008667E+001, 0.0000000E+000, 9.6546748E-005, 1.2501343E-002, 1.5387560E-004, 1.0949123E-003, 0.0000000E+000,-3.8434462E-004,-5.1271361E-004, 1.3462333E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7963362E-001, 1.7759855E-004, 2.1951872E-005
 6.2003563E+001, 0.0000000E+000, 9.4325797E-005, 1.2939407E-002, 1.6375068E-004, 1.1060398E-003, 0.0000000E+000,-3.6526759E-004, 3.8130038E-005, 1.3938256E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8825922E-001, 1.7759855E-004, 2.1951872E-005
 6.3008934E+001, 0.0000000E+000, 9.2680875E-005, 1.2086932E-002, 1.5050351E-004, 1.0238202E-003, 0.0000000E+000,-3.7233838E-004,-9.3877476E-004, 1.2981598E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9690008E-001, 1.7759855E-004, 2.1951872E-005
 6.4003830E+001, 0.0000000E+000, 9.1605837E-005, 1.3099785E-002, 1.6402522E-004, 9.4719013E-004, 0.0000000E+000,-3.4266860E-004,-1.9745927E-004, 1.3959938E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0554113E-001, 1.7759855E-004, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 8.9106519E-005, 1.2633140E-002, 1.5366397E-004, 9.2234318E-004, 0.0000000E+000,-3.4827852E-004,-5.9155005E-004, 1.3449975E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1414084E-001, 1.7759855E-004, 2.1951872E-005
