s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000625E+000, 3.0252546E+000,-3.5078462E-001,-1.4119878E-001,-1.1362675E-001, 7.7752154E-004, 0.0000000E+000,-5.9154506E-002, 2.5262405E+000, 2.3612675E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0043262E-005, 9.5367043E-006
 2.0000656E+000, 7.4014385E+000,-1.0814548E+000,-4.9971446E+000,-8.9225549E-002, 1.8659743E-003, 0.0000000E+000,-1.1694609E-001, 1.1766536E+000, 1.1185333E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4369758E-004, 1.9565070E-005
 3.0000019E+000, 8.8647837E+000,-1.1873177E+000,-6.3902777E+000,-7.0533426E-002, 2.3955337E-003, 0.0000000E+000,-1.2395489E-001, 1.1584163E+000, 1.0950955E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5870162E-004, 2.1607937E-005
 4.0001974E+000, 9.0589555E+000,-1.1860257E+000,-7.5176683E+000,-7.0501826E-002, 2.8570135E-003, 0.0000000E+000,-1.2511347E-001, 2.1824281E-001, 1.6250319E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088278E-004, 2.1904911E-005
 5.0002971E+000, 9.0397069E+000,-1.1951759E+000,-7.8747542E+000,-7.1827404E-002, 3.2825163E-003, 0.0000000E+000,-1.2616523E-001,-1.5868945E-001,-2.2493334E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6220287E-008, 1.6118096E-004, 2.1945510E-005
 6.0001602E+000, 9.1434673E+000,-1.1938638E+000,-7.8303463E+000,-7.0106683E-002, 3.6754238E-003, 0.0000000E+000,-1.2592735E-001,-1.6665579E-002,-7.3101400E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3236541E-003, 1.6122135E-004, 2.1951011E-005
 7.0000491E+000, 9.0151296E+000,-1.1764663E+000,-7.2435763E+000,-7.2575821E-002, 4.0228954E-003, 0.0000000E+000,-1.2545666E-001, 4.4585318E-001, 4.0107738E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2962481E-002, 1.6122682E-004, 2.1951755E-005
 8.0000019E+000, 9.1044146E+000,-1.1750576E+000,-7.9272995E+000,-6.9671335E-002, 4.3161224E-003, 0.0000000E+000,-1.2397397E-001,-1.2039624E-001,-1.8727168E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1601800E-002, 1.6122756E-004, 2.1951856E-005
 9.0002861E+000, 9.0258279E+000,-1.1490707E+000,-7.9646488E+000,-6.7223311E-002, 4.5516723E-003, 0.0000000E+000,-1.2086913E-001,-2.2158020E-001,-2.7143238E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0242622E-002, 1.6122766E-004, 2.1951869E-005
 1.0000183E+001, 9.0749822E+000,-1.0819415E+000,-7.5083886E+000,-6.4334038E-002, 4.7407217E-003, 0.0000000E+000,-1.1892297E-001, 3.6666492E-001, 3.0613572E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8883701E-002, 1.6122768E-004, 2.1951871E-005
 1.1000273E+001, 9.0303442E+000,-1.0632380E+000,-8.4125803E+000,-5.9649084E-002, 4.8627153E-003, 0.0000000E+000,-1.1690349E-001,-5.6576326E-001,-6.1716396E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7523625E-002, 1.6122768E-004, 2.1951871E-005
 1.2000160E+001, 9.0429815E+000,-1.0044194E+000,-7.6766057E+000,-5.4105370E-002, 4.9019119E-003, 0.0000000E+000,-1.1353371E-001, 2.5810766E-001, 1.9921920E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6163427E-002, 1.6122768E-004, 2.1951872E-005
 1.3000034E+001, 9.0305649E+000,-9.4548535E-001,-7.9167897E+000,-4.9599594E-002, 4.9541040E-003, 0.0000000E+000,-1.1185436E-001, 6.2574977E-002, 1.1789952E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4802466E-002, 1.6122768E-004, 2.1951872E-005
 1.4000275E+001, 9.0071433E+000,-8.8418903E-001,-7.9045431E+000,-4.5506963E-002, 4.9679662E-003, 0.0000000E+000,-1.0807125E-001, 1.1385833E-001, 6.9800973E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3442967E-002, 1.6122768E-004, 2.1951872E-005
 1.5000049E+001, 9.0878134E+000,-8.6986776E-001,-8.4042766E+000,-4.1940128E-002, 4.9100442E-003, 0.0000000E+000,-1.0658088E-001,-2.7955081E-001,-3.2994192E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2082884E-002, 1.6122768E-004, 2.1951872E-005
 1.6000191E+001, 8.9336108E+000,-8.0130922E-001,-7.9017911E+000,-3.5711736E-002, 4.8366324E-003, 0.0000000E+000,-1.0494872E-001, 1.4568414E-001, 9.4686669E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0722647E-002, 1.6122768E-004, 2.1951872E-005
 1.7000170E+001, 9.0484247E+000,-7.6776468E-001,-8.0660793E+000,-3.2610177E-002, 4.7489550E-003, 0.0000000E+000,-1.0243352E-001, 1.2875586E-001, 8.4285983E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9363073E-002, 1.6122768E-004, 2.1951872E-005
 1.8000095E+001, 8.9820240E+000,-7.1517376E-001,-8.4891550E+000,-3.3501317E-002, 4.6359054E-003, 0.0000000E+000,-1.0018230E-001,-3.0748437E-001,-3.5135246E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0800297E-001, 1.6122768E-004, 2.1951872E-005
 1.9000347E+001, 8.9862765E+000,-6.6436514E-001,-8.2854033E+000,-2.6376895E-002, 4.5166660E-003, 0.0000000E+000,-9.7120628E-002,-4.1388827E-002,-8.2472792E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1664372E-001, 1.6122768E-004, 2.1951872E-005
 2.0000101E+001, 8.9642763E+000,-6.1311151E-001,-8.3757487E+000,-2.5547544E-002, 4.3591888E-003, 0.0000000E+000,-9.4641457E-002,-9.7225041E-002,-1.4041374E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2528354E-001, 1.6122768E-004, 2.1951872E-005
 2.1000359E+001, 9.0325280E+000,-5.8534829E-001,-8.6419317E+000,-2.7073076E-002, 4.2402827E-003, 0.0000000E+000,-9.1021652E-002,-2.6086204E-001,-3.0860641E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3392374E-001, 1.6122768E-004, 2.1951872E-005
 2.2000259E+001, 9.0444001E+000,-5.4949182E-001,-7.6380234E+000,-2.1246713E-002, 4.1479691E-003, 0.0000000E+000,-8.7671035E-002, 8.0428912E-001, 7.5211510E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4256454E-001, 1.6122768E-004, 2.1951872E-005
 2.3000132E+001, 9.0011214E+000,-4.9250204E-001,-8.4981536E+000,-2.1643855E-002, 4.0279892E-003, 0.0000000E+000,-8.3754077E-002,-5.7014326E-002,-9.0904110E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5120376E-001, 1.6122768E-004, 2.1951872E-005
 2.4000292E+001, 8.9340967E+000,-4.4696759E-001,-8.8843766E+000,-2.0853137E-002, 3.9356670E-003, 0.0000000E+000,-7.9192948E-002,-4.5634150E-001,-4.9335787E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5984389E-001, 1.6122768E-004, 2.1951872E-005
 2.5000107E+001, 8.8887856E+000,-3.7731910E-001,-8.5118841E+000,-1.7866557E-002, 3.8085924E-003, 0.0000000E+000,-7.3374371E-002,-4.6414910E-002,-8.7849888E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6848371E-001, 1.6122768E-004, 2.1951872E-005
 2.6000198E+001, 8.8906202E+000,-3.2257484E-001,-8.3476299E+000,-1.2482509E-002, 3.6497884E-003, 0.0000000E+000,-6.8922733E-002, 1.7311431E-001, 1.4266006E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7712349E-001, 1.6122768E-004, 2.1951872E-005
 2.7000044E+001, 8.6809269E+000,-2.7205714E-001,-8.6805932E+000,-9.3172786E-003, 3.4732363E-003, 0.0000000E+000,-6.1828851E-002,-3.0595288E-001,-3.3939631E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8576319E-001, 1.6122768E-004, 2.1951872E-005
 2.8000048E+001, 8.6891889E+000,-2.0592308E-001,-8.4935094E+000,-6.6392670E-003, 3.3392767E-003, 0.0000000E+000,-5.6694827E-002,-4.6331438E-002,-7.0238396E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9440282E-001, 1.6122768E-004, 2.1951872E-005
 2.9000137E+001, 8.6121485E+000,-1.6528320E-001,-8.1120860E+000,-5.6232238E-003, 3.1956900E-003, 0.0000000E+000,-4.9970120E-002, 3.0503406E-001, 2.8238166E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0304340E-001, 1.6122768E-004, 2.1951872E-005
 3.0000595E+001, 8.3505945E+000,-1.2055157E-001,-8.3468898E+000,-4.3088310E-003, 2.9636381E-003, 0.0000000E+000,-4.3236522E-002,-1.2808645E-001,-1.6142861E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1168547E-001, 1.6122768E-004, 2.1951872E-005
 3.1000183E+001, 8.1162170E+000,-8.7459836E-002,-7.8729348E+000,-2.7496628E-003, 2.7725944E-003, 0.0000000E+000,-3.6271249E-002, 1.4219086E-001, 1.1957402E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2032667E-001, 1.6122768E-004, 2.1951872E-005
 3.2000114E+001, 7.5635724E+000,-6.0514138E-002,-8.3634589E+000,-2.5815717E-003, 2.6170147E-003, 0.0000000E+000,-2.8821432E-002,-8.6779692E-001,-8.8918666E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2896494E-001, 1.6122768E-004, 2.1951872E-005
 3.3000835E+001, 6.9699614E+000,-3.7726589E-002,-7.2842867E+000,-6.0366926E-004, 2.4605698E-003, 0.0000000E+000,-2.1321971E-002,-3.5554645E-001,-3.7151690E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3760755E-001, 1.6122768E-004, 2.1951872E-005
 3.4000042E+001, 6.0505936E+000,-2.3114949E-002,-7.0991990E+000, 1.4519277E-004, 2.3305058E-003, 0.0000000E+000,-1.5689271E-002,-1.0665618E+000,-1.0849340E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4624874E-001, 1.6122768E-004, 2.1951872E-005
 3.5000637E+001, 3.2222795E+000,-1.3035336E-002,-3.9510348E+000, 7.8428037E-004, 2.2551710E-003, 0.0000000E+000,-9.9997754E-003,-7.5992286E-001,-7.4875104E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5488781E-001, 1.6122768E-004, 2.1951872E-005
 3.6000290E+001, 1.6567864E+000,-1.0264704E-002,-2.0398965E+000, 8.4162635E-004, 2.1771017E-003, 0.0000000E+000,-6.2766621E-003,-4.0951922E-001,-3.9663272E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6352938E-001, 1.6122768E-004, 2.1951872E-005
 3.7000145E+001, 1.0157594E+000,-9.2991627E-003,-1.1249516E+000, 8.4563249E-004, 2.0996231E-003, 0.0000000E+000,-3.5339123E-003,-1.3533363E-001,-1.1908000E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7216575E-001, 1.6122768E-004, 2.1951872E-005
 3.8001080E+001, 9.7537280E-001,-8.9216639E-003,-1.0083860E+000, 8.4914526E-004, 2.0562752E-003, 0.0000000E+000,-2.6489581E-003,-5.3736387E-002,-4.1678362E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8081123E-001, 1.6122768E-004, 2.1951872E-005
 3.9001057E+001, 9.3452291E-001,-7.9490946E-003,-8.4399088E-001, 8.4298133E-004, 2.0328171E-003, 0.0000000E+000,-2.1953255E-003, 6.9028098E-002, 8.3263413E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8945456E-001, 1.6122768E-004, 2.1951872E-005
