s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2,MLR_MMA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1230218E-003,-1.6538914E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1230218E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0003529E+000, 2.1680843E+000, 0.0000000E+000,-6.4847581E-001, 7.9551154E-002,-2.4942470E-001, 5.7142566E-005, 0.0000000E+000, 0.0000000E+000, 1.2786775E+000, 1.3497921E+000,-4.4195965E-001, 0.0000000E+000, 5.3775417E-005, 0.0000000E+000, 6.1762227E-014
 4.0000095E+000, 9.8462224E+000, 0.0000000E+000,-3.0245006E+000,-5.9492485E-001,-1.3667001E+000, 9.0428647E-004, 0.0000000E+000, 0.0000000E+000, 4.8159814E+000, 4.8610012E+000,-6.6039738E-001,-2.8737963E-014, 2.3441652E-004,-4.7919088E-004, 1.3836365E-013
 6.0000434E+000, 1.6676889E+001, 0.0000000E+000,-5.3631753E+000,-6.9401900E+000,-2.0660451E+000, 1.9870290E-003, 0.0000000E+000, 0.0000000E+000, 2.2555182E+000, 2.3094652E+000,-6.4067651E-001,-1.7981128E-011, 3.7656567E-004,-4.7975989E-003, 6.4376050E-011
 8.0001802E+000, 2.0285579E+001, 0.0000000E+000,-6.6561859E+000,-1.0203780E+001,-2.5779652E+000, 2.9118253E-003, 0.0000000E+000, 0.0000000E+000, 7.9767840E-001, 8.5055986E-001,-6.2775409E-001,-4.8234362E-009, 4.5824935E-004,-6.9034514E-003, 4.5243249E-009
 1.0000045E+001, 2.3035921E+001, 0.0000000E+000,-7.5928099E+000,-1.1225023E+001,-2.6865945E+000, 3.6645965E-003, 0.0000000E+000, 0.0000000E+000, 1.4698081E+000, 1.5351573E+000,-6.2361615E-001,-1.4881959E-007, 5.1356300E-004,-7.5374526E-003, 9.4880762E-008
 1.2000125E+001, 2.5153914E+001, 0.0000000E+000,-8.3312961E+000,-1.2751449E+001,-2.8290149E+000, 4.0804042E-003, 0.0000000E+000, 0.0000000E+000, 1.1911099E+000, 1.2462339E+000,-6.1755984E-001,-2.3986065E-006, 5.5787949E-004,-8.4508193E-003, 1.1612788E-006
 1.4000349E+001, 2.6583646E+001, 0.0000000E+000,-8.9106378E+000,-1.4326052E+001,-2.8768771E+000, 3.1511580E-003, 0.0000000E+000, 0.0000000E+000, 4.1216223E-001, 4.7323002E-001,-6.1138418E-001,-2.6735973E-005, 5.8117356E-004,-9.3404095E-003, 1.1733490E-005
 1.6000017E+001, 2.9963715E+001, 0.0000000E+000,-1.0315508E+001,-1.4781434E+001,-3.1333495E+000,-7.5974390E-004, 0.0000000E+000, 0.0000000E+000, 1.6681350E+000, 1.7326643E+000,-6.0924616E-001,-1.9800221E-004, 6.3520260E-004,-9.6190391E-003, 5.3814945E-005
