s,kW,kW,kW,kW
t,HRR_4cm,HRR_2cm,HRR_1cm,HRR_0p5cm
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.006E+00, 0.000E+00, 2.807E-02, 3.580E-02, 3.194E-02
 4.004E+00, 1.378E+01, 9.342E+00, 1.476E+01, 1.133E+01
 6.003E+00, 1.663E+01, 1.761E+01, 1.635E+01, 1.504E+01
 8.002E+00, 2.311E+01, 1.938E+01, 2.523E+01, 1.927E+01
 1.000E+01, 2.800E+01, 1.523E+01, 3.643E+01, 3.045E+01
 1.200E+01, 3.495E+01, 2.148E+01, 2.842E+01, 3.851E+01
 1.400E+01, 3.511E+01, 2.460E+01, 2.615E+01, 3.093E+01
 1.600E+01, 3.721E+01, 3.557E+01, 3.883E+01, 3.105E+01
 1.800E+01, 3.399E+01, 3.195E+01, 3.736E+01, 2.541E+01
 2.000E+01, 3.256E+01, 3.436E+01, 3.073E+01, 2.422E+01
 2.200E+01, 2.838E+01, 3.082E+01, 3.652E+01, 3.692E+01
 2.400E+01, 3.412E+01, 3.328E+01, 3.268E+01, 3.078E+01
 2.600E+01, 3.865E+01, 3.031E+01, 3.390E+01, 3.874E+01
 2.800E+01, 3.177E+01, 3.274E+01, 2.509E+01, 3.975E+01
 3.000E+01, 3.213E+01, 3.779E+01, 2.939E+01, 3.078E+01
 3.200E+01, 3.625E+01, 3.796E+01, 3.639E+01, 3.033E+01
 3.400E+01, 3.149E+01, 3.206E+01, 2.860E+01, 3.654E+01
 3.600E+01, 3.440E+01, 2.672E+01, 3.125E+01, 3.655E+01
 3.800E+01, 2.878E+01, 3.630E+01, 3.731E+01, 2.746E+01
 4.000E+01, 3.463E+01, 1.963E+01, 3.019E+01, 2.683E+01
 4.200E+01, 3.698E+01, 2.766E+01, 2.368E+01, 4.450E+01
 4.400E+01, 2.957E+01, 3.557E+01, 3.325E+01,
 4.600E+01, 3.100E+01, 2.834E+01, 3.995E+01,
 4.800E+01, 3.445E+01, 3.414E+01, 3.655E+01,
 5.000E+01, 3.475E+01, 3.468E+01, 2.094E+01,
 5.200E+01, 3.561E+01, 3.759E+01, 2.990E+01,
 5.400E+01, 3.729E+01, 4.274E+01, 4.228E+01,
 5.600E+01, 3.425E+01, 3.828E+01, 3.106E+01,
 5.800E+01, 3.139E+01, 3.089E+01, 2.754E+01,
 6.000E+01, 2.953E+01, 3.530E+01, 3.767E+01,
 6.200E+01, 3.686E+01, 3.665E+01, 3.705E+01,
 6.400E+01, 3.794E+01, 2.785E+01, 2.614E+01,
 6.600E+01, 3.686E+01, 3.217E+01, 3.814E+01,
 6.800E+01, 3.013E+01, 2.655E+01, 4.329E+01,
 7.000E+01, 3.191E+01, 2.033E+01, 4.042E+01,
 7.200E+01, 3.022E+01, 3.278E+01, 2.915E+01,
 7.400E+01, 2.656E+01, 2.597E+01, 1.984E+01,
 7.600E+01, 2.999E+01, 2.718E+01, 2.836E+01,
 7.800E+01, 2.806E+01, 3.826E+01, 3.771E+01,
 8.000E+01, 2.577E+01, 2.876E+01, 2.536E+01,
 8.200E+01, 2.177E+01, 3.036E+01, 3.964E+01,
 8.400E+01, 3.658E+01, 2.901E+01, 3.419E+01,
 8.600E+01, 4.016E+01, 3.474E+01, 4.584E+01,
 8.800E+01, 3.364E+01, 3.518E+01, 2.850E+01,
 9.000E+01, 2.630E+01, 4.097E+01, 3.907E+01,
 9.200E+01, 3.459E+01, 2.135E+01, 3.548E+01,
 9.400E+01, 4.026E+01, 3.011E+01, 3.646E+01,
 9.600E+01, 3.764E+01, 3.022E+01, 3.539E+01,
 9.800E+01, 3.190E+01, 2.781E+01, 3.137E+01,
 1.000E+02, 3.463E+01, 3.809E+01, 3.336E+01,
 1.020E+02, 3.001E+01, 2.450E+01, 5.126E+01,
 1.040E+02, 3.287E+01, 2.915E+01, 3.909E+01,
 1.060E+02, 3.704E+01, 3.558E+01, 2.793E+01,
 1.080E+02, 2.344E+01, 2.594E+01, 3.346E+01,
 1.100E+02, 3.617E+01, 3.841E+01, 3.851E+01,
 1.120E+02, 3.392E+01, 4.143E+01, 3.129E+01,
 1.140E+02, 3.124E+01, 4.011E+01, 3.745E+01,
 1.160E+02, 3.315E+01, 3.344E+01, 3.358E+01,
 1.180E+02, 3.265E+01, 3.905E+01, 3.488E+01,
 1.200E+02, 3.066E+01, 3.302E+01, 2.803E+01,
 1.220E+02, 3.647E+01, 3.226E+01, 2.575E+01,
 1.240E+02, 2.905E+01, 2.697E+01, 4.022E+01,
 1.260E+02, 3.327E+01, 3.965E+01, 3.279E+01,
 1.280E+02, 2.728E+01, 3.465E+01, 2.686E+01,
 1.300E+02, 2.546E+01, 4.259E+01, 4.739E+01,
 1.320E+02, 2.945E+01, 3.155E+01, 3.845E+01,
 1.340E+02, 3.143E+01, 3.257E+01, 2.837E+01,
 1.360E+02, 3.840E+01, 2.674E+01, 2.757E+01,
 1.380E+02, 3.277E+01, 4.206E+01, 5.111E+01,
 1.400E+02, 3.173E+01, 3.457E+01, 3.756E+01,
 1.420E+02, 4.216E+01, 3.723E+01, 3.521E+01,
 1.440E+02, 3.150E+01, 4.032E+01, 3.582E+01,
 1.460E+02, 2.912E+01, 3.423E+01, 3.195E+01,
 1.480E+02, 3.266E+01, 3.636E+01, 2.702E+01,
 1.500E+02, 3.185E+01, 3.774E+01, 2.817E+01,
 1.520E+02, 4.340E+01, 2.497E+01, 4.459E+01,
 1.540E+02, 2.930E+01, 2.082E+01, 3.254E+01,
 1.560E+02, 3.481E+01, 4.436E+01, 3.290E+01,
 1.580E+02, 3.139E+01, 3.611E+01, 3.346E+01,
 1.600E+02, 2.773E+01, 2.975E+01, 3.418E+01,
 1.620E+02, 3.303E+01, 3.631E+01, 3.524E+01,
 1.640E+02, 3.585E+01, 2.605E+01, 3.219E+01,
 1.660E+02, 3.649E+01, 3.497E+01, 3.752E+01,
 1.680E+02, 3.455E+01, 3.761E+01, 2.770E+01,
 1.700E+02, 3.795E+01, 2.986E+01, 3.056E+01,
 1.720E+02, 3.205E+01, 4.653E+01, 4.332E+01,
 1.740E+02, 3.647E+01, 2.634E+01, 1.875E+01,
 1.760E+02, 3.322E+01, 3.685E+01, 3.791E+01,
 1.780E+02, 2.832E+01, 3.164E+01, 3.475E+01,
 1.800E+02, 4.170E+01, 4.123E+01, 3.477E+01,
 1.820E+02, 3.557E+01, 2.443E+01, 3.638E+01,
 1.840E+02, 3.338E+01, 3.243E+01, 3.521E+01,
 1.860E+02, 3.624E+01, 2.485E+01,,
 1.880E+02, 3.133E+01, 3.657E+01,,
 1.900E+02, 3.040E+01, 3.382E+01,,
 1.920E+02, 2.967E+01, 2.715E+01,,
 1.940E+02, 3.089E+01, 3.684E+01,,
 1.960E+02, 3.073E+01, 2.665E+01,,
 1.980E+02, 4.104E+01, 2.646E+01,,
 2.000E+02, 3.497E+01, 3.137E+01,,
