s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
t,GHF_tot_4cm,GHF_tot_2cm,GHF_tot_1cm,GHF_tot_0p5cm,GHF_rad_4cm,GHF_rad_2cm,GHF_rad_1cm,GHF_rad_0p5cm,GHF_con_4cm,GHF_con_2cm,GHF_con_1cm,GHF_con_0p5cm
 6.000E+01, 3.961E+00, 4.329E+00, 5.016E+00,, 3.014E+00, 3.330E+00, 3.583E+00,, 9.473E-01, 9.993E-01, 1.433E+00,
 6.200E+01, 4.147E+00, 4.352E+00, 5.007E+00,, 3.110E+00, 3.320E+00, 3.615E+00,, 1.037E+00, 1.033E+00, 1.392E+00,
 6.400E+01, 4.178E+00, 4.119E+00, 5.145E+00,, 3.136E+00, 3.224E+00, 3.631E+00,, 1.042E+00, 8.942E-01, 1.513E+00,
 6.600E+01, 4.056E+00, 4.278E+00, 4.975E+00,, 3.096E+00, 3.314E+00, 3.587E+00,, 9.598E-01, 9.644E-01, 1.388E+00,
 6.800E+01, 4.055E+00, 4.330E+00, 4.825E+00,, 3.075E+00, 3.365E+00, 3.537E+00,, 9.804E-01, 9.651E-01, 1.288E+00,
 7.000E+01, 4.048E+00, 4.177E+00, 4.889E+00,, 3.056E+00, 3.247E+00, 3.612E+00,, 9.916E-01, 9.296E-01, 1.277E+00,
 7.200E+01, 4.095E+00, 4.266E+00, 4.681E+00,, 3.136E+00, 3.313E+00, 3.519E+00,, 9.595E-01, 9.529E-01, 1.162E+00,
 7.400E+01, 4.054E+00, 4.238E+00, 4.778E+00,, 3.081E+00, 3.289E+00, 3.490E+00,, 9.730E-01, 9.488E-01, 1.288E+00,
 7.600E+01, 4.093E+00, 4.181E+00, 5.128E+00,, 3.121E+00, 3.268E+00, 3.670E+00,, 9.720E-01, 9.138E-01, 1.458E+00,
 7.800E+01, 4.017E+00, 4.332E+00, 5.138E+00,, 3.094E+00, 3.355E+00, 3.715E+00,, 9.228E-01, 9.779E-01, 1.423E+00,
 8.000E+01, 4.040E+00, 4.401E+00, 5.066E+00,, 3.118E+00, 3.382E+00, 3.622E+00,, 9.220E-01, 1.019E+00, 1.444E+00,
 8.200E+01, 3.986E+00, 4.229E+00, 5.206E+00,, 3.068E+00, 3.276E+00, 3.736E+00,, 9.183E-01, 9.526E-01, 1.471E+00,
 8.400E+01, 4.108E+00, 4.544E+00, 5.187E+00,, 3.114E+00, 3.417E+00, 3.749E+00,, 9.933E-01, 1.127E+00, 1.438E+00,
 8.600E+01, 3.949E+00, 4.078E+00, 5.236E+00,, 3.059E+00, 3.195E+00, 3.784E+00,, 8.899E-01, 8.829E-01, 1.452E+00,
 8.800E+01, 4.113E+00, 4.444E+00, 5.171E+00,, 3.156E+00, 3.465E+00, 3.716E+00,, 9.575E-01, 9.788E-01, 1.455E+00,
 9.000E+01, 4.135E+00, 4.181E+00, 5.338E+00,, 3.148E+00, 3.274E+00, 3.790E+00,, 9.862E-01, 9.069E-01, 1.548E+00,
 9.200E+01, 4.225E+00, 4.478E+00, 5.134E+00,, 3.213E+00, 3.450E+00, 3.712E+00,, 1.012E+00, 1.028E+00, 1.422E+00,
 9.400E+01, 4.195E+00, 4.441E+00, 4.973E+00,, 3.155E+00, 3.423E+00, 3.645E+00,, 1.040E+00, 1.017E+00, 1.329E+00,
 9.600E+01, 4.152E+00, 4.362E+00, 5.135E+00,, 3.174E+00, 3.380E+00, 3.722E+00,, 9.775E-01, 9.818E-01, 1.413E+00,
 9.800E+01, 4.094E+00, 4.490E+00, 5.120E+00,, 3.125E+00, 3.450E+00, 3.716E+00,, 9.695E-01, 1.040E+00, 1.404E+00,
 1.000E+02, 4.250E+00, 4.533E+00, 5.061E+00,, 3.262E+00, 3.427E+00, 3.656E+00,, 9.886E-01, 1.106E+00, 1.405E+00,
 1.020E+02, 4.103E+00, 4.352E+00, 4.962E+00,, 3.154E+00, 3.385E+00, 3.669E+00,, 9.489E-01, 9.671E-01, 1.293E+00,
 1.040E+02, 4.031E+00, 4.304E+00, 5.058E+00,, 3.150E+00, 3.353E+00, 3.652E+00,, 8.811E-01, 9.517E-01, 1.406E+00,
 1.060E+02, 4.074E+00, 4.254E+00, 5.158E+00,, 3.131E+00, 3.323E+00, 3.763E+00,, 9.424E-01, 9.315E-01, 1.396E+00,
 1.080E+02, 4.085E+00, 4.256E+00, 5.291E+00,, 3.147E+00, 3.322E+00, 3.791E+00,, 9.381E-01, 9.333E-01, 1.500E+00,
 1.100E+02, 4.043E+00, 4.219E+00, 5.300E+00,, 3.134E+00, 3.356E+00, 3.788E+00,, 9.092E-01, 8.630E-01, 1.512E+00,
 1.120E+02, 4.063E+00, 4.173E+00, 5.122E+00,, 3.187E+00, 3.323E+00, 3.731E+00,, 8.757E-01, 8.506E-01, 1.391E+00,
 1.140E+02, 4.000E+00, 4.270E+00, 5.300E+00,, 3.113E+00, 3.360E+00, 3.815E+00,, 8.870E-01, 9.097E-01, 1.485E+00,
 1.160E+02, 3.882E+00, 4.164E+00, 5.278E+00,, 3.098E+00, 3.285E+00, 3.844E+00,, 7.833E-01, 8.797E-01, 1.433E+00,
 1.180E+02, 3.894E+00, 4.131E+00, 5.233E+00,, 3.099E+00, 3.308E+00, 3.759E+00,, 7.949E-01, 8.234E-01, 1.474E+00,
 1.200E+02, 4.152E+00, 4.456E+00, 5.444E+00,, 3.224E+00, 3.436E+00, 3.812E+00,, 9.277E-01, 1.020E+00, 1.632E+00,
 1.220E+02, 4.073E+00, 4.111E+00, 5.433E+00,, 3.158E+00, 3.313E+00, 3.882E+00,, 9.150E-01, 7.981E-01, 1.552E+00,
 1.240E+02, 4.050E+00, 3.975E+00, 5.430E+00,, 3.186E+00, 3.242E+00, 3.862E+00,, 8.636E-01, 7.328E-01, 1.569E+00,
 1.260E+02, 4.082E+00, 4.218E+00, 5.263E+00,, 3.190E+00, 3.357E+00, 3.781E+00,, 8.928E-01, 8.606E-01, 1.482E+00,
 1.280E+02, 3.949E+00, 4.304E+00, 5.176E+00,, 3.129E+00, 3.387E+00, 3.751E+00,, 8.199E-01, 9.174E-01, 1.424E+00,
 1.300E+02, 4.005E+00, 4.378E+00, 5.461E+00,, 3.136E+00, 3.411E+00, 3.904E+00,, 8.695E-01, 9.679E-01, 1.557E+00,
 1.320E+02, 4.141E+00, 4.426E+00, 5.267E+00,, 3.211E+00, 3.447E+00, 3.764E+00,, 9.303E-01, 9.786E-01, 1.503E+00,
 1.340E+02, 4.139E+00, 4.463E+00, 5.164E+00,, 3.215E+00, 3.447E+00, 3.767E+00,, 9.233E-01, 1.016E+00, 1.397E+00,
 1.360E+02, 4.324E+00, 4.468E+00, 5.191E+00,, 3.339E+00, 3.490E+00, 3.763E+00,, 9.856E-01, 9.784E-01, 1.428E+00,
 1.380E+02, 4.178E+00, 4.352E+00, 5.199E+00,, 3.202E+00, 3.441E+00, 3.765E+00,, 9.755E-01, 9.106E-01, 1.434E+00,
 1.400E+02, 4.147E+00, 4.634E+00, 5.280E+00,, 3.255E+00, 3.572E+00, 3.834E+00,, 8.914E-01, 1.061E+00, 1.445E+00,
 1.420E+02, 4.284E+00, 4.638E+00, 5.322E+00,, 3.267E+00, 3.583E+00, 3.853E+00,, 1.017E+00, 1.055E+00, 1.469E+00,
 1.440E+02, 4.248E+00, 4.623E+00, 5.398E+00,, 3.238E+00, 3.582E+00, 3.922E+00,, 1.010E+00, 1.041E+00, 1.476E+00,
 1.460E+02, 4.022E+00, 4.467E+00, 5.352E+00,, 3.179E+00, 3.512E+00, 3.881E+00,, 8.437E-01, 9.552E-01, 1.471E+00,
 1.480E+02, 3.988E+00, 4.341E+00, 5.522E+00,, 3.156E+00, 3.462E+00, 3.986E+00,, 8.323E-01, 8.790E-01, 1.536E+00,
 1.500E+02, 4.035E+00, 4.619E+00, 5.109E+00,, 3.167E+00, 3.622E+00, 3.776E+00,, 8.674E-01, 9.968E-01, 1.333E+00,
 1.520E+02, 4.129E+00, 4.542E+00, 5.458E+00,, 3.242E+00, 3.549E+00, 3.933E+00,, 8.873E-01, 9.934E-01, 1.524E+00,
 1.540E+02, 4.108E+00, 4.394E+00, 5.415E+00,, 3.218E+00, 3.442E+00, 3.917E+00,, 8.902E-01, 9.516E-01, 1.498E+00,
 1.560E+02, 4.150E+00, 4.532E+00, 5.175E+00,, 3.267E+00, 3.503E+00, 3.832E+00,, 8.834E-01, 1.029E+00, 1.342E+00,
