s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2,MLR_MMA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0484569E-003, 1.0082191E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0484558E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0030591E+000, 2.3234486E+000, 0.0000000E+000,-7.0860653E-001, 4.0414486E-002,-3.3679414E-002, 1.9568378E-004, 0.0000000E+000, 0.0000000E+000, 1.5853442E+000, 1.6217728E+000,-4.3708508E-001,-1.7230363E-124, 5.4149631E-005,-6.5102193E-114, 6.1375914E-014
 4.0001998E+000, 1.0406075E+001, 0.0000000E+000,-3.0312059E+000,-1.3873710E+000,-6.7681243E-001, 3.1291393E-003, 0.0000000E+000, 0.0000000E+000, 5.2873836E+000, 5.3138148E+000,-6.5736534E-001,-1.7016871E-013, 2.3462038E-004,-8.2981663E-004, 9.3634929E-014
 6.0012560E+000, 1.7040235E+001, 0.0000000E+000,-4.9503836E+000,-8.7937350E+000,-1.2247451E+000, 7.7449541E-003, 0.0000000E+000, 0.0000000E+000, 2.0478204E+000, 2.0791166E+000,-6.3418701E-001,-3.1210196E-012, 3.7663575E-004,-5.0934269E-003, 4.2027238E-012
 8.0003757E+000, 2.0663560E+001, 0.0000000E+000,-6.0066227E+000,-1.1214986E+001,-1.5032290E+000, 1.1271250E-002, 0.0000000E+000, 0.0000000E+000, 1.9123651E+000, 1.9499929E+000,-6.2471441E-001,-1.9712002E-010, 4.5829982E-004,-6.5033952E-003, 1.8220337E-010
 1.0000163E+001, 2.3481408E+001, 0.0000000E+000,-6.8281581E+000,-1.4108003E+001,-1.6182775E+000, 1.3823180E-002, 0.0000000E+000, 0.0000000E+000, 9.0246586E-001, 9.4079245E-001,-6.1349204E-001,-6.6235493E-009, 5.1358074E-004,-8.0507269E-003, 3.0119980E-009
 1.2000042E+001, 2.5502683E+001, 0.0000000E+000,-7.4572089E+000,-1.6245656E+001,-1.7117232E+000, 1.6159326E-002, 0.0000000E+000, 0.0000000E+000, 5.8127553E-002, 1.0425463E-001,-6.0514144E-001,-8.8211992E-008, 5.5788751E-004,-9.2555689E-003, 2.6278314E-008
 1.4000525E+001, 2.6626884E+001, 0.0000000E+000,-7.7658284E+000,-1.5771114E+001,-1.5932001E+000, 1.7834558E-002, 0.0000000E+000, 0.0000000E+000, 1.4518731E+000, 1.5145762E+000,-6.0696428E-001,-5.0554871E-007, 5.8118300E-004,-8.8976941E-003, 1.7336428E-007
 1.6000301E+001, 2.8901374E+001, 0.0000000E+000,-8.5153798E+000,-1.7579661E+001,-1.8206292E+000, 2.0731500E-002, 0.0000000E+000, 0.0000000E+000, 9.3808141E-001, 1.0064349E+000,-5.9997781E-001,-3.4688136E-006, 6.3522048E-004,-9.8311963E-003, 9.1996514E-007
