s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2,MLR_MMA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5559342E-004,-7.2647651E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5559415E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2002298E+001, 1.6622980E+001, 0.0000000E+000,-4.7895718E+000,-8.4863889E+000,-1.0172194E+000, 1.0805234E-002, 0.0000000E+000, 0.0000000E+000, 2.3438614E+000, 2.3406048E+000,-5.9453582E-001,-7.0978156E-009, 3.6596814E-004,-4.7749710E-003, 2.9717780E-009
 2.4000542E+001, 2.9315566E+001, 0.0000000E+000,-8.3907114E+000,-1.8901953E+001,-1.8094376E+000, 2.6884434E-002, 0.0000000E+000, 0.0000000E+000, 2.7162210E-001, 2.4034850E-001,-5.9502428E-001,-5.3649797E-005, 6.3408256E-004,-1.0410115E-002, 9.4758946E-006
 3.6001305E+001, 3.1000940E+001, 0.0000000E+000,-8.8888180E+000,-2.0290674E+001,-1.7722578E+000, 2.7869050E-002, 0.0000000E+000, 0.0000000E+000, 1.1492195E-001, 7.7058543E-002,-5.8971319E-001,-4.4601912E-004, 6.4699985E-004,-1.0695804E-002, 5.2734786E-005
 4.8001698E+001, 3.1632284E+001, 0.0000000E+000,-9.0585337E+000,-2.0764447E+001,-1.7019794E+000, 2.7802901E-002, 0.0000000E+000, 0.0000000E+000, 1.7824866E-001, 1.3512626E-001,-5.8790221E-001,-6.7499393E-004, 6.4699986E-004,-1.0684711E-002, 7.8345825E-005
 6.0001308E+001, 3.2454804E+001, 0.0000000E+000,-9.2881747E+000,-2.1726629E+001,-1.7048314E+000, 2.8021500E-002, 0.0000000E+000, 0.0000000E+000,-1.8506195E-001,-2.3680987E-001,-5.8423131E-001,-9.7746968E-004, 6.4699985E-004,-1.0857634E-002, 1.1123325E-004
 7.2002762E+001, 3.3942374E+001, 0.0000000E+000,-9.7290172E+000,-2.2517846E+001,-1.6291013E+000, 2.7718846E-002, 0.0000000E+000, 0.0000000E+000, 1.6282516E-001, 9.4128202E-002,-5.8122397E-001,-1.4922736E-003, 6.4699986E-004,-1.0710008E-002, 1.7317919E-004
 8.4002983E+001, 3.6249233E+001, 0.0000000E+000,-1.0428680E+001,-2.3943370E+001,-1.6606662E+000, 2.7236812E-002, 0.0000000E+000, 0.0000000E+000, 3.3651407E-001, 2.4375414E-001,-5.7571166E-001,-2.3008671E-003, 6.4699988E-004,-1.0647560E-002, 2.6837270E-004
 9.6000473E+001, 3.9433575E+001, 0.0000000E+000,-1.1401282E+001,-2.6357637E+001,-1.7620850E+000, 2.7337395E-002, 0.0000000E+000, 0.0000000E+000, 8.4471943E-002,-6.0091397E-002,-5.6637869E-001,-3.4927715E-003, 6.4699986E-004,-1.0800923E-002, 3.9890271E-004
