s,kW,kW,kW
t,HRR_4cm,HRR_2cm,HRR_1cm
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.003E+00, 0.000E+00, 0.000E+00, 7.208E-03
 4.000E+00, 9.493E+00, 1.184E+01, 1.041E+01
 6.001E+00, 1.951E+01, 1.857E+01, 1.830E+01
 8.000E+00, 2.180E+01, 2.041E+01, 1.921E+01
 1.000E+01, 2.590E+01, 2.673E+01, 2.661E+01
 1.200E+01, 2.722E+01, 3.068E+01, 2.831E+01
 1.400E+01, 3.125E+01, 2.053E+01, 2.933E+01
 1.600E+01, 3.383E+01, 2.566E+01, 4.015E+01
 1.800E+01, 2.791E+01, 2.797E+01, 3.504E+01
 2.000E+01, 3.171E+01, 3.203E+01, 3.108E+01
 2.200E+01, 2.980E+01, 3.804E+01, 4.053E+01
 2.400E+01, 3.654E+01, 3.019E+01, 3.125E+01
 2.600E+01, 3.452E+01, 4.470E+01, 3.345E+01
 2.800E+01, 3.214E+01, 4.010E+01, 4.137E+01
 3.000E+01, 3.149E+01, 2.734E+01, 3.862E+01
 3.200E+01, 3.620E+01, 3.593E+01, 4.135E+01
 3.400E+01, 3.243E+01, 3.827E+01, 2.866E+01
 3.600E+01, 3.577E+01, 4.264E+01, 3.798E+01
 3.800E+01, 2.944E+01, 3.158E+01, 4.402E+01
 4.000E+01, 3.235E+01, 3.214E+01, 4.228E+01
 4.200E+01, 3.576E+01, 3.900E+01, 3.667E+01
 4.400E+01, 3.742E+01, 3.601E+01, 5.582E+01
 4.600E+01, 3.647E+01, 3.588E+01, 4.478E+01
 4.800E+01, 3.843E+01, 3.038E+01, 4.908E+01
 5.000E+01, 3.797E+01, 2.730E+01, 5.303E+01
 5.200E+01, 3.270E+01, 3.610E+01, 4.238E+01
 5.400E+01, 3.167E+01, 3.644E+01, 5.224E+01
 5.600E+01, 3.911E+01, 3.616E+01, 4.913E+01
 5.800E+01, 3.716E+01, 4.219E+01, 6.511E+01
 6.000E+01, 3.514E+01, 4.451E+01, 5.815E+01
 6.200E+01, 4.300E+01, 3.947E+01, 5.567E+01
 6.400E+01, 3.762E+01, 5.194E+01, 6.725E+01
 6.600E+01, 3.965E+01, 3.998E+01, 6.814E+01
 6.800E+01, 3.858E+01, 5.022E+01, 6.353E+01
 7.000E+01, 3.647E+01, 4.049E+01, 6.525E+01
 7.200E+01, 4.357E+01, 4.078E+01, 8.420E+01
 7.400E+01, 3.885E+01, 5.131E+01, 7.565E+01
 7.600E+01, 4.463E+01, 5.026E+01, 8.579E+01
 7.800E+01, 4.003E+01, 3.896E+01, 7.567E+01
 8.000E+01, 3.946E+01, 5.204E+01, 8.469E+01
 8.200E+01, 4.652E+01, 4.428E+01, 1.000E+02
 8.400E+01, 4.297E+01, 4.963E+01, 1.025E+02
 8.600E+01, 3.635E+01, 4.438E+01, 1.029E+02
 8.800E+01, 4.451E+01, 5.238E+01, 1.023E+02
 9.000E+01, 4.144E+01, 6.040E+01, 9.587E+01
 9.200E+01, 4.984E+01, 6.571E+01, 9.046E+01
 9.400E+01, 4.549E+01, 6.552E+01, 1.016E+02
 9.600E+01, 4.929E+01, 6.036E+01, 1.095E+02
 9.800E+01, 3.819E+01, 6.462E+01, 1.149E+02
 1.000E+02, 4.692E+01, 6.728E+01, 1.313E+02
 1.020E+02, 4.890E+01, 7.336E+01, 1.395E+02
 1.040E+02, 4.675E+01, 8.426E+01, 1.189E+02
 1.060E+02, 4.454E+01, 6.897E+01, 1.422E+02
 1.080E+02, 5.326E+01, 6.824E+01, 1.363E+02
 1.100E+02, 5.158E+01, 6.787E+01, 1.556E+02
 1.120E+02, 5.788E+01, 6.851E+01, 1.640E+02
 1.140E+02, 5.191E+01, 7.728E+01, 1.607E+02
 1.160E+02, 5.674E+01, 8.238E+01, 1.655E+02
 1.180E+02, 5.981E+01, 9.666E+01, 1.579E+02
 1.200E+02, 5.803E+01, 7.353E+01, 1.687E+02
 1.220E+02, 7.136E+01, 8.552E+01, 1.794E+02
 1.240E+02, 6.840E+01, 8.953E+01, 1.566E+02
 1.260E+02, 5.834E+01, 9.831E+01, 1.686E+02
 1.280E+02, 7.543E+01, 1.119E+02, 1.872E+02
 1.300E+02, 7.208E+01, 9.876E+01, 1.773E+02
 1.320E+02, 7.038E+01, 9.886E+01, 1.814E+02
 1.340E+02, 7.641E+01, 1.050E+02, 1.970E+02
 1.360E+02, 8.222E+01, 9.825E+01, 1.721E+02
 1.380E+02, 7.321E+01, 1.250E+02, 1.641E+02
 1.400E+02, 8.863E+01, 1.046E+02, 2.029E+02
 1.420E+02, 8.958E+01, 1.110E+02, 2.027E+02
 1.440E+02, 9.036E+01, 1.176E+02, 2.058E+02
 1.460E+02, 8.674E+01, 1.267E+02, 1.930E+02
 1.480E+02, 9.074E+01, 1.192E+02, 2.102E+02
 1.500E+02, 9.573E+01, 1.116E+02, 1.889E+02
 1.520E+02, 1.114E+02, 1.130E+02, 2.162E+02
 1.540E+02, 1.011E+02, 1.385E+02, 2.293E+02
 1.560E+02, 1.040E+02, 1.289E+02, 1.944E+02
 1.580E+02, 1.073E+02, 1.393E+02, 2.109E+02
 1.600E+02, 1.171E+02, 1.321E+02, 2.033E+02
 1.620E+02, 1.306E+02, 1.351E+02, 2.282E+02
 1.640E+02, 1.218E+02, 1.287E+02, 2.434E+02
 1.660E+02, 1.261E+02, 1.487E+02, 2.187E+02
 1.680E+02, 1.133E+02, 1.607E+02, 2.288E+02
 1.700E+02, 1.268E+02, 1.514E+02, 2.372E+02
 1.720E+02, 1.310E+02, 1.383E+02, 2.115E+02
 1.740E+02, 1.330E+02, 1.337E+02, 2.251E+02
 1.760E+02, 1.285E+02, 1.442E+02, 2.086E+02
 1.780E+02, 1.276E+02, 1.535E+02, 2.340E+02
 1.800E+02, 1.214E+02, 1.711E+02, 2.182E+02
 1.820E+02, 1.278E+02, 1.610E+02, 2.206E+02
 1.840E+02, 1.481E+02, 1.464E+02, 2.245E+02
 1.860E+02, 1.345E+02, 1.436E+02, 2.255E+02
 1.880E+02, 1.366E+02, 1.433E+02, 2.299E+02
 1.900E+02, 1.369E+02, 1.827E+02, 2.153E+02
 1.920E+02, 1.489E+02, 1.752E+02, 2.485E+02
 1.940E+02, 1.477E+02, 1.542E+02, 2.587E+02
 1.960E+02, 1.473E+02, 1.609E+02, 2.162E+02
 1.980E+02, 1.357E+02, 1.641E+02, 2.222E+02
 2.000E+02, 1.437E+02, 1.692E+02, 2.268E+02
