s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
t,MLR_y0_4cm,MLR_y0_2cm,MLR_y0_1cm,MLR_y0_0p5cm,MLR_x0_4cm,MLR_x0_2cm,MLR_x0_1cm,MLR_x0_0p5cm,MLR_tot_4cm,MLR_tot_2cm,MLR_tot_1cm,MLR_tot_0p5cm
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.003E+00, 3.036E-14, 3.069E-14, 3.084E-14, 3.095E-14, 3.036E-14, 3.069E-14, 3.084E-14, 3.093E-14, 6.073E-14, 6.138E-14, 6.168E-14, 6.188E-14
 4.000E+00, 4.071E-14, 4.836E-14, 5.528E-14, 8.375E-14, 4.014E-14, 4.735E-14, 5.774E-14, 7.174E-14, 8.084E-14, 9.571E-14, 1.130E-13, 1.555E-13
 6.001E+00, 1.274E-12, 2.151E-12, 1.496E-11, 3.378E-11, 1.348E-12, 2.066E-12, 1.331E-11, 3.337E-11, 2.623E-12, 4.217E-12, 2.828E-11, 6.715E-11
 8.000E+00, 4.662E-11, 9.753E-11, 1.300E-09, 2.044E-09, 5.107E-11, 8.468E-11, 1.138E-09, 2.489E-09, 9.769E-11, 1.822E-10, 2.438E-09, 4.533E-09
 1.000E+01, 8.089E-10, 1.702E-09, 3.494E-08, 3.846E-08, 8.763E-10, 1.310E-09, 2.645E-08, 5.649E-08, 1.685E-09, 3.012E-09, 6.139E-08, 9.494E-08
 1.200E+01, 7.739E-09, 1.579E-08, 6.769E-07, 4.422E-07, 8.294E-09, 1.049E-08, 2.969E-07, 7.190E-07, 1.603E-08, 2.628E-08, 9.738E-07, 1.161E-06
 1.400E+01, 3.986E-08, 1.071E-07, 5.485E-06, 5.063E-06, 5.168E-08, 6.625E-08, 3.240E-06, 6.674E-06, 9.153E-08, 1.734E-07, 8.725E-06, 1.174E-05
 1.600E+01, 2.050E-07, 5.858E-07, 1.866E-05, 2.561E-05, 2.743E-07, 3.341E-07, 1.600E-05, 2.821E-05, 4.793E-07, 9.200E-07, 3.467E-05, 5.382E-05
 1.800E+01, 7.972E-07, 2.410E-06, 2.515E-05, 3.644E-05, 1.138E-06, 1.373E-06, 2.566E-05, 3.674E-05, 1.935E-06, 3.782E-06, 5.081E-05, 7.318E-05
 2.000E+01, 2.537E-06, 7.655E-06, 3.323E-05, 4.509E-05, 3.567E-06, 4.551E-06, 3.156E-05, 4.578E-05, 6.104E-06, 1.221E-05, 6.479E-05, 9.087E-05
 2.200E+01, 6.955E-06, 1.688E-05, 4.137E-05, 5.532E-05, 9.353E-06, 1.227E-05, 3.991E-05, 5.465E-05, 1.631E-05, 2.914E-05, 8.128E-05, 1.100E-04
 2.400E+01, 1.332E-05, 2.431E-05, 4.520E-05, 5.840E-05, 1.862E-05, 2.347E-05, 4.430E-05, 5.772E-05, 3.194E-05, 4.778E-05, 8.950E-05, 1.161E-04
 2.600E+01, 2.030E-05, 2.885E-05, 4.842E-05, 6.497E-05, 2.500E-05, 3.192E-05, 4.715E-05, 6.713E-05, 4.530E-05, 6.077E-05, 9.557E-05, 1.321E-04
 2.800E+01, 2.283E-05, 3.462E-05, 5.295E-05, 7.900E-05, 2.430E-05, 3.595E-05, 5.244E-05, 8.436E-05, 4.713E-05, 7.056E-05, 1.054E-04, 1.634E-04
 3.000E+01, 2.270E-05, 4.015E-05, 6.496E-05, 1.016E-04, 2.442E-05, 4.261E-05, 6.572E-05, 1.115E-04, 4.711E-05, 8.276E-05, 1.307E-04, 2.131E-04
 3.200E+01, 2.506E-05, 4.112E-05, 7.859E-05, 1.364E-04, 2.881E-05, 4.447E-05, 7.967E-05, 1.479E-04, 5.387E-05, 8.559E-05, 1.583E-04, 2.843E-04
 3.400E+01, 2.785E-05, 4.348E-05, 9.433E-05, 1.845E-04, 3.314E-05, 4.411E-05, 9.544E-05, 1.962E-04, 6.099E-05, 8.760E-05, 1.898E-04, 3.808E-04
 3.600E+01, 2.971E-05, 4.494E-05, 1.138E-04, 2.432E-04, 3.229E-05, 4.576E-05, 1.135E-04, 2.517E-04, 6.201E-05, 9.070E-05, 2.273E-04, 4.949E-04
 3.800E+01, 3.226E-05, 4.790E-05, 1.331E-04, 3.060E-04, 3.160E-05, 4.712E-05, 1.258E-04, 3.108E-04, 6.386E-05, 9.502E-05, 2.589E-04, 6.168E-04
