s,kW,kW,kW,kW
t,HRR_4cm,HRR_2cm,HRR_1cm,HRR_0.5cm
1.22E+02,7.14E+01,8.55E+01,1.79E+02,3.03E+02
1.24E+02,6.84E+01,8.95E+01,1.57E+02,3.09E+02
1.26E+02,5.83E+01,9.83E+01,1.69E+02,3.13E+02
1.28E+02,7.54E+01,1.12E+02,1.87E+02,3.17E+02
1.30E+02,7.21E+01,9.88E+01,1.77E+02,3.23E+02
1.32E+02,7.04E+01,9.89E+01,1.81E+02,3.23E+02
1.34E+02,7.64E+01,1.05E+02,1.97E+02,3.29E+02
1.36E+02,8.22E+01,9.83E+01,1.72E+02,3.36E+02
1.38E+02,7.32E+01,1.25E+02,1.64E+02,3.47E+02
1.40E+02,8.86E+01,1.05E+02,2.03E+02,3.56E+02
1.42E+02,8.96E+01,1.11E+02,2.03E+02,3.56E+02
1.44E+02,9.04E+01,1.18E+02,2.06E+02,3.63E+02
1.46E+02,8.67E+01,1.27E+02,1.93E+02,3.61E+02
1.48E+02,9.07E+01,1.19E+02,2.10E+02,3.84E+02
1.50E+02,9.57E+01,1.12E+02,1.89E+02,3.83E+02
1.52E+02,1.11E+02,1.13E+02,2.16E+02,3.71E+02
1.54E+02,1.01E+02,1.39E+02,2.29E+02,3.76E+02
1.56E+02,1.04E+02,1.29E+02,1.94E+02,3.97E+02
1.58E+02,1.07E+02,1.39E+02,2.11E+02,3.89E+02
1.60E+02,1.17E+02,1.32E+02,2.03E+02,4.02E+02
1.62E+02,1.31E+02,1.35E+02,2.28E+02,4.11E+02
1.64E+02,1.22E+02,1.29E+02,2.43E+02,4.07E+02
1.66E+02,1.26E+02,1.49E+02,2.19E+02,4.12E+02
1.68E+02,1.13E+02,1.61E+02,2.29E+02,4.22E+02
1.70E+02,1.27E+02,1.51E+02,2.37E+02,4.34E+02
1.72E+02,1.31E+02,1.38E+02,2.12E+02,4.27E+02
1.74E+02,1.33E+02,1.34E+02,2.25E+02,4.47E+02
1.76E+02,1.29E+02,1.44E+02,2.09E+02,4.42E+02
1.78E+02,1.28E+02,1.54E+02,2.34E+02,4.46E+02
1.80E+02,1.21E+02,1.71E+02,2.18E+02,4.66E+02
1.82E+02,1.28E+02,1.61E+02,2.21E+02,4.43E+02
1.84E+02,1.48E+02,1.46E+02,2.25E+02,4.55E+02
1.86E+02,1.35E+02,1.44E+02,2.26E+02,4.53E+02
1.88E+02,1.37E+02,1.43E+02,2.30E+02,4.50E+02
1.90E+02,1.37E+02,1.83E+02,2.15E+02,4.77E+02
1.92E+02,1.49E+02,1.75E+02,2.49E+02,4.76E+02
1.94E+02,1.48E+02,1.54E+02,2.59E+02,4.85E+02
1.96E+02,1.47E+02,1.61E+02,2.16E+02,4.83E+02
1.98E+02,1.36E+02,1.64E+02,2.22E+02,4.75E+02
2.00E+02,1.44E+02,1.69E+02,2.27E+02,4.78E+02
