s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
t,GHF_tot_4cm,GHF_tot_2cm,GHF_tot_1cm,GHF_tot_0p5cm,GHF_rad_4cm,GHF_rad_2cm,GHF_rad_1cm,GHF_rad_0p5cm,GHF_con_4cm,GHF_con_2cm,GHF_con_1cm,GHF_con_0p5cm
 0.000E+00,-2.331E-04,-9.217E-04,-8.664E-04,,-2.331E-04,-9.217E-04,-8.664E-04,, 0.000E+00, 0.000E+00, 0.000E+00,
 2.003E+00, 1.675E-01, 1.709E-01, 1.534E-01,, 1.597E-01, 1.633E-01, 1.435E-01,, 7.740E-03, 7.625E-03, 9.890E-03,
 4.000E+00, 1.179E+00, 1.189E+00, 1.273E+00,, 9.172E-01, 8.888E-01, 9.103E-01,, 2.620E-01, 2.998E-01, 3.626E-01,
 6.001E+00, 2.060E+00, 2.220E+00, 2.307E+00,, 1.534E+00, 1.618E+00, 1.647E+00,, 5.263E-01, 6.026E-01, 6.605E-01,
 8.000E+00, 2.622E+00, 2.783E+00, 2.978E+00,, 1.950E+00, 2.033E+00, 2.167E+00,, 6.719E-01, 7.500E-01, 8.115E-01,
 1.000E+01, 2.925E+00, 3.106E+00, 3.361E+00,, 2.188E+00, 2.324E+00, 2.492E+00,, 7.374E-01, 7.822E-01, 8.687E-01,
 1.200E+01, 3.161E+00, 3.428E+00, 3.668E+00,, 2.403E+00, 2.569E+00, 2.671E+00,, 7.588E-01, 8.584E-01, 9.973E-01,
 1.400E+01, 3.426E+00, 3.520E+00, 4.062E+00,, 2.575E+00, 2.668E+00, 2.947E+00,, 8.507E-01, 8.526E-01, 1.114E+00,
 1.600E+01, 3.743E+00, 3.878E+00, 4.497E+00,, 2.826E+00, 2.930E+00, 3.286E+00,, 9.168E-01, 9.484E-01, 1.211E+00,
 1.800E+01, 3.901E+00, 3.973E+00, 4.643E+00,, 2.937E+00, 3.106E+00, 3.516E+00,, 9.644E-01, 8.667E-01, 1.127E+00,
 2.000E+01, 3.913E+00, 3.965E+00, 4.725E+00,, 2.955E+00, 3.029E+00, 3.530E+00,, 9.574E-01, 9.363E-01, 1.195E+00,
 2.200E+01, 3.939E+00, 4.120E+00, 4.833E+00,, 2.999E+00, 3.189E+00, 3.607E+00,, 9.400E-01, 9.313E-01, 1.227E+00,
 2.400E+01, 3.992E+00, 4.239E+00, 4.937E+00,, 3.045E+00, 3.258E+00, 3.642E+00,, 9.463E-01, 9.807E-01, 1.295E+00,
 2.600E+01, 3.925E+00, 4.430E+00, 4.915E+00,, 3.012E+00, 3.344E+00, 3.609E+00,, 9.138E-01, 1.086E+00, 1.306E+00,
 2.800E+01, 3.951E+00, 4.402E+00, 5.074E+00,, 3.049E+00, 3.343E+00, 3.721E+00,, 9.018E-01, 1.060E+00, 1.354E+00,
 3.000E+01, 4.012E+00, 4.527E+00, 5.291E+00,, 3.050E+00, 3.427E+00, 3.837E+00,, 9.627E-01, 1.101E+00, 1.455E+00,
 3.200E+01, 4.117E+00, 4.408E+00, 5.531E+00,, 3.162E+00, 3.396E+00, 4.031E+00,, 9.548E-01, 1.012E+00, 1.501E+00,
 3.400E+01, 4.126E+00, 4.402E+00, 5.493E+00,, 3.160E+00, 3.428E+00, 4.028E+00,, 9.657E-01, 9.734E-01, 1.465E+00,
 3.600E+01, 4.020E+00, 4.405E+00, 5.571E+00,, 3.073E+00, 3.428E+00, 4.121E+00,, 9.468E-01, 9.772E-01, 1.450E+00,
 3.800E+01, 3.970E+00, 4.293E+00, 5.769E+00,, 3.089E+00, 3.466E+00, 4.297E+00,, 8.808E-01, 8.267E-01, 1.473E+00,
 4.000E+01, 4.047E+00, 4.425E+00, 5.810E+00,, 3.122E+00, 3.515E+00, 4.338E+00,, 9.248E-01, 9.104E-01, 1.471E+00,
 4.200E+01, 4.065E+00, 4.468E+00, 6.200E+00,, 3.123E+00, 3.434E+00, 4.681E+00,, 9.419E-01, 1.034E+00, 1.518E+00,
 4.400E+01, 4.037E+00, 4.405E+00, 6.594E+00,, 3.139E+00, 3.529E+00, 4.923E+00,, 8.977E-01, 8.754E-01, 1.671E+00,
 4.600E+01, 4.123E+00, 4.506E+00, 6.712E+00,, 3.206E+00, 3.512E+00, 5.059E+00,, 9.177E-01, 9.937E-01, 1.654E+00,
 4.800E+01, 4.039E+00, 4.531E+00, 7.216E+00,, 3.138E+00, 3.528E+00, 5.412E+00,, 9.014E-01, 1.003E+00, 1.804E+00,
 5.000E+01, 4.028E+00, 4.472E+00, 7.166E+00,, 3.186E+00, 3.547E+00, 5.501E+00,, 8.424E-01, 9.253E-01, 1.665E+00,
 5.200E+01, 4.148E+00, 4.622E+00, 7.643E+00,, 3.237E+00, 3.660E+00, 5.839E+00,, 9.106E-01, 9.616E-01, 1.804E+00,
 5.400E+01, 4.085E+00, 4.674E+00, 7.966E+00,, 3.228E+00, 3.667E+00, 6.151E+00,, 8.572E-01, 1.007E+00, 1.815E+00,
 5.600E+01, 4.393E+00, 4.842E+00, 8.169E+00,, 3.360E+00, 3.779E+00, 6.403E+00,, 1.033E+00, 1.063E+00, 1.766E+00,
 5.800E+01, 4.280E+00, 4.918E+00, 8.411E+00,, 3.345E+00, 3.857E+00, 6.486E+00,, 9.343E-01, 1.061E+00, 1.925E+00,
 6.000E+01, 4.406E+00, 4.982E+00, 8.733E+00,, 3.404E+00, 3.904E+00, 6.862E+00,, 1.002E+00, 1.078E+00, 1.871E+00,
 6.200E+01, 4.358E+00, 5.059E+00, 9.244E+00,, 3.412E+00, 3.985E+00, 7.212E+00,, 9.464E-01, 1.075E+00, 2.032E+00,
 6.400E+01, 4.470E+00, 5.318E+00, 9.600E+00,, 3.464E+00, 4.074E+00, 7.614E+00,, 1.006E+00, 1.244E+00, 1.985E+00,
 6.600E+01, 4.512E+00, 5.048E+00, 9.670E+00,, 3.555E+00, 4.076E+00, 7.687E+00,, 9.571E-01, 9.728E-01, 1.982E+00,
 6.800E+01, 4.560E+00, 5.110E+00, 9.985E+00,, 3.552E+00, 4.099E+00, 8.010E+00,, 1.008E+00, 1.012E+00, 1.975E+00,
 7.000E+01, 4.506E+00, 5.513E+00, 1.012E+01,, 3.545E+00, 4.343E+00, 8.108E+00,, 9.610E-01, 1.170E+00, 2.013E+00,
 7.200E+01, 4.575E+00, 5.331E+00, 1.068E+01,, 3.630E+00, 4.267E+00, 8.545E+00,, 9.455E-01, 1.064E+00, 2.132E+00,
 7.400E+01, 4.768E+00, 5.805E+00, 1.063E+01,, 3.708E+00, 4.631E+00, 8.572E+00,, 1.060E+00, 1.174E+00, 2.055E+00,
 7.600E+01, 4.790E+00, 5.931E+00, 1.112E+01,, 3.775E+00, 4.721E+00, 9.016E+00,, 1.015E+00, 1.210E+00, 2.109E+00,
 7.800E+01, 4.664E+00, 6.261E+00, 1.129E+01,, 3.728E+00, 5.034E+00, 9.166E+00,, 9.361E-01, 1.227E+00, 2.129E+00,
 8.000E+01, 4.863E+00, 6.160E+00, 1.152E+01,, 3.827E+00, 5.050E+00, 9.330E+00,, 1.036E+00, 1.111E+00, 2.195E+00,
 8.200E+01, 4.965E+00, 6.268E+00, 1.150E+01,, 3.979E+00, 5.173E+00, 9.411E+00,, 9.863E-01, 1.095E+00, 2.087E+00,
 8.400E+01, 5.022E+00, 6.790E+00, 1.226E+01,, 3.981E+00, 5.505E+00, 1.006E+01,, 1.041E+00, 1.285E+00, 2.200E+00,
 8.600E+01, 5.178E+00, 6.892E+00, 1.274E+01,, 4.138E+00, 5.683E+00, 1.039E+01,, 1.040E+00, 1.209E+00, 2.344E+00,
 8.800E+01, 5.171E+00, 6.800E+00, 1.247E+01,, 4.131E+00, 5.709E+00, 1.026E+01,, 1.040E+00, 1.091E+00, 2.207E+00,
 9.000E+01, 5.240E+00, 7.077E+00, 1.247E+01,, 4.225E+00, 5.845E+00, 1.024E+01,, 1.015E+00, 1.232E+00, 2.232E+00,
 9.200E+01, 5.156E+00, 7.333E+00, 1.201E+01,, 4.195E+00, 6.051E+00, 9.964E+00,, 9.617E-01, 1.282E+00, 2.051E+00,
 9.400E+01, 5.357E+00, 7.491E+00, 1.230E+01,, 4.279E+00, 6.364E+00, 1.018E+01,, 1.079E+00, 1.127E+00, 2.122E+00,
 9.600E+01, 5.420E+00, 7.932E+00, 1.334E+01,, 4.412E+00, 6.789E+00, 1.111E+01,, 1.008E+00, 1.143E+00, 2.233E+00,
 9.800E+01, 5.495E+00, 7.961E+00, 1.413E+01,, 4.485E+00, 6.804E+00, 1.178E+01,, 1.009E+00, 1.157E+00, 2.350E+00,
 1.000E+02, 5.678E+00, 8.165E+00, 1.393E+01,, 4.588E+00, 6.928E+00, 1.160E+01,, 1.090E+00, 1.237E+00, 2.326E+00,
 1.020E+02, 5.815E+00, 8.448E+00, 1.311E+01,, 4.691E+00, 7.118E+00, 1.101E+01,, 1.123E+00, 1.330E+00, 2.104E+00,
 1.040E+02, 5.820E+00, 8.247E+00, 1.477E+01,, 4.709E+00, 7.128E+00, 1.234E+01,, 1.112E+00, 1.120E+00, 2.436E+00,
 1.060E+02, 5.989E+00, 8.722E+00, 1.430E+01,, 4.887E+00, 7.427E+00, 1.202E+01,, 1.102E+00, 1.296E+00, 2.281E+00,
