z_cm,TC_K,RMS_TC_K,TG_K,RMS_TG_K
1,743,224,744,240
2,949,266,953,287
4,1107,260,1112,281
6,1189,262,1196,290
10,1283,257,1292,310
14,1330,261,1339,348
20,1350,292,1360,420
30,1208,362,1216,527
45,966,373,970,524
60,748,330,749,440
