z,r,U,Uc_U
cm,cm,m/s,m/s
2,0,0.69,0.26
4,0,0.9,0.23
6,0,1.16,0.22
8,0,1.45,0.23
10,0,1.73,0.25
14,0,2.17,0.30
20,0,2.6,0.35
27,0,3.02,0.40
29,0,3.07,0.41
30,0,3.08,0.41
31,0,3.15,0.42
33,0,3.22,0.43
35,0,3.35,0.44
39,0,3.44,0.45
45,0,3.54,0.47
55,0,3.77,0.50
70,0,3.84,0.51
85,0,3.59,0.47
100,0,3.47,0.46
125,0,3.09,0.41
