r,TC,TC_RMS,TG,UC_TG,TG_RMS,D_bead
cm,K,K,K,K,K,um
0,515,121,515,27,171,153
-10,516,128,516,27,180,153
10,514,134,515,27,188,153
20,462,111,462,24,162,153
30,413,96,413,21,143,153
40,393,91,393,20,139,153
50,351,68,351,18,105,153
