r,Q_total,RMS
cm,kW/m2,kW/m2
0,26.7,5.6
3,24.9,5.6
6,26.9,5.2
10,22.6,4.4
12,18.1,4.1
13,16,4.4
14,5.3,1.4
14.5,3.7,0.6
16.1,3.33,0.56
19,2.4,0.37
21.9,2.05,0.25
23,2.05,0.11
30,1.19,0.07
38.8,0.72,0.04
47.2,0.47,0.03
56.5,0.32,0.02
66.2,0.24,0.01
75.7,0.18,0.01
150,0.04,0.01
