r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
16.1,1,3.3,0.66
19,1,2.4,0.48
21.9,1,2.1,0.41
23,1,2.1,0.41
30,1,1.2,0.24
38.8,1,0.72,0.14
47.2,1,0.47,0.093
56.5,1,0.32,0.063
66.2,1,0.24,0.048
75.7,1,0.18,0.036
150,1,0.040,0.0079
