z,r,U,Uc_U
cm,cm,m/s,m/s
4,0,0.64,0.28
10,0,1.65,0.24
20,0,2.63,0.35
21,0,2.7,0.36
23,0,2.77,0.37
25,0,2.88,0.38
29,0,3.09,0.41
30,0,3.15,0.42
33,0,3.25,0.43
39,0,3.37,0.45
45,0,3.41,0.45
60,0,3.44,0.45
75,0,3.23,0.43
88,0,3.07,0.41
