z,r,U
cm,cm,m/s
4,0,0.51
6,0,0.93
10,0,1.62
14,0,2.12
20,0,2.61
24,0,2.78
30,0,2.87
40,0,2.99
45,0,2.99
60,0,2.81
75,0,2.7
100,0,2.42
