Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
2,0.0649,0.0040,0.0164,0.0016,0.0751,0.0159,0.0032,0.0003,0.0004,0.0006,0.0000,0.0000,0.0000,0.0000,0.2853,0.0190,0.0000,0.0000,0.0175,0.0018,0.4531,0.0514,0.0539,0.0136,0.0190,0.0047,0.0005,0.0001,0.0023,0.0003,0.0043,0.0004,0.0005,0.0003,0.5132,0.0517,631,92,631,110
4,0.0745,0.0034,0.0193,0.0022,0.0795,0.0190,0.0038,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.3357,0.0135,0.0000,0.0000,0.0210,0.0012,0.3667,0.0332,0.0649,0.0138,0.0217,0.0051,0.0007,0.0001,0.0029,0.0001,0.0053,0.0004,0.0012,0.0004,0.4376,0.0337,753,124,754,144
6,0.0869,0.0065,0.0229,0.0018,0.0818,0.0190,0.0047,0.0006,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.4101,0.0450,0.0000,0.0000,0.0254,0.0023,0.2538,0.0882,0.0742,0.0076,0.0254,0.0031,0.0009,0.0001,0.0030,0.0003,0.0061,0.0005,0.0024,0.0004,0.3374,0.0883,857,149,860,171
10,0.0940,0.0037,0.0240,0.0030,0.1009,0.0204,0.0056,0.0004,0.0019,0.0001,0.0000,0.0000,0.0000,0.0000,0.4838,0.0261,0.0000,0.0000,0.0267,0.0014,0.1398,0.0474,0.0827,0.0035,0.0246,0.0011,0.0011,0.0001,0.0031,0.0001,0.0067,0.0006,0.0041,0.0007,0.2260,0.0475,1018,147,1024,171
14,0.0921,0.0067,0.0240,0.0021,0.1072,0.0379,0.0067,0.0009,0.0129,0.0121,0.0000,0.0000,0.0000,0.0000,0.5722,0.0583,0.0000,0.0000,0.0223,0.0029,0.0576,0.0107,0.0767,0.0097,0.0164,0.0042,0.0008,0.0001,0.0022,0.0003,0.0052,0.0007,0.0052,0.0009,0.1286,0.0121,1127,151,1135,174
20,0.0865,0.0081,0.0196,0.0032,0.0944,0.0196,0.0075,0.0015,0.0249,0.0270,0.0000,0.0000,0.0000,0.0000,0.6255,0.0938,0.0000,0.0000,0.0196,0.0060,0.0333,0.0153,0.0650,0.0233,0.0121,0.0068,0.0007,0.0003,0.0020,0.0005,0.0046,0.0013,0.0046,0.0004,0.0920,0.0181,1210,165,1219,190
30,0.0622,0.0145,0.0114,0.0046,0.0740,0.0271,0.0079,0.0008,0.0715,0.0330,0.0000,0.0000,0.0000,0.0000,0.7031,0.0585,0.0000,0.0000,0.0093,0.0034,0.0076,0.0017,0.0417,0.0251,0.0039,0.0017,0.0002,0.0001,0.0008,0.0002,0.0022,0.0007,0.0039,0.0006,0.0353,0.0062,1230,182,1241,207
45,0.0468,0.0065,0.0030,0.0044,0.0629,0.0139,0.0083,0.0006,0.1057,0.0073,0.0000,0.0000,0.0000,0.0000,0.7403,0.0196,0.0000,0.0000,0.0032,0.0012,0.0009,0.0003,0.0225,0.0071,0.0014,0.0002,0.0001,0.0000,0.0002,0.0000,0.0007,0.0002,0.0014,0.0001,0.0095,0.0045,1083,179,1090,206
60,0.0351,0.0008,0.0018,0.0001,0.0344,0.0074,0.0086,0.0006,0.1430,0.0027,0.0000,0.0000,0.0000,0.0000,0.7636,0.0120,0.0000,0.0000,0.0007,0.0000,0.0001,0.0000,0.0077,0.0002,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0004,0.0001,0.0031,0.0001,943,177,947,205
75,0.0242,0.0005,0.0000,0.0000,0.0219,0.0051,0.0088,0.0006,0.1660,0.0030,0.0000,0.0000,0.0000,0.0000,0.7728,0.0115,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0001,0.0000,810,143,812,165
100,0.0119,0.0002,0.0000,0.0000,0.0081,0.0024,0.0089,0.0006,0.1839,0.0032,0.0000,0.0000,0.0000,0.0000,0.7829,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,604,187,604,219
