z,r,Vz,StandDev
cm,cm,m/s,m/s
4,0,0.84,0.32
10,0,1.65,0.33
20,0,2.63,0.46
21,0,2.7,0.48
23,0,2.77,0.50
25,0,2.88,0.55
29,0,3.09,0.51
30,0,3.15,0.63
33,0,3.25,0.51
39,0,3.37,0.54
45,0,3.41,0.46
60,0,3.44,0.51
75,0,3.23,0.56
88,0,3.07,0.57
