z_cm,r_cm,TC_K,TC_RMS_K,TG_K
4,0,850,197,854
6,0,1041,246,1051
10,0,1156,231,1168
14,0,1243,215,1258
20,0,1300,212,1317
24,0,1254,225,1269
26,0,1250,227,1265
30,0,1196,262,1210
34,0,1148,284,1160
45,0,1001,320,1010
60,0,780,299,785
75,0,610,222,612
100,0,493,116,494
115,0,446,75,446
