r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K
-4,558,178,559,311
-2,620,196,621,340
0,630,185,632,327
2,602,169,603,305
4,573,173,574,300
6,539,162,539,282
8,495,146,495,255
10,458,135,458,232
12,473,146,473,241
14,416,120,416,192
16,406,119,406,185
