z_cm,TC_K,RMS_TC_K,TG_K,RMS_TG_K
3,743,127,745,145
5,856,156,859,177
7,943,164,947,185
11,1086,155,1093,177
15,1191,148,1200,171
21,1237,131,1248,154
31,1212,151,1222,176
46,1074,208,1081,236
61,906,215,910,243
101,598,129,598,148
