r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
207.5,1,0.84,0.067
207.5,46,0.98,0.17
207.5,91,1.0,0.21
207.5,136,0.82,0.18
207.5,180.5,0.67,0.16
