Time_sec,TC_K_z=-0.9_cm,TC_K_z=-3.5_cm
-50,290.85,291.15
0,290.85,291.15
10,291.05,291.15
20,291.55,291.25
30,292.25,291.35
40,293.15,291.35
50,293.55,291.25
60,294.75,291.55
70,295.15,291.35
80,295.95,291.45
90,296.85,291.45
100,298.05,291.45
110,299.35,291.65
120,300.45,291.65
130,301.55,291.55
140,302.65,291.45
150,303.45,291.35
160,304.25,291.35
170,304.95,291.35
180,305.95,291.35
190,306.85,291.65
200,307.85,291.95
250,310.55,291.95
300,312.25,292.05
350,313.85,292.15
400,315.05,292.15
500,317.75,292.85
600,319.45,293.35
700,320.75,294.05
800,321.45,294.45
900,322.55,295.05
1000,323.45,295.65
1100,323.95,296.25
1200,324.05,296.45
1300,324.35,297.35
1400,324.05,297.05
1500,324.35,297.75
1600,324.75,298.15
1700,324.65,298.25
1800,325.35,298.65
1900,325.75,298.95
2000,326.05,299.15
2100,326.35,299.35
2200,326.65,299.55
2400,327.15,299.95
