Time_sec,TC_K_z=-1.0_cm_r=13.2_cm,TC_K_z=-1.4_cm_r=3.7_cm,TC_K_z=-1.4_cm_r=11.1_cm,TC_K_z=-4.0_cm_r=3.7_cm,TC_K_z=-4.0_cm_r=11.1_cm,TC_K_z=-8.0_cm_r=3.7_cm
-60,292.25,292.45,292.75,292.65,292.65,292.65
-50,292.25,292.45,292.75,292.65,292.65,292.65
-40,292.25,292.45,292.65,292.65,292.65,292.65
-30,292.15,292.45,292.65,292.65,292.65,292.55
-20,292.25,292.45,292.65,292.65,292.65,292.55
-10,292.25,292.45,292.65,292.65,292.65,292.65
0,304.25,292.45,292.65,292.65,292.65,292.65
10,335.05,292.55,292.85,292.75,292.75,292.65
20,342.65,292.65,293.05,292.85,292.85,292.75
30,344.55,293.15,293.25,292.95,292.85,292.75
40,345.45,293.75,293.45,293.05,292.85,292.75
50,347.75,294.45,293.65,293.25,292.85,292.75
60,348.65,295.15,294.05,293.55,292.95,292.75
70,349.25,296.45,294.75,293.95,292.95,292.75
80,349.05,297.95,295.35,294.35,292.95,292.85
90,349.65,298.85,295.75,294.85,292.95,292.85
100,349.65,300.05,296.45,295.25,292.95,292.85
110,349.95,301.05,297.15,295.75,293.05,292.85
120,350.75,302.35,297.75,296.25,293.05,292.95
130,350.95,303.45,298.35,296.75,293.05,292.95
140,350.55,303.95,298.95,297.25,293.05,292.95
150,350.35,304.65,299.55,297.75,293.05,292.95
160,350.55,305.15,300.05,298.25,293.05,292.95
170,350.25,306.05,300.65,298.75,293.05,292.95
180,350.25,306.65,301.15,299.25,293.15,293.05
190,350.05,306.95,301.65,299.65,293.15,293.05
200,350.65,307.75,302.15,300.05,293.15,293.05
210,351.25,308.65,302.65,300.45,293.15,293.05
220,350.85,309.05,303.05,300.85,293.15,293.15
230,350.75,309.45,303.55,301.25,293.25,293.15
240,351.05,310.55,303.75,301.55,293.25,293.15
250,350.75,310.65,304.25,301.95,293.25,293.15
260,350.75,310.55,304.65,302.25,293.25,293.15
270,350.45,311.25,305.05,302.65,293.25,293.25
280,350.45,311.75,305.35,302.95,293.25,293.25
290,350.35,312.05,305.75,303.25,293.35,293.25
300,350.25,312.45,306.05,303.55,293.35,293.25
310,350.55,312.95,306.35,303.75,293.35,293.35
320,350.95,313.25,306.65,304.15,293.45,293.35
330,350.65,313.05,307.05,304.45,293.45,293.35
340,350.95,313.65,307.25,304.65,293.45,293.45
350,350.85,314.05,307.55,304.95,293.55,293.45
360,350.85,314.15,307.75,305.15,293.55,293.45
370,350.95,313.95,308.05,305.45,293.55,293.45
380,351.05,314.75,308.25,305.65,293.55,293.55
390,350.75,315.05,308.45,305.95,293.55,293.55
400,350.85,314.85,308.75,306.05,293.65,293.55
410,350.95,314.85,308.95,306.35,293.65,293.65
420,351.55,315.45,309.15,306.55,293.65,293.65
430,351.45,315.65,309.45,306.85,293.75,293.65
440,351.35,316.05,309.65,307.05,293.75,293.75
450,351.25,315.65,309.75,307.15,293.75,293.75
460,351.15,315.85,309.95,307.35,293.85,293.75
470,351.65,315.75,310.15,307.45,293.85,293.85
480,351.15,316.15,310.35,307.65,293.95,293.85
490,351.25,316.15,310.55,307.95,293.95,293.85
500,351.25,316.45,310.75,308.25,293.95,293.95
510,351.35,316.75,310.95,308.25,294.05,293.95
520,351.55,316.95,311.05,308.45,294.05,293.95
530,351.25,316.75,311.35,308.65,294.05,294.05
540,351.45,317.25,311.45,308.85,294.05,294.05
550,351.35,317.65,311.55,308.95,294.15,294.15
560,351.25,317.65,311.65,309.15,294.15,294.15
570,351.05,317.45,311.75,309.15,294.15,294.15
580,351.35,317.35,311.95,309.35,294.15,294.25
590,351.15,318.15,312.05,309.55,294.25,294.25
600,350.05,317.95,312.15,309.65,294.25,294.25
610,351.25,318.05,312.35,309.75,294.35,294.35
620,351.65,318.55,312.55,310.05,294.35,294.35
630,351.75,318.65,312.55,310.05,294.35,294.35
640,351.65,318.45,312.75,310.25,294.35,294.45
650,351.45,318.75,312.85,310.25,294.45,294.45
660,351.35,319.05,312.85,310.35,294.45,294.45
