z,r,U,Uc_U
cm,cm,m/s,m/s
4,0,0.84,0.23
6,0,1.08,0.22
10,0,1.65,0.24
20,0,2.36,0.32
30,0,2.59,0.35
42,0,2.59,0.35
63,0,2.33,0.32
93,0,2.15,0.29
113,0,1.94,0.27
