z_cm,r_cm,q_kW/m2,q_RMS_kW/m2
41,300,0.53,0.02
41,325,0.45,0.02
41,350,0.36,0.02
41,400,0.25,0.02
41,450,0.18,0.01
41,500,0.14,0.01
