r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
300,41,0.56,0.073
325,41,0.47,0.071
350,41,0.39,0.074
400,41,0.27,0.059
450,41,0.20,0.046
500,41,0.16,0.051
