z_cm,TC_K,RMS_TC_K,TG_K,RMS_TG_K
4,850,197,854,301
6,1041,246,1051,387
10,1156,231,1168,462
14,1243,215,1258,483
20,1300,212,1317,574
24,1254,225,1269,580
26,1250,227,1265,582
30,1196,262,1210,630
34,1148,284,1160,642
45,1001,320,1010,664
60,780,299,785,577
75,610,222,612,426
100,493,116,494,261
115,446,75,446,163
