r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
300,81,0.56,0.073
325,81,0.47,0.071
350,81,0.39,0.074
400,81,0.27,0.059
450,81,0.20,0.046
500,81,0.16,0.051
