Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC
2,0.0608,0.0102,0.0234,0.0077,0.0706,0.0463,0.0079,0.0007,0.0143,0.0028,0.0715,0.0228,0,0,0.6863,0.0423,0,0,0.0076,0.0016,0,0,0.0335,0.0048,0.009,0.003,0.0003,0.0001,0.0006,0.0001,0.0103,0.0027,0.0002,0.0001,0.1227,0.0244
4,0.0605,0.0066,0.0232,0.0021,0.0992,0.079,0.008,0.0008,0.0139,0.0011,0.0309,0.0038,0,0,0.6957,0.054,0,0,0.0088,0.0008,0,0,0.0351,0.003,0.0093,0.0011,0.0004,0.0001,0.0005,0,0.0106,0.001,0.0011,0.0001,0.0837,0.0047
6,0.06,0.0061,0.0256,0.0093,0.094,0.0524,0.0081,0.0008,0.0146,0.0199,0.0224,0.0179,0,0,0.7062,0.0523,0,0,0.009,0.0031,0,0,0.0354,0.0084,0.0094,0.0024,0.0005,0.0001,0.0005,0.0002,0.0104,0.0035,0.0015,0.0002,0.0777,0.0209
10,0.0603,0.0023,0.0189,0.0065,0.0923,0.0386,0.0084,0.0007,0.026,0.0235,0.0076,0.0047,0,0,0.7294,0.0314,0,0,0.0071,0.0028,0,0,0.0305,0.0094,0.0074,0.0022,0.0004,0.0002,0.0003,0.0001,0.0076,0.0028,0.0025,0.0001,0.0493,0.0092
14,0.0559,0.0016,0.0132,0.0078,0.0915,0.0182,0.0084,0.0006,0.0457,0.025,0.0026,0.0051,0,0,0.7396,0.0176,0,0,0.005,0.0028,0,0,0.0237,0.01,0.0052,0.0025,0.0003,0.0001,0.0002,0.0001,0.005,0.003,0.0027,0.0001,0.0314,0.0105
20,0.0466,0.0011,0.0075,0.0004,0.0603,0.0122,0.0087,0.0006,0.079,0.0017,0.0006,0,0,0,0.7717,0.0142,0,0,0.0023,0.0001,0,0,0.0145,0.0003,0.0027,0.0001,0.0002,0,0.0001,0,0.0021,0.0001,0.0019,0.0002,0.0154,0.0004
30,0.0247,0.0013,0.0009,0.0001,0.0309,0.0092,0.0087,0.0007,0.1452,0.005,0,0,0,0,0.7828,0.0142,0,0,0.0002,0,0,0,0.0021,0.0001,0.0003,0,0.0001,0.0001,0,0,0.0001,0.0001,0.0004,0.0001,0.0017,0.0001
45,0.0148,0.0007,0,0,0.0134,0.0052,0.0088,0.0008,0.1735,0.0053,0,0,0,0,0.7854,0.019,0,0,0,0,0,0,0.0002,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0.0001,0
60,0.0098,0.0002,0,0,0.0077,0.0022,0.0087,0.0006,0.1854,0.0033,0,0,0,0,0.7844,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     NaN,     NaN,0,0
