r,Q_total
cm,kW/m2
18.7,2.69
23.7,1.72
28.7,1.2
33.7,0.87
37.7,0.63
42.7,0.48
47.7,0.37
52.7,0.29
57.7,0.24
67.9,0
75,0
85,0
