r (cm),T (K),RMS
-4,486.2,142.0
-2,521.2,134.0
0,546.2,147.0
2,533.2,136.0
4,519.2,131.0
6,490.2,133.0
8,470.2,118.0
10,442.2,104.0
12,419.2,92.0
14,394.2,83.0
16,376.2,74.0
