z,T_TC_mean,T_TC_rms,Tg,Uc_Tg
cm,K,K,K,K
6,1129,252,1144,102.96
11,1253,244,1274,38.22
21,1335,211,1359,40.77
31,1347,209,1371,95.97
41,1330,225,1318,79.08
61,1217,263,1202,48.08
81,1000,286,1008,151.2
101,816,267,819,98.28
111,748,239,750,52.5
121,693,217,695,27.8
131,630,191,631,100.96
141,620,185,605,12.1
161,561,155,561,5.61
181,515,121,515,46.35
201,472,96,472,23.6
211,458,92,458,4.58
